,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Ship-owner response to carbon taxes: Industry and environmental implications,https://www.sciencedirect.com/science/article/pii/S0921800923001805,13 June 2023,2023,Research Article
1,1,Housing wealth and household carbon emissions: The role of homeownership in China,https://www.sciencedirect.com/science/article/pii/S0921800923001714,13 June 2023,2023,Research Article
2,2,Forest adaptation strategies to reconcile timber production and carbon sequestration objectives under multiple risks of extreme drought and windstorm events,https://www.sciencedirect.com/science/article/pii/S0921800923001660,8 June 2023,2023,Research Article
3,3,Revealing preferences for urban biodiversity as an environmental good,https://www.sciencedirect.com/science/article/pii/S0921800923001477,7 June 2023,2023,Research Article
4,4,Climate change impacts on Mediterranean fisheries: A sensitivity and vulnerability analysis for main commercial species,https://www.sciencedirect.com/science/article/pii/S0921800923001520,29 May 2023,2023,Research Article
5,5,Understanding citizen investment in renewable energy communities,https://www.sciencedirect.com/science/article/pii/S0921800923001581,27 May 2023,2023,Research Article
6,6,Optimal R&D investment in the management of invasive species,https://www.sciencedirect.com/science/article/pii/S0921800923001386,26 May 2023,2023,Research Article
7,7,Community-based climate adaption: A perspective on the interface between a common pool resource system and an individual-based market transaction system,https://www.sciencedirect.com/science/article/pii/S0921800923001544,24 May 2023,2023,Research Article
8,8,Are greenspaces too green? Landscape preferences and water use in urban parks,https://www.sciencedirect.com/science/article/pii/S0921800923001593,23 May 2023,2023,Research Article
9,9,The risks of the wrong climate policy for developing countries: Scenarios for South Africa,https://www.sciencedirect.com/science/article/pii/S0921800923001374,21 May 2023,2023,Research Article
10,10,Assessing the impact of waste separation on system transition and environmental performance through a city-scale life cycle assessment,https://www.sciencedirect.com/science/article/pii/S0921800923001490,16 May 2023,2023,Research Article
11,11,An energy system model to study the impact of combining carbon pricing with direct support for renewable gases,https://www.sciencedirect.com/science/article/pii/S0921800923001180,12 May 2023,2023,Research Article
12,12,Tropical mixed-species plantations can outperform monocultures in terms of carbon sequestration and economic return,https://www.sciencedirect.com/science/article/pii/S0921800923001489,12 May 2023,2023,Research Article
13,13,Genetically engineered varieties and applied pesticide toxicity in U.S. maize and soybeans: Heterogeneous and evolving impacts,https://www.sciencedirect.com/science/article/pii/S0921800923001362,6 May 2023,2023,Research Article
14,14,Macro level matters: Advancing circular economy in different business systems within Europe,https://www.sciencedirect.com/science/article/pii/S0921800923001210,5 May 2023,2023,Research Article
15,15,Environmental credit constraints and pollution reduction: Evidence from China's blacklisting system for environmental fraud,https://www.sciencedirect.com/science/article/pii/S0921800923001337,4 May 2023,2023,Research Article
16,16,The power of wind: The global wind energy industry's successes and failures,https://www.sciencedirect.com/science/article/pii/S0921800923001040,4 May 2023,2023,Research Article
17,17,Ethical underpinnings for the economy of the Anthropocene: Sustainability ethics as key to a sustainable economy,https://www.sciencedirect.com/science/article/pii/S0921800923001313,4 May 2023,2023,Research Article
18,18,The role of hybrid governance in supporting deforestation-free trade,https://www.sciencedirect.com/science/article/pii/S0921800923001301,3 May 2023,2023,Research Article
19,19,Understanding the dynamics of human appropriation on ecosystems via an exergy-based net primary productivity indicator: A case study in south-central Chile,https://www.sciencedirect.com/science/article/pii/S0921800923001258,2 May 2023,2023,Research Article
20,20,Unpacking the urban virtual water of the Global South: Lessons from 181 cities,https://www.sciencedirect.com/science/article/pii/S0921800923001222,2 May 2023,2023,Research Article
21,21,The effects of environmental performance and green innovation on corporate venture capital,https://www.sciencedirect.com/science/article/pii/S0921800923001234,27 April 2023,2023,Research Article
22,22,Policy and political challenges for a better world: The United States and China pathways towards the 2030 Agenda,https://www.sciencedirect.com/science/article/pii/S0921800923000848,22 April 2023,2023,Research Article
23,23,An Indian Green Deal: Greening our way out of the pandemic,https://www.sciencedirect.com/science/article/pii/S0921800923000939,18 April 2023,2023,Research Article
24,24,Green securities policy and the environmental performance of firms: Assessing the impact of China's pre-IPO environmental inspection policy,https://www.sciencedirect.com/science/article/pii/S092180092300099X,18 April 2023,2023,Research Article
25,25,Global and Local Spatial Spill-Overs: What Matters Most for the Diffusion of Organic Agriculture in Australia?,https://www.sciencedirect.com/science/article/pii/S0921800923000988,18 April 2023,2023,Research Article
26,26,Changes in inequality for solar panel uptake by Australian homeowners,https://www.sciencedirect.com/science/article/pii/S0921800923001143,12 April 2023,2023,Research Article
27,27,Toward the carbon neutrality: Forest carbon sinks and its spatial spillover effect in China,https://www.sciencedirect.com/science/article/pii/S0921800923001003,11 April 2023,2023,Research Article
28,28,Environmental regulation with preferences for social status,https://www.sciencedirect.com/science/article/pii/S0921800923000976,11 April 2023,2023,Research Article
29,29,Payment for environmental services to reduce deforestation: Do the positive effects last?,https://www.sciencedirect.com/science/article/pii/S0921800923001039,11 April 2023,2023,Research Article
30,30,The implementation of green transformation through clusters,https://www.sciencedirect.com/science/article/pii/S0921800923001052,10 April 2023,2023,Research Article
