,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Comovement and spillover among energy markets: A Comparison across different crisis periods,https://www.sciencedirect.com/science/article/pii/S0313592623001339,Available online 14 June 2023,2023,Research Article
1,1,Stock return anomalies identification during the Covid-19 with the application of a grouped multiple comparison procedure,https://www.sciencedirect.com/science/article/pii/S0313592623001297,Available online 13 June 2023,2023,Research Article
2,2,"Tourism, sustainability, and the economy in Bangladesh: The innovation connection amidst Covid-19",https://www.sciencedirect.com/science/article/pii/S0313592623001303,Available online 13 June 2023,2023,Research Article
3,3,Do autonomy and inquisitiveness contribute to SDGs? Implications from the matrilineal island of Palau,https://www.sciencedirect.com/science/article/pii/S0313592623001133,Available online 12 June 2023,2023,Research Article
4,4,CEO compensation and CSR: Economic implications and policy recommendations,https://www.sciencedirect.com/science/article/pii/S0313592623001285,Available online 12 June 2023,2023,Research Article
5,5,Does public behavior and research development matters for economic growth in SMEs: Evidence from Chinese listed firms,https://www.sciencedirect.com/science/article/pii/S0313592623001170,Available online 9 June 2023,2023,Research Article
6,6,Socially conscious investment funds and home country institutions,https://www.sciencedirect.com/science/article/pii/S0313592623001200,Available online 9 June 2023,2023,Research Article
7,7,A Way toward Green Economic Growth: Role of Energy Efficiency and Fiscal Incentive in China,https://www.sciencedirect.com/science/article/pii/S0313592623001169,Available online 9 June 2023,2023,Research Article
8,8,Green bond issuance and stock price informativeness,https://www.sciencedirect.com/science/article/pii/S0313592623001236,Available online 9 June 2023,2023,Research Article
9,9,Does CEOs’ green experience affect environmental corporate social responsibility? Evidence from China,https://www.sciencedirect.com/science/article/pii/S0313592623001248,Available online 8 June 2023,2023,Research Article
10,10,Towards sustainable development goals: Does common prosperity contradict carbon reduction?,https://www.sciencedirect.com/science/article/pii/S0313592623001145,Available online 8 June 2023,2023,Research Article
11,11,Impact of environmental tax on pollution control: A sustainable development perspective,https://www.sciencedirect.com/science/article/pii/S0313592623001182,Available online 8 June 2023,2023,Research Article
12,12,Policy space index: Short-term response to a catastrophic event,https://www.sciencedirect.com/science/article/pii/S0313592623001157,Available online 8 June 2023,2023,Research Article
13,13,Cash holdings and cash flows: Do oil price uncertainty and geopolitical risk matter?,https://www.sciencedirect.com/science/article/pii/S031359262300125X,Available online 8 June 2023,2023,Research Article
14,14,Valuing harvest regulation changes in recreational fisheries with a discrete choice experiment study: What can we learn from a synthetic review?,https://www.sciencedirect.com/science/article/pii/S0313592623001121,Available online 7 June 2023,2023,Research Article
