,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Robust estimates of vulnerability to poverty using quantile models,https://www.sciencedirect.com/science/article/pii/S026499932300086X,22 March 2023,2023,Research Article
1,1,High-speed railway and patent trade in China,https://www.sciencedirect.com/science/article/pii/S0264999323000883,21 March 2023,2023,Research Article
2,2,Patent protection and income inequality in a model with two growth engines,https://www.sciencedirect.com/science/article/pii/S0264999323000925,20 March 2023,2023,Research Article
3,3,Governmental inspection and firm environmental protection expenditure: Evidence from China,https://www.sciencedirect.com/science/article/pii/S0264999323000962,20 March 2023,2023,Research Article
4,4,Correcting sample selection bias with model averaging for consumer demand forecasting,https://www.sciencedirect.com/science/article/pii/S0264999323000871,17 March 2023,2023,Research Article
5,5,Copyright and firms’ own IPR protection in a software market: Monopoly versus duopoly,https://www.sciencedirect.com/science/article/pii/S0264999323000949,17 March 2023,2023,Research Article
6,6,Managerial perception on competition and strategic R&D decisions,https://www.sciencedirect.com/science/article/pii/S0264999323000937,16 March 2023,2023,Research Article
7,7,A new framework to disentangle the impact of changes in dwelling characteristics on house price indices,https://www.sciencedirect.com/science/article/pii/S0264999323000640,14 March 2023,2023,Research Article
8,8,Determinants of bilateral trade in manufacturing and services: A unified approach,https://www.sciencedirect.com/science/article/pii/S0264999323000585,10 March 2023,2023,Research Article
9,9,Do subsidies matter in productivity and profitability changes?,https://www.sciencedirect.com/science/article/pii/S0264999323000767,10 March 2023,2023,Research Article
10,10,Valuation of subjective wellbeing and the role of marital status: Linear versus ordinal estimators,https://www.sciencedirect.com/science/article/pii/S026499932300072X,3 March 2023,2023,Research Article
11,11,Does environmental regulation affect the labor income share of manufacturing enterprises? Evidence from China,https://www.sciencedirect.com/science/article/pii/S0264999323000639,1 March 2023,2023,Research Article
12,12,Workers’ firm in mixed duopoly,https://www.sciencedirect.com/science/article/pii/S0264999323000597,1 March 2023,2023,Research Article
13,13,Portfolio optimization in the presence of tail correlation,https://www.sciencedirect.com/science/article/pii/S0264999323000470,28 February 2023,2023,Research Article
14,14,Does foreign direct investment promote political stability? Evidence from developing economies,https://www.sciencedirect.com/science/article/pii/S0264999323000615,27 February 2023,2023,Research Article
15,15,Capital income risk and the dynamics of the wealth distribution,https://www.sciencedirect.com/science/article/pii/S026499932300055X,27 February 2023,2023,Research Article
16,16,Semiparametric portfolios: Improving portfolio performance by exploiting non-linearities in firm characteristics,https://www.sciencedirect.com/science/article/pii/S0264999323000512,25 February 2023,2023,Research Article
17,17,Does foreign experience of top management affect corporate environmental responsibility? Evidence from China,https://www.sciencedirect.com/science/article/pii/S0264999323000548,24 February 2023,2023,Research Article
18,18,Optimal macroprudential and fiscal policy in a monetary union,https://www.sciencedirect.com/science/article/pii/S0264999323000500,23 February 2023,2023,Research Article
19,19,Idiosyncratic shocks in a currency union: Insights from West Africa,https://www.sciencedirect.com/science/article/pii/S0264999323000536,23 February 2023,2023,Research Article
20,20,Did the unemployment benefits extension between 2009–2013 deter entrepreneurship in the US? Some evidence and a model of unemployment benefits and entrepreneurship,https://www.sciencedirect.com/science/article/pii/S0264999323000524,22 February 2023,2023,Research Article
21,21,Do auditor changes affect the disclosure of critical audit matters? Evidence from China,https://www.sciencedirect.com/science/article/pii/S0264999323000573,21 February 2023,2023,Research Article
22,22,U.K. household-sector money demand during Brexit and the pandemic,https://www.sciencedirect.com/science/article/pii/S0264999323000469,17 February 2023,2023,Research Article
23,23,To lend or not to lend? The ECB as the ‘intermediary of last resort’,https://www.sciencedirect.com/science/article/pii/S0264999323000408,17 February 2023,2023,Research Article
24,24,International trade with binary preferences and heterogeneous productivity,https://www.sciencedirect.com/science/article/pii/S0264999323000482,17 February 2023,2023,Research Article
25,25,Total factor productivity in East Asia under ambiguity,https://www.sciencedirect.com/science/article/pii/S0264999323000445,10 February 2023,2023,Research Article
26,26,Price-setting heterogeneity and robust monetary policy in a two-sector DSGE model of a small open economy,https://www.sciencedirect.com/science/article/pii/S0264999323000391,10 February 2023,2023,Research Article
27,27,The impact of insurance on pollution emissions: Evidence from China's environmental pollution liability insurance,https://www.sciencedirect.com/science/article/pii/S026499932300041X,8 February 2023,2023,Research Article
28,28,Implications of COVID-19 and mitigation measures on gender and the Zimbabwean economy,https://www.sciencedirect.com/science/article/pii/S0264999323000378,7 February 2023,2023,Research Article
29,29,Bond market development and infrastructure-gap reduction: The case of Sub-saharan Africa,https://www.sciencedirect.com/science/article/pii/S0264999323000421,7 February 2023,2023,Research Article
30,30,Do remittances react to commodity windfall? Evidence from Latin America and the Caribbean,https://www.sciencedirect.com/science/article/pii/S0264999323000330,7 February 2023,2023,Research Article
31,31,Nowcasting Chinese GDP in a data-rich environment: Lessons from machine learning algorithms,https://www.sciencedirect.com/science/article/pii/S0264999323000160,4 February 2023,2023,Research Article
32,32,"Multi-agent, multi-site resource allocation under quotas with a Stackelberg leader and network externalities",https://www.sciencedirect.com/science/article/pii/S026499932300038X,4 February 2023,2023,Research Article
33,33,How does offshoring affect the wage impact of immigration?,https://www.sciencedirect.com/science/article/pii/S0264999323000287,4 February 2023,2023,Research Article
34,34,"Exchange rate spillover, carry trades, and the COVID-19 pandemic",https://www.sciencedirect.com/science/article/pii/S0264999323000342,4 February 2023,2023,Research Article
35,35,Great moderation with Chinese characteristics: Uncovering the role of monetary policy,https://www.sciencedirect.com/science/article/pii/S0264999323000366,3 February 2023,2023,Research Article
36,36,What drives the performance of tax administrations? Evidence from selected european countries,https://www.sciencedirect.com/science/article/pii/S0264999323000299,2 February 2023,2023,Research Article
37,37,"Mobile money, ICT, financial inclusion and growth: How different is Africa?",https://www.sciencedirect.com/science/article/pii/S0264999323000329,1 February 2023,2023,Research Article
38,38,Education and Migrant Health in China,https://www.sciencedirect.com/science/article/pii/S0264999323000354,31 January 2023,2023,Research Article
39,39,Nonparametric estimates of price efficiency for the Greek infant milk market: Curing the curse of dimensionality with shannon entropy,https://www.sciencedirect.com/science/article/pii/S0264999323000147,31 January 2023,2023,Research Article
40,40,ESG and firm performance: The role of size and media channels,https://www.sciencedirect.com/science/article/pii/S0264999323000159,30 January 2023,2023,Research Article
41,41,Innovation convergence clubs and their driving factors within urban agglomeration,https://www.sciencedirect.com/science/article/pii/S0264999323000111,26 January 2023,2023,Research Article
42,42,Trade warfare and sanctions in vertically related markets,https://www.sciencedirect.com/science/article/pii/S0264999323000172,25 January 2023,2023,Research Article
43,43,"Independent directors’ geographic distance, high-speed railway, and corporate cash holdings",https://www.sciencedirect.com/science/article/pii/S0264999323000251,25 January 2023,2023,Research Article
44,44,Hedging pressure momentum and the predictability of oil futures returns,https://www.sciencedirect.com/science/article/pii/S0264999323000263,24 January 2023,2023,Research Article
45,45,Long-run consequences of population decline in an economy with exhaustible resources,https://www.sciencedirect.com/science/article/pii/S026499932300024X,24 January 2023,2023,Research Article
46,46,Stock market reactions to corporate misconduct: The moderating role of legal origin,https://www.sciencedirect.com/science/article/pii/S0264999323000093,21 January 2023,2023,Research Article
47,47,Collaborative financing and supply chain coordination for corporate social responsibility,https://www.sciencedirect.com/science/article/pii/S026499932300010X,20 January 2023,2023,Research Article
48,48,Inflation and income inequality in a Schumpeterian economy with heterogeneous wealth and skills,https://www.sciencedirect.com/science/article/pii/S0264999323000056,17 January 2023,2023,Research Article
49,49,CO,https://www.sciencedirect.com/science/article/pii/S026499932300007X,13 January 2023,2023,Research Article
50,50,Impact of the digital economy on high-quality urban economic development: Evidence from Chinese cities,https://www.sciencedirect.com/science/article/pii/S0264999323000068,13 January 2023,2023,Research Article
51,51,Regionally heterogeneous housing cycles and housing market stabilization policies: Evidence from Korea,https://www.sciencedirect.com/science/article/pii/S0264999323000044,12 January 2023,2023,Research Article
52,52,"Migrants, regulations, and trade",https://www.sciencedirect.com/science/article/pii/S0264999322004230,10 January 2023,2023,Research Article
53,53,On the identification of the oil-stock market relationship,https://www.sciencedirect.com/science/article/pii/S0264999322003947,10 January 2023,2023,Research Article
54,54,Local governments’ environmental targets and green total factor productivity in Chinese cities,https://www.sciencedirect.com/science/article/pii/S0264999323000019,7 January 2023,2023,Research Article
55,55,Does noncompliance with COVID-19 regulations impact the depressive symptoms of others?,https://www.sciencedirect.com/science/article/pii/S0264999323000032,6 January 2023,2023,Research Article
