,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Assessing the effectiveness of mandatory outdoor mask policy: the natural experiment of Campania,https://www.sciencedirect.com/science/article/pii/S1570677X23000461,Available online 12 June 2023,2023,Research Article
1,1,Self-control and unhealthy body weight: The role of impulsivity and restraint,https://www.sciencedirect.com/science/article/pii/S1570677X23000448,Available online 9 June 2023,2023,Research Article
2,2,The full distribution of adult height in Poland: Cohorts born between 1920 and 1996. The biological cost of the economic transition,https://www.sciencedirect.com/science/article/pii/S1570677X23000424,3 June 2023,2023,Research Article
3,3,Old age takes its toll: Long-run projections of health-related public expenditure in Luxembourg,https://www.sciencedirect.com/science/article/pii/S1570677X23000436,3 June 2023,2023,Research Article
4,4,"Economic development, intergenerational mobility, and health in South Korea",https://www.sciencedirect.com/science/article/pii/S1570677X23000412,20 May 2023,2023,Research Article
5,5,Decoupling genetics from attainments: The role of social environments,https://www.sciencedirect.com/science/article/pii/S1570677X23000400,17 May 2023,2023,Research Article
6,6,War in Ukraine – Changing the Polish paediatric population as a consequence of forced migration (a preliminary study),https://www.sciencedirect.com/science/article/pii/S1570677X23000394,5 May 2023,2023,Research Article
7,7,Family size and vaccination among older individuals: The case of COVID-19 vaccine,https://www.sciencedirect.com/science/article/pii/S1570677X23000370,5 May 2023,2023,Research Article
8,8,The “Long-arm” of Chronic Conditions in Childhood: Evidence from Canada Using Linked Survey-administrative Data,https://www.sciencedirect.com/science/article/pii/S1570677X23000382,Available online 4 May 2023,2023,Research Article
9,9,"The effect of paid parental leave on breastfeeding, parental health and behavior",https://www.sciencedirect.com/science/article/pii/S1570677X23000291,3 May 2023,2023,Research Article
10,10,How is smoking distributed in relation to socioeconomic status? Evidence from Brazil in the years 2013 and 2019,https://www.sciencedirect.com/science/article/pii/S1570677X23000217,24 March 2023,2023,Research Article
11,11,Genetic nurture in educational attainment,https://www.sciencedirect.com/science/article/pii/S1570677X23000205,20 March 2023,2023,Research Article
12,12,Free to die: Economic freedoms and influenza mortality,https://www.sciencedirect.com/science/article/pii/S1570677X23000199,14 March 2023,2023,Research Article
13,13,Obesity inequality and well-being in Germany,https://www.sciencedirect.com/science/article/pii/S1570677X23000175,24 February 2023,2023,Research Article
