,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The Bank of Japan’s equity purchases and stock price crash risk,https://www.sciencedirect.com/science/article/pii/S0165176523002392,Available online 9 June 2023,2023,Research Article
1,1,The greening of lending: Evidence from banks’ pricing of energy efficiency before climate-related regulation,https://www.sciencedirect.com/science/article/pii/S0165176523002379,Available online 9 June 2023,2023,Research Article
2,2,Do asset-backed stablecoins spread crypto volatility to traditional financial assets? Evidence from Tether,https://www.sciencedirect.com/science/article/pii/S0165176523002380,Available online 9 June 2023,2023,Research Article
3,3,Fertility subsidies can have ambiguous effects on birth timing,https://www.sciencedirect.com/science/article/pii/S0165176523002409,Available online 8 June 2023,2023,Research Article
4,4,Optimal policy with dispersed information and uncertain monetary transmission,https://www.sciencedirect.com/science/article/pii/S016517652300229X,Available online 7 June 2023,2023,Research Article
5,5,"Market size, competition, and entrepreneurs’ location choices",https://www.sciencedirect.com/science/article/pii/S0165176523002288,Available online 7 June 2023,2023,Research Article
6,6,The role of macroeconomic uncertainty in the determination of the natural rate of interest,https://www.sciencedirect.com/science/article/pii/S0165176523002161,Available online 1 June 2023,2023,Research Article
7,7,The effect of late payment penalties on the payment timing of owed taxes,https://www.sciencedirect.com/science/article/pii/S0165176523002252,Available online 1 June 2023,2023,Research Article
8,8,A formula for the elasticity of substitution of a large class of smooth utility functions,https://www.sciencedirect.com/science/article/pii/S0165176523002215,1 June 2023,2023,Research Article
9,9,Limits to Myopic loss aversion and learning,https://www.sciencedirect.com/science/article/pii/S016517652300215X,30 May 2023,2023,Research Article
10,10,Financial-judicial specialization and corporate misconduct: Evidence from the establishment of the Shanghai Financial Court,https://www.sciencedirect.com/science/article/pii/S0165176523002239,Available online 30 May 2023,2023,Research Article
11,11,Familiarity bias and economic decisions: Evidence from a survey experiment,https://www.sciencedirect.com/science/article/pii/S0165176523002227,30 May 2023,2023,Research Article
12,12,Variable trading hours and market reactions to earnings announcements,https://www.sciencedirect.com/science/article/pii/S0165176523002240,Available online 30 May 2023,2023,Research Article
13,13,The impact of the removal of Zero-COVID policies on subjective well-being: Evidence from a digital world,https://www.sciencedirect.com/science/article/pii/S0165176523002148,29 May 2023,2023,Research Article
14,14,"Cash holdings, ambiguity aversion, and investment puzzles",https://www.sciencedirect.com/science/article/pii/S0165176523002173,29 May 2023,2023,Research Article
15,15,Macroprudential policymakers with cautious expectations,https://www.sciencedirect.com/science/article/pii/S0165176523002197,28 May 2023,2023,Research Article
16,16,Resolving the conflict on conduct parameter estimation in homogeneous goods markets between Bresnahan (1982) and Perloff and Shen (2012),https://www.sciencedirect.com/science/article/pii/S0165176523002185,27 May 2023,2023,Research Article
