,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Tightening eligibility requirements for unemployment benefits. Impact on educational attainment,https://www.sciencedirect.com/science/article/pii/S0272775723000717,14 June 2023,2023,Research Article
1,1,Heterogeneous responses to school track choice: Evidence from the repeal of binding track recommendations,https://www.sciencedirect.com/science/article/pii/S0272775723000596,3 June 2023,2023,Research Article
2,2,School closures and effective in-person learning during COVID-19,https://www.sciencedirect.com/science/article/pii/S0272775723000699,1 June 2023,2023,Research Article
3,3,Educational consequences of a sibling's disability: Evidence from type 1 diabetes,https://www.sciencedirect.com/science/article/pii/S0272775723000547,2 May 2023,2023,Research Article
4,4,The price of COVID-19 risk in a public university,https://www.sciencedirect.com/science/article/pii/S0272775723000572,1 May 2023,2023,Research Article
5,5,"Genetic risk, childhood obesity, and educational achievements",https://www.sciencedirect.com/science/article/pii/S0272775723000559,30 April 2023,2023,Research Article
6,6,Knowing what it takes: The effect of information about returns to studying on study effort and achievement,https://www.sciencedirect.com/science/article/pii/S027277572300047X,25 April 2023,2023,Research Article
7,7,Where do colleges advertise? Demographic targeting by U.S. colleges,https://www.sciencedirect.com/science/article/pii/S0272775723000493,23 April 2023,2023,Research Article
8,8,Teachers’ use of class time and student achievement,https://www.sciencedirect.com/science/article/pii/S0272775723000523,17 April 2023,2023,Research Article
9,9,Labor market conditions and college graduation: Evidence from Brazil,https://www.sciencedirect.com/science/article/pii/S027277572300050X,12 April 2023,2023,Research Article
10,10,Gender gaps in early wage expectations,https://www.sciencedirect.com/science/article/pii/S0272775723000456,6 April 2023,2023,Research Article
11,11,Turning around schools (and neighborhoods?): School improvement grants and gentrification,https://www.sciencedirect.com/science/article/pii/S0272775723000298,3 April 2023,2023,Research Article
12,12,Book matters: The effect of Cocky’s Reading Express on student performance,https://www.sciencedirect.com/science/article/pii/S0272775723000420,30 March 2023,2023,Research Article
13,13,Attending a school with heterogeneous peers: The effects of school detracking and its attenuation,https://www.sciencedirect.com/science/article/pii/S0272775723000481,29 March 2023,2023,Research Article
14,14,College-major choice to college-then-major choice: Experimental evidence from Chinese college admissions reforms,https://www.sciencedirect.com/science/article/pii/S0272775723000274,16 March 2023,2023,Research Article
15,15,Free and reduced-price meal enrollment does not measure student poverty: Evidence and policy significance,https://www.sciencedirect.com/science/article/pii/S0272775723000213,10 March 2023,2023,Research Article
16,16,Impact of online computer assisted learning on education: Experimental evidence from economically vulnerable areas of China,https://www.sciencedirect.com/science/article/pii/S0272775723000328,7 March 2023,2023,Research Article
17,17,Does test-based accountability improve more than just test scores?,https://www.sciencedirect.com/science/article/pii/S0272775723000286,5 March 2023,2023,Research Article
18,18,Heterogeneity in the educational impacts of natural disasters: Evidence from Hurricane Florence,https://www.sciencedirect.com/science/article/pii/S0272775723000201,1 March 2023,2023,Research Article
19,19,"Online teaching, procrastination and student achievement",https://www.sciencedirect.com/science/article/pii/S0272775723000250,1 March 2023,2023,Research Article
20,20,Do timing and reference frame of feedback influence high-stakes educational outcomes?,https://www.sciencedirect.com/science/article/pii/S0272775723000262,27 February 2023,2023,Research Article
21,21,Who refers whom? The effects of teacher characteristics on disciplinary office referrals,https://www.sciencedirect.com/science/article/pii/S0272775723000237,24 February 2023,2023,Research Article
22,22,Does subsidized public health insurance for parents improve children's human capital and close achievement gaps?,https://www.sciencedirect.com/science/article/pii/S027277572300016X,21 February 2023,2023,Research Article
23,23,Bye bye Ms. American Sci: Women and the leaky STEM pipeline,https://www.sciencedirect.com/science/article/pii/S0272775723000183,15 February 2023,2023,Research Article
24,24,Student effort response to shifts in university admission policies,https://www.sciencedirect.com/science/article/pii/S0272775723000146,9 February 2023,2023,Research Article
25,25,Finish it and it is free: An evaluation of college graduation subsidies,https://www.sciencedirect.com/science/article/pii/S027277572300002X,2 February 2023,2023,Research Article
26,26,Race and nativity earnings gaps: The role of college networks,https://www.sciencedirect.com/science/article/pii/S0272775723000031,30 January 2023,2023,Research Article
27,27,When behavioral barriers are too high or low – How timing matters for text-based parenting interventions,https://www.sciencedirect.com/science/article/pii/S027277572200125X,9 January 2023,2023,Research Article
28,28,Teachers’ willingness to pay for retirement benefits: A national stated preferences experiment,https://www.sciencedirect.com/science/article/pii/S0272775722001224,5 January 2023,2023,Research Article
29,29,Trade-offs between work-first and language-first strategies for refugees,https://www.sciencedirect.com/science/article/pii/S0272775722001261,5 January 2023,2023,Research Article
30,30,Oil royalties and the provision of public education in Brazil,https://www.sciencedirect.com/science/article/pii/S0272775722001248,23 December 2022,2022,Research Article
31,31,Particulate pollution and learning,https://www.sciencedirect.com/science/article/pii/S0272775722001170,21 December 2022,2022,Research Article
32,32,Tutoring in (online) higher education: Experimental evidence,https://www.sciencedirect.com/science/article/pii/S0272775722001236,20 December 2022,2022,Research Article
33,33,Do college admissions criteria matter? Evidence from discretionary vs. grade-based admission policies,https://www.sciencedirect.com/science/article/pii/S0272775722001200,9 December 2022,2022,Research Article
34,34,The effect of goal-setting prompts in a blended learning environment—evidence from a field experiment,https://www.sciencedirect.com/science/article/pii/S0272775722001042,9 December 2022,2022,Research Article
