,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Economies and diseconomies of scale in on-demand ridepooling systems,https://www.sciencedirect.com/science/article/pii/S2212012223000138,13 May 2023,2023,Research Article
1,1,Subsidised transport services in a fiscal federation: Why local governments may be against decentralised service provision,https://www.sciencedirect.com/science/article/pii/S2212012223000126,29 March 2023,2023,Research Article
2,2,Do increased speeding fines save lives?,https://www.sciencedirect.com/science/article/pii/S2212012223000114,23 March 2023,2023,Research Article
3,3,How should ports share risk of natural and climate change disasters? Analytical modelling and implications for adaptation investments,https://www.sciencedirect.com/science/article/pii/S2212012223000011,28 February 2023,2023,Research Article
4,4,"Single-till regulation, dual-till regulation, and regulatory capture: When does a regulatory authority favor single-till regulation over dual-till regulation?",https://www.sciencedirect.com/science/article/pii/S2212012222000508,6 February 2023,2023,Research Article
5,5,Airport concession revenue sharing and entry deterrence,https://www.sciencedirect.com/science/article/pii/S221201222200051X,5 January 2023,2023,Research Article
6,6,"Urban commuting time and sick-leave medical license use: An empirical study of Santiago, Chile",https://www.sciencedirect.com/science/article/pii/S2212012222000387,25 November 2022,2022,Research Article
9,9,What role for electric vehicles in the decarbonization of the car transport sector in Europe?,https://www.sciencedirect.com/science/article/pii/S221201222200034X,11 November 2022,2022,Research Article
10,10,An analysis of labor regulations for transportation network companies,https://www.sciencedirect.com/science/article/pii/S2212012222000351,5 November 2022,2022,Research Article
11,11,I would if I could: Passing through VAT reductions in the german rail industry,https://www.sciencedirect.com/science/article/pii/S2212012222000375,28 October 2022,2022,Research Article
12,12,An integral interval timetable for long-distance passenger rail services: Time to reconsider targeting on-track competition,https://www.sciencedirect.com/science/article/pii/S2212012222000363,18 October 2022,2022,Research Article
13,13,Optimal pricing and design of station-based bike-sharing systems: A microeconomic model,https://www.sciencedirect.com/science/article/pii/S2212012222000247,11 August 2022,2022,Research Article
14,14,The effect of vertical product differentiation on fare and market share: Evidence from Delta Air Lines’ middle seat policy,https://www.sciencedirect.com/science/article/pii/S2212012222000259,9 August 2022,2022,Research Article
15,15,Exploring the nonlinear impact of air pollution on housing prices: A machine learning approach,https://www.sciencedirect.com/science/article/pii/S2212012222000235,5 July 2022,2022,Research Article
16,16,Assessing consumer valuations of future costs versus purchase prices in Japan's auto market,https://www.sciencedirect.com/science/article/pii/S2212012222000119,22 March 2022,2022,Research Article
17,17,The spatial effects of entry on airfares in the U.S. airline industry,https://www.sciencedirect.com/science/article/pii/S2212012222000028,21 March 2022,2022,Research Article
18,18,Public transport frequency and risk-taking behavior,https://www.sciencedirect.com/science/article/pii/S2212012222000107,13 March 2022,2022,Research Article
19,19,Spillover delay effects of damaging wildlife strike events at U.S. airports,https://www.sciencedirect.com/science/article/pii/S221201222200003X,8 March 2022,2022,Research Article
20,20,Airport pricing versus (grandfathered) slots: A generalization,https://www.sciencedirect.com/science/article/pii/S2212012221000526,21 January 2022,2022,Research Article
21,21,"A freeway to prosperity? Evidence from Calabria, South of Italy",https://www.sciencedirect.com/science/article/pii/S2212012222000016,18 January 2022,2022,Research Article
22,22,Research on travelers’ transportation mode choice between carsharing and private cars based on the logit dynamic evolutionary game model,https://www.sciencedirect.com/science/article/pii/S2212012221000502,10 December 2021,2021,Research Article
27,27,Modeling ceiling price for build-operate-transfer road projects in developing countries,https://www.sciencedirect.com/science/article/pii/S2212012221000393,23 October 2021,2021,Research Article
28,28,Impacts of trade facilitation on modal choice and international trade flows,https://www.sciencedirect.com/science/article/pii/S221201222100040X,23 October 2021,2021,Research Article
29,29,A model for estimation of the demand for on-street parking,https://www.sciencedirect.com/science/article/pii/S2212012221000368,29 September 2021,2021,Research Article
30,30,An auction mechanism for platoon leader determination in single-brand cooperative vehicle platooning,https://www.sciencedirect.com/science/article/pii/S221201222100037X,27 September 2021,2021,Research Article
31,31,The effects of concession revenue sharing contracts in airport competition,https://www.sciencedirect.com/science/article/pii/S2212012221000381,25 September 2021,2021,Research Article
32,32,Public transport and urban structure,https://www.sciencedirect.com/science/article/pii/S2212012221000356,23 September 2021,2021,Research Article
33,33,Bus Rapid Transit versus road expansion to alleviate congestion: A general equilibrium comparison,https://www.sciencedirect.com/science/article/pii/S2212012221000253,3 August 2021,2021,Research Article
34,34,Pedestrian deaths and large vehicles,https://www.sciencedirect.com/science/article/pii/S2212012221000241,26 July 2021,2021,Research Article
35,35,Transport taxes and subsidies in developing countries: The effect of income inequality aversion,https://www.sciencedirect.com/science/article/pii/S2212012221000113,March 2021,2021,Research Article
36,36,Can time-inconsistent preferences explain hypothetical biases?,https://www.sciencedirect.com/science/article/pii/S2212012221000125,March 2021,2021,Research Article
37,37,Optimization of the cost of urban traffic through an online bidding platform for commuters,https://www.sciencedirect.com/science/article/pii/S2212012221000137,March 2021,2021,Research Article
41,41,A new look at the value of leisure in two-worker households,https://www.sciencedirect.com/science/article/pii/S2212012220301295,9 December 2020,2020,Research Article
42,42,Workplace parking policies in an agglomeration: An illustration for Barcelona,https://www.sciencedirect.com/science/article/pii/S2212012220301301,22 December 2020,2020,Research Article
43,43,Discriminations in the market for “Lemons”: A multicriteria correspondence test in France,https://www.sciencedirect.com/science/article/pii/S2212012220301283,10 November 2020,2020,Research Article
44,44,Who gains and who loses from congestion pricing in a monocentric city with a bottleneck?,https://www.sciencedirect.com/science/article/pii/S2212012220301258,30 October 2020,2020,Research Article
45,45,Hyperdemand: A static traffic model with backward-bending demand curves,https://www.sciencedirect.com/science/article/pii/S2212012220301180,17 October 2020,2020,Research Article
46,46,Does small-scale port investment affect local economic activity? Evidence from small-port development in Indonesia,https://www.sciencedirect.com/science/article/pii/S2212012219301509,5 September 2020,2020,Research Article
47,47,How do subways affect urban passenger transport modes?—Evidence from China,https://www.sciencedirect.com/science/article/pii/S2212012220301179,21 August 2020,2020,Research Article
48,48,The marginal cost of track renewals in the Swedish railway network: Using data to compare methods,https://www.sciencedirect.com/science/article/pii/S2212012218301187,21 May 2020,2020,Research Article
49,49,Effects of asymmetric demands on airline scheduling decisions in a network,https://www.sciencedirect.com/science/article/pii/S2212012219300176,24 April 2020,2020,Research Article
50,50,Airport capacity and entry deterrence: Low cost versus full service airlines,https://www.sciencedirect.com/science/article/pii/S2212012219300796,11 April 2020,2020,Research Article
51,51,The impact of air transport market liberalization: Evidence from EU's external aviation policy,https://www.sciencedirect.com/science/article/pii/S2212012218300819,4 April 2020,2020,Research Article
52,52,Beyond the Mohring effect: Scale economies induced by transit lines structures design,https://www.sciencedirect.com/science/article/pii/S2212012219300085,19 March 2020,2020,Research Article
53,53,The role of labor-supply margins in shaping optimal transport taxes,https://www.sciencedirect.com/science/article/pii/S2212012218301424,12 March 2020,2020,Research Article
54,54,When consumer type matters: Price effects of the United-Continental merger in the airline industry,https://www.sciencedirect.com/science/article/pii/S2212012219300875,12 February 2020,2020,Research Article
55,55,Tradable permit schemes for congestible facilities with uncertain supply and demand,https://www.sciencedirect.com/science/article/pii/S221201221930070X,20 January 2020,2020,Research Article
56,56,"The economics of automated public transport: Effects on operator cost, travel time, fare and subsidy",https://www.sciencedirect.com/science/article/pii/S2212012219300802,23 December 2019,2019,Research Article
57,57,Effectiveness of car scrappage schemes: Counterfactual-based evidence on the Italian experience,https://www.sciencedirect.com/science/article/pii/S221201221930005X,13 December 2019,2019,Research Article
58,58,A three-stage competition game in an air transport network under asymmetric valuation of flight frequencies,https://www.sciencedirect.com/science/article/pii/S2212012218301114,26 November 2019,2019,Research Article
63,63,Congestion in midtown Manhattan in relation to marginal cost pricing,https://www.sciencedirect.com/science/article/pii/S2212012219301546,25 January 2020,2020,Research Article
