,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Climate change and fossil fuel prices: A GARCH-MIDAS analysis,https://www.sciencedirect.com/science/article/pii/S0140988323002906,Available online 14 June 2023,2023,Research Article
1,1,"Cap-and-trade mechanisms, green technology investment, and shadow insurance in a black swan environment",https://www.sciencedirect.com/science/article/pii/S0140988323002748,Available online 10 June 2023,2023,Research Article
2,2,How to purchase carbon emission right optimally for energy-consuming enterprises? Analysis based on optimal stopping model,https://www.sciencedirect.com/science/article/pii/S0140988323002566,Available online 9 June 2023,2023,Research Article
3,3,Consumption and production of cleaner energy by prosumers,https://www.sciencedirect.com/science/article/pii/S014098832300258X,Available online 9 June 2023,2023,Research Article
4,4,Dynamic effects and driving intermediations of oil price shocks on major economies,https://www.sciencedirect.com/science/article/pii/S0140988323002773,Available online 8 June 2023,2023,Research Article
5,5,Do retail businesses have efficient incentives to invest in public charging stations for electric vehicles?,https://www.sciencedirect.com/science/article/pii/S014098832300275X,Available online 7 June 2023,2023,Research Article
6,6,Emotional or rational choice: The influence of individual personality on energy-saving behavior,https://www.sciencedirect.com/science/article/pii/S0140988323002669,7 June 2023,2023,Research Article
7,7,Exchange rate pass-through and inflation targeting regime under energy prices shocks,https://www.sciencedirect.com/science/article/pii/S0140988323002591,Available online 5 June 2023,2023,Research Article
8,8,Short- and long-run determinants of the price behavior of US clean energy stocks: A dynamic ARDL simulations approach,https://www.sciencedirect.com/science/article/pii/S0140988323002694,Available online 2 June 2023,2023,Research Article
9,9,Induced green innovation of suppliers: The “green power” from major customers,https://www.sciencedirect.com/science/article/pii/S0140988323002736,Available online 2 June 2023,2023,Research Article
10,10,The impact of China's pilot carbon ETS on the labor income share: Based on an empirical method of combining PSM with staggered DID,https://www.sciencedirect.com/science/article/pii/S0140988323002682,2 June 2023,2023,Research Article
11,11,Do pilot zones for green finance reform and innovation promote energy savings? Evidence from China,https://www.sciencedirect.com/science/article/pii/S014098832300261X,2 June 2023,2023,Research Article
12,12,Green investment and asset stranding under transition scenario uncertainty,https://www.sciencedirect.com/science/article/pii/S0140988323002712,1 June 2023,2023,Research Article
13,13,Price connectedness in U.S. ethanol terminal markets,https://www.sciencedirect.com/science/article/pii/S0140988323002578,Available online 1 June 2023,2023,Research Article
14,14,Does industrial upgrading improve eco-efficiency? Evidence from China's industrial sector,https://www.sciencedirect.com/science/article/pii/S0140988323002724,1 June 2023,2023,Research Article
15,15,The impact of producer services agglomeration on green economic development: Evidence from 278 Chinese cities,https://www.sciencedirect.com/science/article/pii/S0140988323002670,Available online 1 June 2023,2023,Research Article
16,16,A pathway to sustainable development: Digitization and green productivity,https://www.sciencedirect.com/science/article/pii/S0140988323002700,Available online 1 June 2023,2023,Research Article
17,17,An empirical analysis of the dynamic relationship between clean and dirty energy markets,https://www.sciencedirect.com/science/article/pii/S0140988323002645,Available online 30 May 2023,2023,Research Article
18,18,Role of ESG investments in achieving COP-26 targets,https://www.sciencedirect.com/science/article/pii/S0140988323002554,26 May 2023,2023,Research Article
19,19,Transregional electricity transmission and carbon emissions: Evidence from ultra-high voltage transmission projects in China,https://www.sciencedirect.com/science/article/pii/S0140988323002499,25 May 2023,2023,Research Article
20,20,Asymmetric impact of oil price on current account balance: Evidence from oil importing countries,https://www.sciencedirect.com/science/article/pii/S0140988323002475,25 May 2023,2023,Research Article
21,21,Can digital finance empowerment reduce extreme ESG hypocrisy resistance to improve green innovation?,https://www.sciencedirect.com/science/article/pii/S0140988323002542,Available online 25 May 2023,2023,Research Article
22,22,Green innovation downturn: The role of imperfect competition,https://www.sciencedirect.com/science/article/pii/S0140988323002529,24 May 2023,2023,Research Article
23,23,Oil uncertainty and the price-cost markup: Evidence from U.S. data,https://www.sciencedirect.com/science/article/pii/S0140988323002268,24 May 2023,2023,Research Article
24,24,What can be learned from the historical trend of crude oil prices? An ensemble approach for crude oil price forecasting,https://www.sciencedirect.com/science/article/pii/S0140988323002347,24 May 2023,2023,Research Article
25,25,How does green bond issuance affect total factor productivity? Evidence from Chinese listed enterprises,https://www.sciencedirect.com/science/article/pii/S0140988323002530,24 May 2023,2023,Research Article
26,26,Greening through centralization of environmental monitoring?,https://www.sciencedirect.com/science/article/pii/S0140988323002517,24 May 2023,2023,Research Article
27,27,Does new-type urbanization policy promote green energy efficiency? Evidence from a quasi-natural experiment in China,https://www.sciencedirect.com/science/article/pii/S0140988323002505,24 May 2023,2023,Research Article
28,28,The value of electricity storage arbitrage on day-ahead markets across Europe,https://www.sciencedirect.com/science/article/pii/S0140988323002190,18 May 2023,2023,Research Article
29,29,The hard road to a soft landing: Evidence from a (modestly) nonlinear structural model,https://www.sciencedirect.com/science/article/pii/S0140988323002311,18 May 2023,2023,Research Article
30,30,Impacts of weather conditions on the US commodity markets systemic interdependence across multi-timescales,https://www.sciencedirect.com/science/article/pii/S014098832300230X,18 May 2023,2023,Research Article
31,31,The time-varying effects of liquidity and market efficiency of the European Union carbon market: Evidence from the TVP-SVAR-SV approach,https://www.sciencedirect.com/science/article/pii/S0140988323002062,16 May 2023,2023,Research Article
32,32,Tracking economic fluctuations with electricity consumption in Bangladesh,https://www.sciencedirect.com/science/article/pii/S0140988323002384,16 May 2023,2023,Research Article
33,33,Does political inspection promote corporate green innovation?,https://www.sciencedirect.com/science/article/pii/S0140988323002281,16 May 2023,2023,Research Article
34,34,Does adhering to the principles of green finance matter for stock valuation? Evidence from testing for (co-)explosiveness,https://www.sciencedirect.com/science/article/pii/S014098832300227X,16 May 2023,2023,Research Article
35,35,"The relative response of Russian National Wealth Fund to oil demand, supply and risk shocks",https://www.sciencedirect.com/science/article/pii/S0140988323002220,13 May 2023,2023,Research Article
36,36,Diversification effects of China's carbon neutral bond on renewable energy stock markets: A minimum connectedness portfolio approach,https://www.sciencedirect.com/science/article/pii/S0140988323002256,12 May 2023,2023,Research Article
37,37,Environmental productivity growth across European industries,https://www.sciencedirect.com/science/article/pii/S0140988323002050,12 May 2023,2023,Research Article
38,38,Analysis of generation investments under price controls in cross-border trade of electricity,https://www.sciencedirect.com/science/article/pii/S0140988323002207,11 May 2023,2023,Research Article
39,39,EU in search of a Carbon Border Adjustment Mechanism,https://www.sciencedirect.com/science/article/pii/S0140988323001718,9 May 2023,2023,Research Article
40,40,Time-varying effects of oil price shocks on financial stress: Evidence from India,https://www.sciencedirect.com/science/article/pii/S0140988323002013,9 May 2023,2023,Research Article
41,41,Dynamic time-frequency connectedness between European emissions trading system and sustainability markets,https://www.sciencedirect.com/science/article/pii/S0140988323002244,9 May 2023,2023,Research Article
42,42,Exploring the effects of manufacturing servitization on enterprise energy conservation and emissions reduction moderated by digital transformation,https://www.sciencedirect.com/science/article/pii/S0140988323002049,9 May 2023,2023,Research Article
43,43,Green bonds markets and renewable energy development: Policy integration for achieving carbon neutrality,https://www.sciencedirect.com/science/article/pii/S0140988323002232,9 May 2023,2023,Research Article
44,44,Exquisite workmanship through net-zero emissions? The effects of carbon emission trading policy on firms' export product quality,https://www.sciencedirect.com/science/article/pii/S0140988323001998,8 May 2023,2023,Research Article
45,45,"The impact of managerial myopia on environmental, social and governance (ESG) engagement: Evidence from Chinese firms",https://www.sciencedirect.com/science/article/pii/S0140988323002037,3 May 2023,2023,Research Article
46,46,Analyzing different types of asymmetric responses in terminal gate prices of petrol and diesel across major Australian seaports: Implications for fuel price monitoring strategies,https://www.sciencedirect.com/science/article/pii/S0140988323002074,3 May 2023,2023,Research Article
47,47,Drivers and pass-through of the EU ETS price: Evidence from the power sector,https://www.sciencedirect.com/science/article/pii/S0140988323001962,2 May 2023,2023,Research Article
48,48,Combining mandatory coal power phaseout and emissions trading in China's power sector,https://www.sciencedirect.com/science/article/pii/S0140988323001925,28 April 2023,2023,Research Article
49,49,The impact of geopolitical risks on renewable energy demand in OECD countries,https://www.sciencedirect.com/science/article/pii/S0140988323001986,26 April 2023,2023,Research Article
50,50,House of the rising sun: The effect of utility-scale solar arrays on housing prices,https://www.sciencedirect.com/science/article/pii/S0140988323001974,26 April 2023,2023,Research Article
51,51,Forecasting Chinese provincial CO,https://www.sciencedirect.com/science/article/pii/S0140988323001834,25 April 2023,2023,Research Article
52,52,Does carbon price uncertainty affect stock price crash risk? Evidence from China,https://www.sciencedirect.com/science/article/pii/S0140988323001871,24 April 2023,2023,Research Article
53,53,High return and low risk: Shaping composite financial investment decision in the new energy stock market,https://www.sciencedirect.com/science/article/pii/S0140988323001810,24 April 2023,2023,Research Article
54,54,Insurer financing for borrowing producers in a supply chain under alternative carbon allowance trades,https://www.sciencedirect.com/science/article/pii/S0140988323001822,23 April 2023,2023,Research Article
55,55,Research on tail risk contagion in international energy markets—The quantile time-frequency volatility spillover perspective,https://www.sciencedirect.com/science/article/pii/S0140988323001767,21 April 2023,2023,Research Article
56,56,Does financial market participation eradicate household energy poverty?,https://www.sciencedirect.com/science/article/pii/S0140988323001858,21 April 2023,2023,Research Article
57,57,Earnings expectations of grey and green energy firms: Analysis against the background of global climate change mitigation,https://www.sciencedirect.com/science/article/pii/S0140988323001901,20 April 2023,2023,Research Article
58,58,COVID-induced sentiment and the intraday volatility spillovers between energy and other ETFs,https://www.sciencedirect.com/science/article/pii/S0140988323001755,20 April 2023,2023,Research Article
59,59,How does energy poverty eradication realize the path to carbon unlocking? The case of China,https://www.sciencedirect.com/science/article/pii/S0140988323001895,20 April 2023,2023,Research Article
60,60,Structural sources of oil market volatility and correlation dynamics,https://www.sciencedirect.com/science/article/pii/S0140988323001561,20 April 2023,2023,Research Article
61,61,Effect of weather and environmental attentions on financial system risks: Evidence from Chinese high- and low-carbon assets,https://www.sciencedirect.com/science/article/pii/S0140988323001780,20 April 2023,2023,Research Article
62,62,Analyzing the impact of low-carbon city pilot policy on enterprises' labor demand: Evidence from China,https://www.sciencedirect.com/science/article/pii/S0140988323001743,Available online 20 April 2023,2023,Research Article
63,63,The equilibrium analysis and potential modifications on the China pilot electricity spot market,https://www.sciencedirect.com/science/article/pii/S0140988323001913,19 April 2023,2023,Research Article
