,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Fiscal rules and the reliability of public investment plans: Evidence from local governments,https://www.sciencedirect.com/science/article/pii/S0176268023000599,Available online 12 June 2023,2023,Research Article
1,1,More is not always better. Effect of educational expenditures on education quality and social mobility in Switzerland,https://www.sciencedirect.com/science/article/pii/S0176268023000514,Available online 30 May 2023,2023,Research Article
2,2,Choosing not to lead: Monetary incentives and political selection in local parliamentary systems,https://www.sciencedirect.com/science/article/pii/S0176268023000502,Available online 30 May 2023,2023,Research Article
3,3,Gender differences in politician persistence and incumbency advantage,https://www.sciencedirect.com/science/article/pii/S0176268023000484,26 May 2023,2023,Research Article
4,4,Political polarization and international cooperation,https://www.sciencedirect.com/science/article/pii/S0176268023000459,3 May 2023,2023,Research Article
5,5,On the duration of empires,https://www.sciencedirect.com/science/article/pii/S0176268023000447,25 April 2023,2023,Research Article
6,6,Emigrants’ missing votes,https://www.sciencedirect.com/science/article/pii/S0176268023000423,19 April 2023,2023,Research Article
7,7,Belonging or estrangement—The European Refugee Crisis and its effects on immigrant identity,https://www.sciencedirect.com/science/article/pii/S0176268023000381,17 April 2023,2023,Research Article
8,8,Pro-growth inefficiency: Rents and moral hazard in infrastructure contests in China,https://www.sciencedirect.com/science/article/pii/S0176268023000411,Available online 15 April 2023,2023,Research Article
9,9,Determinants of compliance with fiscal rules: Misplaced efforts or hidden motivations?,https://www.sciencedirect.com/science/article/pii/S0176268023000435,14 April 2023,2023,Research Article
10,10,Fiscal decentralization and tax collection: evidence from the rural property tax in Brazil,https://www.sciencedirect.com/science/article/pii/S017626802300040X,13 April 2023,2023,Research Article
11,11,Short and long run democracy diffusion,https://www.sciencedirect.com/science/article/pii/S0176268023000393,8 April 2023,2023,Research Article
12,12,Invest one – get two extra: Public investment crowds in private investment,https://www.sciencedirect.com/science/article/pii/S0176268023000289,Available online 2 April 2023,2023,Research Article
13,13,Non-random selection into entrepreneurship in the realm of government decentralization and corruption,https://www.sciencedirect.com/science/article/pii/S0176268023000216,28 March 2023,2023,Research Article
14,14,"An experiment on donations, personal stories, and bad luck",https://www.sciencedirect.com/science/article/pii/S0176268023000253,Available online 17 March 2023,2023,Research Article
15,15,Do your tax problems make tax evasion seem more justifiable? Evidence from a survey experiment,https://www.sciencedirect.com/science/article/pii/S0176268023000095,13 March 2023,2023,Research Article
16,16,Decentralisation or patronage: What determines government's allocation of development spending in a unitary country? Evidence from Bangladesh,https://www.sciencedirect.com/science/article/pii/S0176268023000290,9 March 2023,2023,Research Article
17,17,Can internet surveys represent the entire population? A practitioners’ analysis,https://www.sciencedirect.com/science/article/pii/S0176268023000265,4 March 2023,2023,Research Article
18,18,"Institutions, assortative matching and cultural evolution",https://www.sciencedirect.com/science/article/pii/S0176268023000241,2 March 2023,2023,Research Article
19,19,COVID-19 fatalities and internal conflict: Does government economic support matter?,https://www.sciencedirect.com/science/article/pii/S0176268023000125,24 February 2023,2023,Research Article
20,20,Earthquake hazard and civic capital,https://www.sciencedirect.com/science/article/pii/S0176268023000113,23 February 2023,2023,Research Article
21,21,"Bread and the dilemmas of socialist paternalism in Israel, 1948–1977",https://www.sciencedirect.com/science/article/pii/S0176268023000101,Available online 10 February 2023,2023,Research Article
22,22,"Decentralization, social capital, and regional growth: The case of the Italian North-South divide",https://www.sciencedirect.com/science/article/pii/S0176268023000071,4 February 2023,2023,Research Article
23,23,Islamist terrorism and the status of women,https://www.sciencedirect.com/science/article/pii/S0176268023000083,2 February 2023,2023,Research Article
24,24,Do public account financial statements matter? Evidence from Japanese municipalities,https://www.sciencedirect.com/science/article/pii/S0176268023000022,25 January 2023,2023,Research Article
25,25,Measuring partisan media bias in US newscasts from 2001 to 2012,https://www.sciencedirect.com/science/article/pii/S0176268023000046,20 January 2023,2023,Research Article
26,26,Is democracy good for growth? — Development at political transition time matters,https://www.sciencedirect.com/science/article/pii/S0176268022001586,6 January 2023,2023,Research Article
27,27,Geopolitics and rare earth metals,https://www.sciencedirect.com/science/article/pii/S0176268022001598,30 December 2022,2022,Research Article
28,28,Obedience to the symbol of authority: Experimental evidence on the symbolic source of legitimate authority,https://www.sciencedirect.com/science/article/pii/S0176268022001574,28 December 2022,2022,Research Article
29,29,Stock markets and economic uncertainty: Roles of legislative sessions and coalition strength,https://www.sciencedirect.com/science/article/pii/S0176268022001562,19 December 2022,2022,Research Article
30,30,Trust and attitudes toward income inequality: Does individualism matter?,https://www.sciencedirect.com/science/article/pii/S0176268022001549,29 November 2022,2022,Research Article
31,31,A few signatures matter: Barriers to entry in Italian local politics,https://www.sciencedirect.com/science/article/pii/S0176268022001367,28 November 2022,2022,Research Article
32,32,Immigration vs. poverty: Causal impact on demand for redistribution in a survey experiment,https://www.sciencedirect.com/science/article/pii/S0176268022001513,28 November 2022,2022,Research Article
33,33,Does expert information affect citizens’ attitudes toward Corona policies? Evidence from Germany,https://www.sciencedirect.com/science/article/pii/S0176268022001537,24 November 2022,2022,Research Article
34,34,The 2020 US Presidential election and Trump’s wars on trade and health insurance,https://www.sciencedirect.com/science/article/pii/S0176268022001410,22 November 2022,2022,Research Article
35,35,Intergenerational consequences of gradual pension reforms,https://www.sciencedirect.com/science/article/pii/S0176268022001392,19 November 2022,2022,Research Article
36,36,Legislators in the crossfire: Strategic non-voting and the effect of transparency,https://www.sciencedirect.com/science/article/pii/S0176268022001276,8 November 2022,2022,Research Article
37,37,Do longer constitutions corrupt?,https://www.sciencedirect.com/science/article/pii/S0176268022001227,2 November 2022,2022,Research Article
38,38,"Environmental regulation, political incentives, and mortality in China",https://www.sciencedirect.com/science/article/pii/S0176268022001252,27 October 2022,2022,Research Article
39,39,Investment in identity in the field-Nudging refugees’ integration effort,https://www.sciencedirect.com/science/article/pii/S0176268022001240,22 October 2022,2022,Research Article
40,40,The effect of ethnic diversity on the participation in social groups: Evidence from trade unions,https://www.sciencedirect.com/science/article/pii/S0176268022001215,18 October 2022,2022,Research Article
41,41,On the optimal size of legislatures: An illustrated literature review,https://www.sciencedirect.com/science/article/pii/S0176268022001203,10 October 2022,2022,Research Article
42,42,Electoral competition with fake news,https://www.sciencedirect.com/science/article/pii/S0176268022001185,30 September 2022,2022,Research Article
43,43,Gender bias and women’s political performance,https://www.sciencedirect.com/science/article/pii/S0176268022001173,27 September 2022,2022,Research Article
44,44,Do rival political parties enforce government efficiency? Evidence from Canada 1867–2021,https://www.sciencedirect.com/science/article/pii/S0176268022001161,24 September 2022,2022,Research Article
45,45,Democracy favors access to credit of firms,https://www.sciencedirect.com/science/article/pii/S017626802200115X,20 September 2022,2022,Research Article
46,46,Farewell Anatolia: Refugees & the rise of the Greek Left,https://www.sciencedirect.com/science/article/pii/S0176268022000799,14 September 2022,2022,Research Article
47,47,Macroeconomic expectations and consumer sentiment during the COVID-19 pandemic: The role of others’ beliefs,https://www.sciencedirect.com/science/article/pii/S0176268022000921,10 September 2022,2022,Research Article
