,Unnamed: 0,Title,Url,Time,Year,Type
0,0,"Information sharing, personalized pricing, and collusion",https://www.sciencedirect.com/science/article/pii/S0167624523000173,Available online 2 June 2023,2023,Research Article
1,1,Social R&D: Does academic freedom contribute to improved societal outcomes?,https://www.sciencedirect.com/science/article/pii/S016762452300015X,28 March 2023,2023,Research Article
2,2,Prioritization between asymmetric content providers,https://www.sciencedirect.com/science/article/pii/S0167624523000045,13 January 2023,2023,Research Article
3,3,Does the internet help the unemployed find jobs?,https://www.sciencedirect.com/science/article/pii/S0167624523000021,9 January 2023,2023,Research Article
4,4,The impact of taxation in the telecommunications industry,https://www.sciencedirect.com/science/article/pii/S016762452300001X,7 January 2023,2023,Research Article
7,7,Multidimensional media slant: Complementarities in news reporting by US newspapers,https://www.sciencedirect.com/science/article/pii/S0167624522000452,23 October 2022,2022,Research Article
8,8,Impact of digitalization and environmental regulation on total factor productivity,https://www.sciencedirect.com/science/article/pii/S0167624522000464,23 October 2022,2022,Research Article
9,9,Effects of vertical integration on internet service providers’ zero-rating choice,https://www.sciencedirect.com/science/article/pii/S0167624522000440,4 October 2022,2022,Research Article
10,10,Behavior-based price discrimination in a horizontally and vertically differentiated duopoly with switching costs,https://www.sciencedirect.com/science/article/pii/S0167624522000439,3 October 2022,2022,Research Article
11,11,The Impact of Privacy Regulation on Web Traffic: Evidence From the GDPR.,https://www.sciencedirect.com/science/article/pii/S0167624522000427,29 September 2022,2022,Research Article
12,12,Net neutrality and consumer demand in the video on-demand market,https://www.sciencedirect.com/science/article/pii/S0167624522000324,13 August 2022,2022,Research Article
13,13,Universal high-speed broadband provision: A simple auction approach,https://www.sciencedirect.com/science/article/pii/S0167624522000336,8 August 2022,2022,Research Article
14,14,Partisan selective exposure in news consumption,https://www.sciencedirect.com/science/article/pii/S0167624522000312,28 July 2022,2022,Research Article
15,15,Exclusive content and platform competition in Latin America,https://www.sciencedirect.com/science/article/pii/S0167624522000282,22 July 2022,2022,Research Article
16,16,Let the user speak: Is feedback on Facebook a source of firms’ innovation?,https://www.sciencedirect.com/science/article/pii/S0167624522000300,20 July 2022,2022,Research Article
17,17,Carpe Data: Protecting online privacy with naive users,https://www.sciencedirect.com/science/article/pii/S0167624522000270,29 June 2022,2022,Research Article
18,18,Broadband internet and protests: Evidence from the Occupy movement,https://www.sciencedirect.com/science/article/pii/S016762452200021X,23 June 2022,2022,Research Article
19,19,Telework in the spread of COVID-19,https://www.sciencedirect.com/science/article/pii/S0167624522000269,20 June 2022,2022,Research Article
20,20,Impact of information technology on firm performance: New evidence from Indian manufacturing,https://www.sciencedirect.com/science/article/pii/S0167624522000257,20 June 2022,2022,Research Article
21,21,"Vertical integration, innovation and foreclosure with competing ecosystems",https://www.sciencedirect.com/science/article/pii/S0167624522000208,16 June 2022,2022,Research Article
22,22,Online privacy and market structure: Theory and evidence,https://www.sciencedirect.com/science/article/pii/S0167624522000245,12 June 2022,2022,Research Article
23,23,Education outcomes of broadband expansion in Brazilian municipalities,https://www.sciencedirect.com/science/article/pii/S0167624522000221,10 June 2022,2022,Research Article
24,24,"Zero-rating, content quality, and network capacity",https://www.sciencedirect.com/science/article/pii/S0167624522000026,31 January 2022,2022,Research Article
25,25,Market must be defended: The role of counter-espionage policy in protecting domestic market welfare,https://www.sciencedirect.com/science/article/pii/S0167624522000014,8 January 2022,2022,Research Article
26,26,The impact of telecommunication regulatory policy on mobile retail price in Sub-Saharan African countries,https://www.sciencedirect.com/science/article/pii/S0167624521000512,18 December 2021,2021,Research Article
27,27,The role of prior warnings when cheating is easy and punishment is credible,https://www.sciencedirect.com/science/article/pii/S0167624521000470,4 December 2021,2021,Research Article
29,29,Mobility restrictions and the substitution between on-site and remote work: Empirical evidence from a European online labour market,https://www.sciencedirect.com/science/article/pii/S0167624521000391,16 October 2021,2021,Research Article
33,33,Investigative journalism and media capture in the digital age,https://www.sciencedirect.com/science/article/pii/S0167624521000305,25 August 2021,2021,Research Article
34,34,The geography of ridesharing: A case study on New York City,https://www.sciencedirect.com/science/article/pii/S0167624521000299,29 July 2021,2021,Research Article
35,35,The Internet and SME Participation in Exports,https://www.sciencedirect.com/science/article/pii/S0167624521000287,22 July 2021,2021,Research Article
36,36,Demand price elasticity of mobile voice communication: A comparative firm level data analysis,https://www.sciencedirect.com/science/article/pii/S0167624521000275,5 July 2021,2021,Research Article
37,37,Picking up speed: Does ultrafast broadband increase firm productivity?,https://www.sciencedirect.com/science/article/pii/S0167624521000251,12 June 2021,2021,Research Article
38,38,Broadband Infrastructure and Economic Growth in Rural Areas,https://www.sciencedirect.com/science/article/pii/S016762452100024X,12 June 2021,2021,Research Article
39,39,Eliminating digital rights management from the E-book market,https://www.sciencedirect.com/science/article/pii/S0167624521000238,3 June 2021,2021,Research Article
40,40,Displacement from piracy in the American comic book market,https://www.sciencedirect.com/science/article/pii/S0167624521000159,9 May 2021,2021,Research Article
41,41,Selective sharing of news items and the political position of news outlets,https://www.sciencedirect.com/science/article/pii/S0167624521000147,20 April 2021,2021,Research Article
42,42,Low demand despite broad supply: Is high-speed Internet an infrastructure of general interest?,https://www.sciencedirect.com/science/article/pii/S0167624521000123,18 March 2021,2021,Research Article
43,43,When does remote electronic access (not) boost productivity? Longitudinal evidence from Portugal,https://www.sciencedirect.com/science/article/pii/S0167624521000111,7 March 2021,2021,Research Article
44,44,The impact of internet access on research output - a cross-country study,https://www.sciencedirect.com/science/article/pii/S0167624521000020,31 January 2021,2021,Research Article
45,45,"Co-investment, uncertainty, and opportunism:",https://www.sciencedirect.com/science/article/pii/S0167624521000019,8 January 2021,2021,Research Article
46,46,Price discrimination and product quality under opt-in privacy regulation,https://www.sciencedirect.com/science/article/pii/S0167624520301566,27 December 2020,2020,Research Article
47,47,International connectivity and the digital divide in Sub-Saharan Africa,https://www.sciencedirect.com/science/article/pii/S0167624520301451,1 December 2020,2020,Research Article
48,48,Does the internet increase the job finding rate? Evidence from a period of expansion in internet use,https://www.sciencedirect.com/science/article/pii/S016762452030144X,28 November 2020,2020,Research Article
49,49,Zero-Rating and Vertical Content Foreclosure,https://www.sciencedirect.com/science/article/pii/S0167624520301438,19 November 2020,2020,Research Article
50,50,Endogenous information acquisition and the partial announcement policy,https://www.sciencedirect.com/science/article/pii/S0167624520301426,14 October 2020,2020,Research Article
51,51,Effects of TV airtime regulation on advertising quality and welfare,https://www.sciencedirect.com/science/article/pii/S0167624520301414,2 October 2020,2020,Research Article
52,52,Seven deadly sins of tech?,https://www.sciencedirect.com/science/article/pii/S0167624520301372,15 September 2020,2020,Research Article
53,53,Reduced demand uncertainty and the sustainability of collusion: How AI could affect competition,https://www.sciencedirect.com/science/article/pii/S0167624520301268,5 September 2020,2020,Research Article
54,54,Mergers in the digital economy,https://www.sciencedirect.com/science/article/pii/S0167624520301347,2 September 2020,2020,Research Article
55,55,"Big Tech mergers: Innovation, competition for the market, and the acquisition of emerging competitors",https://www.sciencedirect.com/science/article/pii/S016762452030127X,1 September 2020,2020,Research Article
56,56,The Economics of Platforms: A Theory Guide for Competition Policy,https://www.sciencedirect.com/science/article/pii/S0167624520301244,17 August 2020,2020,Research Article
57,57,Separation: A Cure for Abuse of Platform Dominance?,https://www.sciencedirect.com/science/article/pii/S0167624520301207,16 June 2020,2020,Research Article
58,58,Merger policy in digital industries,https://www.sciencedirect.com/science/article/pii/S0167624519302537,7 June 2020,2020,Research Article
59,59,Big tech mergers,https://www.sciencedirect.com/science/article/pii/S0167624520300111,26 May 2020,2020,Research Article
60,60,Big data at the crossroads of antitrust and consumer protection,https://www.sciencedirect.com/science/article/pii/S0167624520300792,18 April 2020,2020,Research Article
61,61,"Market power, competition and innovation in digital markets: A survey",https://www.sciencedirect.com/science/article/pii/S0167624519301994,18 February 2020,2020,Research Article
66,66,Introduction to the special issue of ,https://www.sciencedirect.com/science/article/pii/S0167624520301384,8 September 2020,2020,Research Article
67,67,Preventing commercial piracy when consumers are loss averse,https://www.sciencedirect.com/science/article/pii/S0167624520301402,28 September 2020,2020,Research Article
68,68,The drivers of financial development: Global evidence from internet and mobile usage,https://www.sciencedirect.com/science/article/pii/S0167624520301360,15 September 2020,2020,Research Article
69,69,Price-match guarantees and investment incentives,https://www.sciencedirect.com/science/article/pii/S0167624520301359,3 September 2020,2020,Research Article
70,70,Assets on the blockchain: An empirical study of Tokenomics,https://www.sciencedirect.com/science/article/pii/S0167624520301256,22 August 2020,2020,Research Article
71,71,Friends or foes? A meta-analysis of the relationship between “online piracy” and the sales of cultural goods,https://www.sciencedirect.com/science/article/pii/S0167624520301232,30 June 2020,2020,Research Article
72,72,Entry threats from municipal broadband Internet and impacts on private provider quality,https://www.sciencedirect.com/science/article/pii/S0167624520301220,30 June 2020,2020,Research Article
