,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Recourse restrictions and judicial foreclosures: Effects of mortgage law on loan price and collateralization,https://www.sciencedirect.com/science/article/pii/S0144818823000200,Available online 9 June 2023,2023,Research Article
1,1,Law and inequality: A comparative approach to the distributive implications of legal systems,https://www.sciencedirect.com/science/article/pii/S0144818823000170,Available online 23 May 2023,2023,Research Article
2,2,Estimating the effect of U.S. concealed carry laws on homicide: A replication and sensitivity analysis,https://www.sciencedirect.com/science/article/pii/S0144818823000194,15 May 2023,2023,Research Article
3,3,"Variability in punishment, risk preferences and crime deterrence",https://www.sciencedirect.com/science/article/pii/S0144818823000182,12 May 2023,2023,Research Article
4,4,Which companies pay more (or less) in legal fees? An empirical study of India,https://www.sciencedirect.com/science/article/pii/S0144818823000169,15 April 2023,2023,Research Article
5,5,Advance disclosure of insider transactions: Empirical evidence from the Vietnamese stock market,https://www.sciencedirect.com/science/article/pii/S0144818823000157,12 March 2023,2023,Research Article
6,6,The effect of opioids on crime: Evidence from the introduction of OxyContin,https://www.sciencedirect.com/science/article/pii/S0144818823000145,28 February 2023,2023,Research Article
7,7,Counteracting offshore tax evasion: Evidence from the foreign account tax compliance act,https://www.sciencedirect.com/science/article/pii/S0144818823000042,27 January 2023,2023,Research Article
8,8,Judicial compliance in district courts,https://www.sciencedirect.com/science/article/pii/S0144818822000783,21 January 2023,2023,Research Article
9,9,Strengthening worker benefits or destroying jobs: Effect of the 2008 Labor Contract Law in China,https://www.sciencedirect.com/science/article/pii/S0144818822000771,28 December 2022,2022,Research Article
10,10,The effect of political influence on corporate valuation: Evidence from party-building reform in China,https://www.sciencedirect.com/science/article/pii/S014481882200076X,27 December 2022,2022,Research Article
11,11,The dominance of skill in online poker,https://www.sciencedirect.com/science/article/pii/S0144818822000758,14 December 2022,2022,Research Article
12,12,The Coase Theorem and the empty core: Inspecting the entrails after four decades,https://www.sciencedirect.com/science/article/pii/S0144818822000734,9 December 2022,2022,Research Article
13,13,Law enforcement with rent-seeking government under voting pressure,https://www.sciencedirect.com/science/article/pii/S0144818822000746,7 December 2022,2022,Research Article
14,14,Incentives for investments in defensive technology: An economic analysis of the Safety Act,https://www.sciencedirect.com/science/article/pii/S0144818822000722,24 November 2022,2022,Research Article
15,15,"A macrohistory of legal evolution and coevolution: Property, procedure, and contract in early-modern English caselaw",https://www.sciencedirect.com/science/article/pii/S0144818822000692,14 November 2022,2022,Research Article
16,16,How stock market reacts to environmental disasters and judicial decisions: A case study of Mariana’s dam collapse in Brazil,https://www.sciencedirect.com/science/article/pii/S0144818822000618,2 November 2022,2022,Research Article
17,17,District attorney compensation and performance,https://www.sciencedirect.com/science/article/pii/S0144818822000588,30 October 2022,2022,Research Article
20,20,Time to resolve insolvency and political elections,https://www.sciencedirect.com/science/article/pii/S0144818822000606,30 October 2022,2022,Research Article
21,21,Girls Just Wanna Have Funds? The effect of women-friendly legislation on female-led firms’ access to credit,https://www.sciencedirect.com/science/article/pii/S0144818822000576,17 October 2022,2022,Research Article
22,22,Spatial and temporal correlations of crime in Detroit: Evidence from spatial dynamic panel data models,https://www.sciencedirect.com/science/article/pii/S0144818822000564,14 October 2022,2022,Research Article
23,23,Do women drive corporate social responsibility? Evidence from gender diversity reforms around the world,https://www.sciencedirect.com/science/article/pii/S0144818822000539,30 September 2022,2022,Research Article
24,24,Citizens united and individual sovereignty: A fresh perspective,https://www.sciencedirect.com/science/article/pii/S0144818822000552,29 September 2022,2022,Research Article
25,25,Borrowers’ discouragement and creditor information,https://www.sciencedirect.com/science/article/pii/S0144818822000540,27 September 2022,2022,Research Article
26,26,Crime and the Mariel Boatlift,https://www.sciencedirect.com/science/article/pii/S0144818822000503,17 September 2022,2022,Research Article
27,27,Consent or coordination? assemblies in early medieval Europe,https://www.sciencedirect.com/science/article/pii/S0144818822000527,14 September 2022,2022,Research Article
28,28,"Is it the firm, the innovator, or the innovation? Determinants of perceived non-imitability leading to unprotected intellectual property",https://www.sciencedirect.com/science/article/pii/S0144818822000515,7 September 2022,2022,Research Article
29,29,The value of fiduciary duties: Evidence from ,https://www.sciencedirect.com/science/article/pii/S0144818822000497,23 August 2022,2022,Research Article
30,30,ON THE DECLINE IN STATE POPULATION DISTRIBUTION: A COASEAN ROLE FOR SECTION 111 OF THE AUSTRALIAN CONSTITUTION?,https://www.sciencedirect.com/science/article/pii/S0144818822000485,18 August 2022,2022,Research Article
31,31,Mandatory employee board representation: Good news for family firms?,https://www.sciencedirect.com/science/article/pii/S0144818822000400,26 July 2022,2022,Research Article
32,32,"An ounce of prevention, a pound of cure: The effects of college expansions on crime",https://www.sciencedirect.com/science/article/pii/S0144818822000370,26 June 2022,2022,Research Article
33,33,Lost in election. How different electoral systems translate the voting gender gap into gender representation bias,https://www.sciencedirect.com/science/article/pii/S0144818822000382,24 June 2022,2022,Research Article
34,34,A panel-based proxy for gun prevalence in US and Mexico,https://www.sciencedirect.com/science/article/pii/S0144818822000369,23 June 2022,2022,Research Article
