,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The effects of quantitative easing policy on bank lending: Evidence from Japanese regional banks,https://www.sciencedirect.com/science/article/pii/S0922142523000191,26 May 2023,2023,Research Article
1,1,Why is Japan’s carbon emissions from road transportation declining?,https://www.sciencedirect.com/science/article/pii/S0922142523000208,24 May 2023,2023,Research Article
2,2,Why is the forecast error of quarterly GDP in Japan so large? – From an international comparison of quarterly GDP forecast situation,https://www.sciencedirect.com/science/article/pii/S092214252300018X,14 April 2023,2023,Research Article
3,3,Self-preferencing by platforms: A literature review,https://www.sciencedirect.com/science/article/pii/S0922142523000178,27 March 2023,2023,Research Article
4,4,Management innovations in family firms after CEO successions: Evidence from Japanese SMEs,https://www.sciencedirect.com/science/article/pii/S0922142523000154,24 March 2023,2023,Research Article
5,5,What hinders digital communication? Evidence from foreign firms in Japan,https://www.sciencedirect.com/science/article/pii/S0922142523000166,21 March 2023,2023,Research Article
6,6,A 50-year history of “zombie firms” in Japan: How banks and shareholders have been involved in corporate bailouts?,https://www.sciencedirect.com/science/article/pii/S0922142523000142,16 March 2023,2023,Research Article
7,7,Commodity prices and global economic activity,https://www.sciencedirect.com/science/article/pii/S0922142523000038,11 March 2023,2023,Research Article
8,8,Chronological changes of government sectors’ fiscal policies and fiscal sustainability in Japan,https://www.sciencedirect.com/science/article/pii/S092214252300004X,5 March 2023,2023,Research Article
9,9,Expenditure responses to the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S0922142522000597,29 December 2022,2022,Research Article
10,10,Impact of international expansion strategy on the performance of Japanese banks,https://www.sciencedirect.com/science/article/pii/S0922142522000585,23 December 2022,2022,Research Article
11,11,The Balassa-Samuelson model with job separations,https://www.sciencedirect.com/science/article/pii/S0922142522000573,16 December 2022,2022,Research Article
12,12,Is downsizing a good strategy during the downturn? Evidence from Taiwanese manufacturing firms,https://www.sciencedirect.com/science/article/pii/S0922142522000561,12 December 2022,2022,Research Article
15,15,On expenditure/income discrepancies in national accounts in the presence of two price units,https://www.sciencedirect.com/science/article/pii/S0922142522000469,29 October 2022,2022,Research Article
16,16,FX swaps and forwards in global dollar debt: “Known knowns” and “known unknowns”,https://www.sciencedirect.com/science/article/pii/S0922142522000457,28 October 2022,2022,Research Article
17,17,Traveling and eating out during the COVID-19 pandemic: The Go To campaign policies in Japan,https://www.sciencedirect.com/science/article/pii/S0922142522000421,17 September 2022,2022,Research Article
18,18,Measuring concentration in the Japanese loan and deposit markets,https://www.sciencedirect.com/science/article/pii/S0922142522000330,20 August 2022,2022,Research Article
19,19,How effective was the restaurant restraining order against COVID-19? A nighttime light study in Japan,https://www.sciencedirect.com/science/article/pii/S0922142522000214,5 May 2022,2022,Research Article
20,20,The effect of price on the quality of public construction in Japan,https://www.sciencedirect.com/science/article/pii/S0922142522000196,20 April 2022,2022,Research Article
21,21,The impact of exchange rate changes on the Japanese chemical industry,https://www.sciencedirect.com/science/article/pii/S0922142522000202,15 April 2022,2022,Research Article
22,22,Population aging and labor mobility in Japan,https://www.sciencedirect.com/science/article/pii/S0922142522000160,6 April 2022,2022,Research Article
23,23,Impact of COVID-19 on trade in services,https://www.sciencedirect.com/science/article/pii/S0922142522000172,11 March 2022,2022,Research Article
24,24,The evolution of Japanese keiretsu networks: A review and text network analysis of their perceptions in economics,https://www.sciencedirect.com/science/article/pii/S0922142522000184,7 March 2022,2022,Research Article
25,25,"Comparison of the productivity of public capital by project type: Central-government, subsidized-local, and unsubsidized-local projects in Japan",https://www.sciencedirect.com/science/article/pii/S0922142522000056,31 January 2022,2022,Research Article
26,26,What drives the regional disparities in municipal national health insurance premiums?,https://www.sciencedirect.com/science/article/pii/S0922142522000032,31 January 2022,2022,Research Article
27,27,Comparison of the price adjustment program and subsidy scheme in Japan: Evaluation of domestic sugar support policy to internalize positive externalities,https://www.sciencedirect.com/science/article/pii/S0922142522000044,31 January 2022,2022,Research Article
28,28,Estimating the elasticity of taxable income: Evidence from top Japanese taxpayers,https://www.sciencedirect.com/science/article/pii/S0922142522000020,12 January 2022,2022,Research Article
29,29,Evaluating Japan's corporate income tax reform using firm-specific effective tax rates,https://www.sciencedirect.com/science/article/pii/S0922142522000019,10 January 2022,2022,Research Article
30,30,Economic de-integration in North America and foreign direct investment from Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000591,9 December 2021,2021,Research Article
35,35,Erratum to “Effects of deductions on the tax burden reduction and the redistribution of the income and resident taxes” [Jpn. World Econ. 60 (2021) 101104],https://www.sciencedirect.com/science/article/pii/S092214252100058X,4 January 2022,2022,Research Article
36,36,"Capitalization of local government grants on land values: Evidence from Tokyo metropolitan area, Japan",https://www.sciencedirect.com/science/article/pii/S0922142521000517,8 November 2021,2021,Research Article
37,37,A new assessment of economic integration in East Asia: Application of an industry-specific G-PPP model,https://www.sciencedirect.com/science/article/pii/S0922142521000505,6 November 2021,2021,Research Article
38,38,Effects of deductions on the tax burden reduction and the redistribution of the income and resident taxes,https://www.sciencedirect.com/science/article/pii/S0922142521000499,30 October 2021,2021,Research Article
39,39,Trade deficits and trade conflict: The United States and Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000451,19 October 2021,2021,Research Article
40,40,Propagation of economic shocks through vertical and trade linkages in Korea: An empirical analysis,https://www.sciencedirect.com/science/article/pii/S0922142521000475,13 October 2021,2021,Research Article
41,41,"Real dollarization in Phnom Penh, Evidence from two surveys",https://www.sciencedirect.com/science/article/pii/S0922142521000487,6 October 2021,2021,Research Article
42,42,Local fiscal multipliers and population aging in Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000463,30 September 2021,2021,Research Article
43,43,Global knowledge flow and Japanese multinational firms’ offshore R&D allocation and innovation,https://www.sciencedirect.com/science/article/pii/S0922142521000372,24 June 2021,2021,Research Article
44,44,The time-frequency analysis of conventional and unconventional monetary policy: Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000360,19 June 2021,2021,Research Article
45,45,"FDI, Export Sophistication, and Quality Upgrading: Evidence from China's WTO Accession",https://www.sciencedirect.com/science/article/pii/S0922142521000335,21 May 2021,2021,Research Article
46,46,Impacts of increased Chinese imports on Japan’s labor market,https://www.sciencedirect.com/science/article/pii/S0922142521000347,20 May 2021,2021,Research Article
47,47,Impacts of additional compliance requirements of regulations on the margins of trade,https://www.sciencedirect.com/science/article/pii/S0922142521000359,20 May 2021,2021,Research Article
48,48,Who is the center of local currency Asian government bond markets?,https://www.sciencedirect.com/science/article/pii/S0922142521000220,2 May 2021,2021,Research Article
49,49,The effect of import competition on labor income inequality through firm and worker heterogeneity in the Japanese manufacturing sector,https://www.sciencedirect.com/science/article/pii/S0922142521000232,2 May 2021,2021,Research Article
50,50,Public preferences on immigration in Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000207,14 April 2021,2021,Research Article
51,51,Global value chains and servicification of manufacturing: Evidence from firm-level data,https://www.sciencedirect.com/science/article/pii/S0922142521000219,1 April 2021,2021,Research Article
52,52,Individual characteristics and the demand for reciprocity in trade liberalization: Evidence from a survey in Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000189,16 March 2021,2021,Research Article
53,53,Are REITs more resilient than non-REITs? Evidence from natural experiments,https://www.sciencedirect.com/science/article/pii/S0922142521000165,10 March 2021,2021,Research Article
54,54,Firm-specific human capital in different market conditions: Evidence from the Japanese football league,https://www.sciencedirect.com/science/article/pii/S0922142521000153,19 February 2021,2021,Research Article
55,55,"Wholesalers, indirect exports, geography, and economies of scope: Evidence from firm transaction data in Japan",https://www.sciencedirect.com/science/article/pii/S0922142521000037,24 January 2021,2021,Research Article
56,56,Robotics technology and firm-level employment adjustment in Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000025,13 January 2021,2021,Research Article
57,57,Mixed-frequency approaches to nowcasting GDP: An application to Japan,https://www.sciencedirect.com/science/article/pii/S0922142521000049,10 January 2021,2021,Research Article
58,58,"Lack of successors, firm default, and the performance of small businesses",https://www.sciencedirect.com/science/article/pii/S0922142520300517,17 December 2020,2020,Research Article
59,59,Capitalizing on prospect theory value: The Asian developed stock markets,https://www.sciencedirect.com/science/article/pii/S0922142520300438,3 December 2020,2020,Research Article
63,63,Corrigendum to “Capitalizing on prospect theory value: The Asian developed stock markets” [Jpn. World Econ. 57 (2021) 1–18/101042],https://www.sciencedirect.com/science/article/pii/S0922142521000190,1 April 2021,2021,Research Article
64,64,Corrigendum to “Can the Japanese agri-food producers survive under freer trade? A general equilibrium analysis with farm heterogeneity and product differentiation” [Jpn. World Econ. 55 (2020) 101028],https://www.sciencedirect.com/science/article/pii/S0922142521000177,13 March 2021,2021,Research Article
66,66,Monetary policy shocks and exchange rates in Asian countries,https://www.sciencedirect.com/science/article/pii/S0922142520300426,2 December 2020,2020,Research Article
67,67,More-money and less-cash effects of diversification: Evidence from Japanese firms,https://www.sciencedirect.com/science/article/pii/S0922142520300414,18 November 2020,2020,Research Article
68,68,On the direct and indirect effects of the Great East Japan earthquake on self rated health through social connections: Mediation analysis,https://www.sciencedirect.com/science/article/pii/S0922142520300402,5 November 2020,2020,Research Article
69,69,From firm-level imports to aggregate productivity: Evidence from Korean manufacturing firm data,https://www.sciencedirect.com/science/article/pii/S0922142520300396,2 October 2020,2020,Research Article
70,70,The computable general equilibrium analysis of the reduction in tariffs and non-tariff measures within the Korea-Japan-European Union free trade agreement,https://www.sciencedirect.com/science/article/pii/S0922142520300384,6 September 2020,2020,Research Article
71,71,How Japanese firms can weather ,https://www.sciencedirect.com/science/article/pii/S0922142520300360,2 September 2020,2020,Research Article
72,72,Can the Japanese agri-food producers survive under freer trade? A general equilibrium analysis with farm heterogeneity and product differentiation,https://www.sciencedirect.com/science/article/pii/S0922142520300293,16 August 2020,2020,Research Article
73,73,Structural breaks in the mean of dividend-price ratios: Implications of learning on stock return predictability,https://www.sciencedirect.com/science/article/pii/S0922142520300281,16 August 2020,2020,Research Article
74,74,Do domestic producers benefit from safeguards? The case of a Japanese safeguard on Chinese vegetable imports in 2001,https://www.sciencedirect.com/science/article/pii/S0922142520300256,14 July 2020,2020,Research Article
75,75,Technology convergence networks for flexible display application: A comparative analysis of latecomers and leaders,https://www.sciencedirect.com/science/article/pii/S0922142520300268,12 July 2020,2020,Research Article
76,76,Regional convergence under declining population: The case of Japan,https://www.sciencedirect.com/science/article/pii/S0922142520300025,3 July 2020,2020,Research Article
77,77,The Effects of M&A on Corporate Performance in Japan:DID Analysis in the Era of Corporate Governance Reform,https://www.sciencedirect.com/science/article/pii/S0922142520300141,20 May 2020,2020,Research Article
78,78,Childhood health and future outcomes: Evidence from panel surveys for the Japanese population,https://www.sciencedirect.com/science/article/pii/S0922142520300153,14 May 2020,2020,Research Article
79,79,Which external shock matters in small open economies? Global risk aversion vs. US economic policy uncertainty,https://www.sciencedirect.com/science/article/pii/S0922142520300128,8 May 2020,2020,Research Article
80,80,Government fiscal projection and debt sustainability,https://www.sciencedirect.com/science/article/pii/S0922142520300116,1 May 2020,2020,Research Article
81,81,"Foreign debt, global liquidity, and fiscal sustainability",https://www.sciencedirect.com/science/article/pii/S0922142519300611,18 April 2020,2020,Research Article
82,82,The link between entrepreneurship and informal investment: An international comparison,https://www.sciencedirect.com/science/article/pii/S092214252030013X,13 April 2020,2020,Research Article
