,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Air passenger flow forecasting using nonadditive forecast combination with grey prediction,https://www.sciencedirect.com/science/article/pii/S0969699723000820,12 June 2023,2023,Research Article
1,1,Study on travel behavior characteristics of air passengers in an airport hinterland,https://www.sciencedirect.com/science/article/pii/S0969699723000832,9 June 2023,2023,Research Article
2,2,A machine learning and simulation-based dynamic parking choice model for airports,https://www.sciencedirect.com/science/article/pii/S0969699723000686,6 June 2023,2023,Research Article
3,3,Factors determining the implementation of green practices in airport management. The case study of Polish airports,https://www.sciencedirect.com/science/article/pii/S0969699723000819,2 June 2023,2023,Research Article
4,4,A two-stage approach to aircraft recovery under uncertainty,https://www.sciencedirect.com/science/article/pii/S0969699723000649,30 May 2023,2023,Research Article
5,5,A multi-stage multi-criteria data analytics approach to rank commercial service airports,https://www.sciencedirect.com/science/article/pii/S0969699723000534,21 May 2023,2023,Research Article
6,6,Corporate social responsibility in China's airline industry: A longitudinal content analysis of related reports,https://www.sciencedirect.com/science/article/pii/S0969699723000637,16 May 2023,2023,Research Article
7,7,Analyzing factors affecting charter flight service demand: A case of Taiwan,https://www.sciencedirect.com/science/article/pii/S0969699723000674,11 May 2023,2023,Research Article
8,8,Why did states fail to take control over city-owned airports? A tale of three cities,https://www.sciencedirect.com/science/article/pii/S0969699723000662,9 May 2023,2023,Research Article
9,9,Risk prediction and early warning of pilots’ unsafe behaviors using association rule mining and system dynamics,https://www.sciencedirect.com/science/article/pii/S0969699723000650,9 May 2023,2023,Research Article
10,10,"Life cycle assessment in aviation: A systematic literature review of applications, methodological approaches and challenges",https://www.sciencedirect.com/science/article/pii/S0969699723000613,6 May 2023,2023,Research Article
11,11,The EU emissions trading system and airline low-carbon transition: A game-theoretic approach,https://www.sciencedirect.com/science/article/pii/S0969699723000509,4 May 2023,2023,Research Article
12,12,A data analytics framework for anomaly detection in flight operations,https://www.sciencedirect.com/science/article/pii/S0969699723000522,24 April 2023,2023,Research Article
13,13,Spatial dependence and competition between U.S. airports,https://www.sciencedirect.com/science/article/pii/S0969699722001740,18 April 2023,2023,Research Article
14,14,A composite approach to modelling aircraft noise contours for improved annoyance prediction,https://www.sciencedirect.com/science/article/pii/S0969699723000480,15 April 2023,2023,Research Article
15,15,Modeling technology changes in air transport in the presence of a market shock: A passenger-based analysis,https://www.sciencedirect.com/science/article/pii/S0969699722001594,13 April 2023,2023,Research Article
16,16,Estimating the impact of behavior heterogeneity on airfare choices,https://www.sciencedirect.com/science/article/pii/S0969699723000492,8 April 2023,2023,Research Article
17,17,Air cargo demand in Africa: Application of cointegration and error correction modelling techniques,https://www.sciencedirect.com/science/article/pii/S096969972300042X,3 April 2023,2023,Research Article
18,18,Airport operations with electric-powered towing alternatives under stochastic conditions,https://www.sciencedirect.com/science/article/pii/S0969699723000352,30 March 2023,2023,Research Article
19,19,Productivity change of airlines: A global total factor productivity index with network structure,https://www.sciencedirect.com/science/article/pii/S0969699723000467,28 March 2023,2023,Research Article
20,20,Nonlinear effect of air travel tourism demand on economic growth in Fiji,https://www.sciencedirect.com/science/article/pii/S0969699723000455,28 March 2023,2023,Research Article
21,21,Probabilistic model for the impact of fear of flying on airline network structures,https://www.sciencedirect.com/science/article/pii/S0969699723000418,24 March 2023,2023,Research Article
22,22,Short-haul airline services in Europe and North America - A cross-business model and cross-continental analysis,https://www.sciencedirect.com/science/article/pii/S0969699723000431,20 March 2023,2023,Research Article
23,23,Analysing the impact of collaborations between airlines and maintenance service company under MRO outsourcing mode: Perspective from airline's operations,https://www.sciencedirect.com/science/article/pii/S096969972300039X,10 March 2023,2023,Research Article
24,24,Aviation and carbon emissions: Evidence from airport operations,https://www.sciencedirect.com/science/article/pii/S0969699723000261,9 March 2023,2023,Research Article
25,25,The propagation of European airports’ on-time performance and on-time flights via air connectivity prior to the Covid-19 pandemic,https://www.sciencedirect.com/science/article/pii/S096969972300025X,8 March 2023,2023,Research Article
26,26,The adjusted passenger transportation efficiency of nine airports in China with consideration of the impact of high-speed rail network development: A two-step DEA-OLS method,https://www.sciencedirect.com/science/article/pii/S0969699723000388,8 March 2023,2023,Research Article
27,27,What makes customers of airport lounges satisfied and more? Impact of culture and travel class,https://www.sciencedirect.com/science/article/pii/S0969699723000273,7 March 2023,2023,Research Article
28,28,"Evaluating effective criteria on customer satisfaction using the best-worst method and optimizing resource allocation, case study Iran aseman airlines",https://www.sciencedirect.com/science/article/pii/S0969699723000182,4 March 2023,2023,Research Article
29,29,The value of time and the impact on the air freight product portfolio - A study of the South Korean market 2017–2021,https://www.sciencedirect.com/science/article/pii/S0969699723000248,4 March 2023,2023,Research Article
30,30,The impact of dispatching logic on the efficiency of Urban Air Mobility operations,https://www.sciencedirect.com/science/article/pii/S0969699723000157,14 February 2023,2023,Research Article
31,31,Target setting for airlines incorporating CO,https://www.sciencedirect.com/science/article/pii/S0969699723000194,13 February 2023,2023,Research Article
32,32,Mixed fleet scheduling method for airport ground service vehicles under the trend of electrification,https://www.sciencedirect.com/science/article/pii/S0969699723000224,11 February 2023,2023,Research Article
33,33,"The effect of airport efficiency on air traffic, using DEA and multilateral resistance terms gravity models",https://www.sciencedirect.com/science/article/pii/S0969699723000078,11 February 2023,2023,Research Article
34,34,Does airport construction narrow regional economic disparities in China?,https://www.sciencedirect.com/science/article/pii/S0969699723000054,31 January 2023,2023,Research Article
35,35,"Developing a passenger-centered airport: A case study of Urumqi airport in Xinjiang, China",https://www.sciencedirect.com/science/article/pii/S0969699723000066,30 January 2023,2023,Research Article
36,36,Exploring topics and trends in Chinese ATC incident reports using a domain-knowledge driven topic model,https://www.sciencedirect.com/science/article/pii/S0969699723000170,27 January 2023,2023,Research Article
37,37,Challenges to the air cargo business of combination carriers: Analysis of two major Korean Airlines,https://www.sciencedirect.com/science/article/pii/S0969699723000030,25 January 2023,2023,Research Article
38,38,Performance based analysis for the Ankara-London route in terms of emissions and fuel consumption of different combinations of aircraft/engine: An IMPACT application,https://www.sciencedirect.com/science/article/pii/S0969699722001764,24 January 2023,2023,Research Article
39,39,Has passenger satisfaction at airports changed with the onset of COVID-19? The case of Seville Airport (Spain),https://www.sciencedirect.com/science/article/pii/S0969699723000042,18 January 2023,2023,Research Article
40,40,Seasonality of flights in China: Spatial heterogeneity and its determinants,https://www.sciencedirect.com/science/article/pii/S0969699722001739,16 January 2023,2023,Research Article
41,41,Prioritization of used aircraft acquisition criteria: A fuzzy best–worst method (BWM)-based approach,https://www.sciencedirect.com/science/article/pii/S0969699723000029,11 January 2023,2023,Research Article
42,42,Product–service system negotiation in aircraft lease contracts with option of disagreement,https://www.sciencedirect.com/science/article/pii/S0969699722001624,27 December 2022,2022,Research Article
43,43,Decomposing airline profit inefficiency in NDEA through the non-competitive Nerlovian profit inefficiency model,https://www.sciencedirect.com/science/article/pii/S0969699722001697,26 December 2022,2022,Research Article
44,44,Financial conditions and incumbent quality responses to entry: Evidence from airlines' on-time performance,https://www.sciencedirect.com/science/article/pii/S0969699722001715,20 December 2022,2022,Research Article
