,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Tariff cost and cross-border M&A affiliate sales: Evidence from China,https://www.sciencedirect.com/science/article/pii/S1049007823000568,Available online 13 June 2023,2023,Research Article
1,1,Oil price uncertainty and the cost of debt: Evidence from the Chinese bond market,https://www.sciencedirect.com/science/article/pii/S104900782300057X,5 June 2023,2023,Research Article
2,2,COVID-19-associated income loss and job loss: Evidence from Indonesia,https://www.sciencedirect.com/science/article/pii/S1049007823000519,Available online 30 May 2023,2023,Research Article
3,3,The impact of natural disaster risk on the return of agricultural futures,https://www.sciencedirect.com/science/article/pii/S1049007823000520,25 May 2023,2023,Research Article
4,4,Is environmental regulation a powerful weapon to mitigate China’s PM,https://www.sciencedirect.com/science/article/pii/S1049007823000544,24 May 2023,2023,Research Article
5,5,The aggregate gains of eliminating gender and ethnic gaps in the Malaysian labor market,https://www.sciencedirect.com/science/article/pii/S1049007823000350,16 May 2023,2023,Research Article
6,6,Industry salary gap incentive and enterprise innovation,https://www.sciencedirect.com/science/article/pii/S1049007823000532,16 May 2023,2023,Research Article
7,7,Elections and COVID-19 benefit payments,https://www.sciencedirect.com/science/article/pii/S1049007823000507,11 May 2023,2023,Research Article
8,8,FDI commitments increase when uncertainty is resolved: Evidence from Asia,https://www.sciencedirect.com/science/article/pii/S1049007823000490,11 May 2023,2023,Research Article
9,9,Temperature and outdoor productivity: Evidence from professional soccer players,https://www.sciencedirect.com/science/article/pii/S1049007823000428,6 May 2023,2023,Research Article
10,10,Higher education expansion and domestic value added in exports: Theory and evidence from China,https://www.sciencedirect.com/science/article/pii/S1049007823000416,26 April 2023,2023,Research Article
11,11,Which firms benefit the most from agglomeration? New evidence from an emerging country with consistent measure of productivity,https://www.sciencedirect.com/science/article/pii/S1049007823000404,15 April 2023,2023,Research Article
12,12,Migrating for children’s better future: Intergenerational mobility of internal migrants’ children in Indonesia,https://www.sciencedirect.com/science/article/pii/S1049007823000386,11 April 2023,2023,Research Article
13,13,The impact of Chinese government promoted homestead transfer on labor migration and household's well-being: A study in three rural areas,https://www.sciencedirect.com/science/article/pii/S1049007823000362,7 April 2023,2023,Research Article
