,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Ethnic Cooperation and Conflict in Kenya,https://www.sciencedirect.com/science/article/pii/S2214804323000769,Available online 9 June 2023,2023,Research Article
1,1,An empirical comparison of conjoint and best-worst scaling case III methods,https://www.sciencedirect.com/science/article/pii/S2214804323000757,4 June 2023,2023,Research Article
2,2,A systematic review of nudges on hand hygiene against the spread of COVID-19,https://www.sciencedirect.com/science/article/pii/S2214804323000721,30 May 2023,2023,Research Article
3,3,Market segregation in the presence of customer discrimination,https://www.sciencedirect.com/science/article/pii/S2214804323000708,22 May 2023,2023,Research Article
4,4,Does personal door-to-door campaigning influence voters? Evidence from a field experiment,https://www.sciencedirect.com/science/article/pii/S2214804323000691,21 May 2023,2023,Research Article
5,5,The preoccupied parent: How financial concerns affect child investment choices,https://www.sciencedirect.com/science/article/pii/S2214804323000563,18 May 2023,2023,Research Article
6,6,Intragroup punishment and intergroup conflict aversion weaken intragroup cooperation in finitely repeated games,https://www.sciencedirect.com/science/article/pii/S2214804323000605,18 May 2023,2023,Research Article
7,7,Measuring stereotypes in effort tasks: A multiple-price list approach,https://www.sciencedirect.com/science/article/pii/S2214804323000587,18 May 2023,2023,Research Article
8,8,Do crime victims lose trust in others? Evidence from Germany,https://www.sciencedirect.com/science/article/pii/S2214804323000538,11 May 2023,2023,Research Article
9,9,Evidence on need-sensitive giving behavior: An experimental approach to the acknowledgment of needs,https://www.sciencedirect.com/science/article/pii/S221480432300054X,6 May 2023,2023,Research Article
10,10,Social pension reform and poverty among older people in Hong Kong: Triple difference estimations,https://www.sciencedirect.com/science/article/pii/S2214804323000526,30 April 2023,2023,Research Article
11,11,Loss aversion or lack of trust: Why does loss framing work to encourage preventive health behaviors?,https://www.sciencedirect.com/science/article/pii/S2214804323000484,28 April 2023,2023,Research Article
12,12,Preferred tax rates depend on the rates paid by the rich,https://www.sciencedirect.com/science/article/pii/S2214804323000514,25 April 2023,2023,Research Article
13,13,Crime-related exposure to violence and prosocial behavior: Experimental evidence from Colombia,https://www.sciencedirect.com/science/article/pii/S2214804323000496,19 April 2023,2023,Research Article
14,14,Nudges and choice architecture in public policy: A bibliometric analysis,https://www.sciencedirect.com/science/article/pii/S2214804323000460,16 April 2023,2023,Research Article
15,15,Courtesy versus efficiency: Personal gifts and monetary gifts – Preferences and norms in Israeli society,https://www.sciencedirect.com/science/article/pii/S2214804323000459,7 April 2023,2023,Research Article
16,16,Does time series momentum also exist outside traditional financial markets? Near-laboratory evidence from sports betting,https://www.sciencedirect.com/science/article/pii/S221480432300040X,6 April 2023,2023,Research Article
17,17,Psychological momentum among non-experts: Evidence from club golfers,https://www.sciencedirect.com/science/article/pii/S2214804323000423,5 April 2023,2023,Research Article
18,18,Priming and the value of a statistical life: A cross country comparison,https://www.sciencedirect.com/science/article/pii/S2214804323000393,3 April 2023,2023,Research Article
19,19,The malleability of competitive preferences,https://www.sciencedirect.com/science/article/pii/S2214804323000411,31 March 2023,2023,Research Article
20,20,If it looks like a human and speaks like a human ... Communication and cooperation in strategic Human–Robot interactions,https://www.sciencedirect.com/science/article/pii/S221480432300037X,24 March 2023,2023,Research Article
21,21,Economic incentives and political inequality in the management of environmental public goods,https://www.sciencedirect.com/science/article/pii/S2214804323000320,16 March 2023,2023,Research Article
22,22,Market concentration and the responsiveness of prices and mark-ups,https://www.sciencedirect.com/science/article/pii/S2214804323000332,15 March 2023,2023,Research Article
