,Unnamed: 0,Title,Url,Time,Year,Type
0,0,How to ask twenty questions and win: Machine learning tools for assessing preferences from small samples of willingness-to-pay prices,https://www.sciencedirect.com/science/article/pii/S1755534523000192,19 May 2023,2023,Research Article
1,1,Formative versus reflective attitude measures: Extending the hybrid choice model,https://www.sciencedirect.com/science/article/pii/S1755534523000131,14 May 2023,2023,Research Article
2,2,A Bayesian hierarchical approach to the joint modelling of Revealed and stated choices,https://www.sciencedirect.com/science/article/pii/S1755534523000209,13 May 2023,2023,Research Article
3,3,A discrete choice modeling framework of heterogenous decision rules accounting for non-trading behavior,https://www.sciencedirect.com/science/article/pii/S1755534523000143,Available online 10 May 2023,2023,Research Article
4,4,Preferences for online grocery shopping during the COVID-19 pandemic — the role of fear-related attitudes,https://www.sciencedirect.com/science/article/pii/S1755534523000179,10 May 2023,2023,Research Article
5,5,Estimating a model of forward-looking behavior with discrete choice experiments: The case of lifetime hunting license demand,https://www.sciencedirect.com/science/article/pii/S1755534523000155,3 May 2023,2023,Research Article
6,6,Separation-based parameterization strategies for estimation of restricted covariance matrices in multivariate model systems,https://www.sciencedirect.com/science/article/pii/S175553452300012X,17 March 2023,2023,Research Article
7,7,Building a life-course intertemporal discrete choice model to analyze migration biographies,https://www.sciencedirect.com/science/article/pii/S1755534523000118,6 March 2023,2023,Research Article
8,8,Extensive hypothesis testing for estimation of mixed-Logit models,https://www.sciencedirect.com/science/article/pii/S1755534523000106,27 February 2023,2023,Research Article
9,9,Cost vector effects in discrete choice experiments with positive status quo cost,https://www.sciencedirect.com/science/article/pii/S1755534523000027,2 February 2023,2023,Research Article
10,10,Heterogeneity in choice experiment data: A Bayesian investigation,https://www.sciencedirect.com/science/article/pii/S1755534522000550,4 January 2023,2023,Research Article
11,11,A control-function correction for endogeneity in random coefficients models: The case of choice-based recommender systems,https://www.sciencedirect.com/science/article/pii/S1755534522000562,31 December 2022,2022,Research Article
12,12,Multiple discrete choice and quantity with order statistic marginal utilities,https://www.sciencedirect.com/science/article/pii/S1755534522000525,26 November 2022,2022,Research Article
13,13,Modeling preference heterogeneity using model-based decision trees,https://www.sciencedirect.com/science/article/pii/S1755534522000501,21 November 2022,2022,Research Article
16,16,Preference reversal: Analysis using construal level theory that incorporates discounting,https://www.sciencedirect.com/science/article/pii/S1755534522000410,13 September 2022,2022,Research Article
17,17,Real payment priming to reduce potential hypothetical bias,https://www.sciencedirect.com/science/article/pii/S1755534522000409,10 September 2022,2022,Research Article
18,18,"Weibit choice models: Properties, mode choice application and graphical illustrations",https://www.sciencedirect.com/science/article/pii/S1755534522000306,5 August 2022,2022,Research Article
19,19,Applications of discrete choice experiments in COVID-19 research: Disparity in survey qualities between health and transport fields,https://www.sciencedirect.com/science/article/pii/S1755534522000288,21 July 2022,2022,Research Article
20,20,Matching and weighting in stated preferences for health care,https://www.sciencedirect.com/science/article/pii/S1755534522000252,3 July 2022,2022,Research Article
21,21,Testing for saliency-led choice behavior in discrete choice modeling: An application in the context of preferences towards nuclear energy in Italy,https://www.sciencedirect.com/science/article/pii/S1755534522000276,24 June 2022,2022,Research Article
22,22,A choice experiment approach to evaluate maize farmers’ decision-making processes in Lao PDR,https://www.sciencedirect.com/science/article/pii/S1755534522000240,18 June 2022,2022,Research Article
23,23,Jeopardizing brand profitability by misattributing process heterogeneity to preference heterogeneity,https://www.sciencedirect.com/science/article/pii/S1755534522000173,23 May 2022,2022,Research Article
24,24,Exploring the subscribing behavior of customized bus passengers: Active users versus inactive users,https://www.sciencedirect.com/science/article/pii/S1755534522000136,6 April 2022,2022,Research Article
25,25,Quantifying behavioural difference in latent class models to assess empirical identifiability: Analytical development and application to multiple heuristics,https://www.sciencedirect.com/science/article/pii/S1755534522000148,2 April 2022,2022,Research Article
26,26,Volumetric choice experiments (VCEs),https://www.sciencedirect.com/science/article/pii/S175553452200001X,5 January 2022,2022,Research Article
27,27,Characterizing the impact of discrete indicators to correct for endogeneity in discrete choice models,https://www.sciencedirect.com/science/article/pii/S1755534521000749,5 January 2022,2022,Research Article
28,28,"Modeling the relationship between food purchasing, transport, and health outcomes: Evidence from Concepcion, Chile",https://www.sciencedirect.com/science/article/pii/S1755534521000737,21 December 2021,2021,Research Article
29,29,Utilising activity space concepts to sampling of alternatives for mode and destination choice modelling of discretionary activities,https://www.sciencedirect.com/science/article/pii/S1755534521000695,10 December 2021,2021,Research Article
30,30,Delight or disappointment? A model of signal-based other-pleasing choice,https://www.sciencedirect.com/science/article/pii/S1755534521000609,8 November 2021,2021,Research Article
35,35,: An open-source ,https://www.sciencedirect.com/science/article/pii/S1755534521000713,20 December 2021,2021,Research Article
36,36,Joint analysis of preferences and drop out data in discrete choice experiments,https://www.sciencedirect.com/science/article/pii/S1755534521000415,7 September 2021,2021,Research Article
37,37,Latent class choice model with a flexible class membership component: A mixture model approach,https://www.sciencedirect.com/science/article/pii/S1755534521000531,23 August 2021,2021,Research Article
38,38,"Hypothetical bias in stated choice experiments: Part II. Conceptualisation of external validity, sources and explanations of bias and effectiveness of mitigation methods",https://www.sciencedirect.com/science/article/pii/S1755534521000555,21 August 2021,2021,Research Article
39,39,"Hypothetical bias in stated choice experiments: Part I. Macro-scale analysis of literature and integrative synthesis of empirical evidence from applied economics, experimental psychology and neuroimaging",https://www.sciencedirect.com/science/article/pii/S1755534521000427,1 August 2021,2021,Research Article
40,40,Longitudinal investigation of skeletal activity episode timing decisions – A copula approach,https://www.sciencedirect.com/science/article/pii/S1755534521000397,15 July 2021,2021,Research Article
41,41,Joint modelling of choice and rating data: Theory and examples,https://www.sciencedirect.com/science/article/pii/S1755534521000373,3 July 2021,2021,Research Article
42,42,The landscape of econometric discrete choice modelling research,https://www.sciencedirect.com/science/article/pii/S1755534521000361,24 June 2021,2021,Research Article
43,43,Separating generalizable from source-specific preference heterogeneity in the fusion of revealed and stated preferences,https://www.sciencedirect.com/science/article/pii/S175553452100035X,18 June 2021,2021,Research Article
44,44,A two recursive equation model to correct for endogeneity in latent class binary probit models,https://www.sciencedirect.com/science/article/pii/S1755534521000348,16 June 2021,2021,Research Article
45,45,“Whose plan is it?” understanding how the goal pursuit of consumers and carers influence choices in the australian disability sector,https://www.sciencedirect.com/science/article/pii/S1755534521000336,4 June 2021,2021,Research Article
46,46,Who is watching out for me? Quantifying fear of crime mitigation attributes using a choice experiment approach among adolescents and their parents,https://www.sciencedirect.com/science/article/pii/S1755534521000245,3 June 2021,2021,Research Article
47,47,Quantum utility and random utility model for path choice modelling: Specification and aggregate calibration from traffic counts,https://www.sciencedirect.com/science/article/pii/S1755534521000233,27 May 2021,2021,Research Article
48,48,A hierarchical agent-based approach to simulate a dynamic decision-making process of evacuees using reinforcement learning,https://www.sciencedirect.com/science/article/pii/S175553452100021X,22 April 2021,2021,Research Article
49,49,Activity behavior of residents of Paraisópolis slum: Analysis of multiday activity patterns using data collected with smartphones,https://www.sciencedirect.com/science/article/pii/S1755534521000208,19 April 2021,2021,Research Article
50,50,Computationally efficient forecasting procedures for Kuhn-Tucker consumer demand model systems: Application to residential energy consumption analysis,https://www.sciencedirect.com/science/article/pii/S1755534521000166,24 March 2021,2021,Research Article
51,51,Eliciting individual preferences for immigrants in the Dominican Republic. Results from two choice experiments,https://www.sciencedirect.com/science/article/pii/S1755534521000038,18 February 2021,2021,Research Article
52,52,Distortions in willingness-to-pay for public goods induced by endemic distrust in institutions,https://www.sciencedirect.com/science/article/pii/S1755534521000051,29 January 2021,2021,Research Article
53,53,Does charity begin at home for air pollution reductions? Unraveling intra familial altruism,https://www.sciencedirect.com/science/article/pii/S1755534521000026,21 January 2021,2021,Research Article
54,54,"Activity participation, episode duration and stop-making behavior of pilgrims in a religious event: An exploratory analysis",https://www.sciencedirect.com/science/article/pii/S1755534521000014,11 January 2021,2021,Research Article
55,55,Measuring public preferences between health and social care funding options,https://www.sciencedirect.com/science/article/pii/S1755534520300634,5 December 2020,2020,Research Article
56,56,Anchoring on visual cues in a stated preference survey: The case of siting offshore wind power projects,https://www.sciencedirect.com/science/article/pii/S1755534520300610,3 December 2020,2020,Research Article
57,57,"A discrete choice modeling approach to measure susceptibility and subjective valuation of the decoy effect, with an application to route choice",https://www.sciencedirect.com/science/article/pii/S1755534520300531,21 November 2020,2020,Research Article
58,58,Consumer ‘app-etite’ for workers' rights in the Australian ‘gig’ economy,https://www.sciencedirect.com/science/article/pii/S1755534520300518,30 October 2020,2020,Research Article
