,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The short- and long-run effects of medical malpractice lawsuits on medical spending and hospital operations in China,https://www.sciencedirect.com/science/article/pii/S0147596723000495,Available online 14 June 2023,2023,Research Article
1,1,The economic effects of international sanctions: An event study,https://www.sciencedirect.com/science/article/pii/S0147596723000525,Available online 12 June 2023,2023,Research Article
2,2,Short-run multiplier effects of military expenditures in NATO's Eastern Flank countries in 1999–2021,https://www.sciencedirect.com/science/article/pii/S0147596723000549,Available online 10 June 2023,2023,Research Article
3,3,Educational opportunity and children's migration: Evidence from China's Gaokao reform for children of migrant families,https://www.sciencedirect.com/science/article/pii/S0147596723000513,Available online 7 June 2023,2023,Research Article
4,4,The economics of extortion: Theory and the case of the Sicilian Mafia,https://www.sciencedirect.com/science/article/pii/S0147596723000501,Available online 5 June 2023,2023,Research Article
5,5,"Catholics, Protestants and Muslims: Similar work ethics, different social and political ethics",https://www.sciencedirect.com/science/article/pii/S0147596723000185,Available online 22 May 2023,2023,Research Article
6,6,The impact of educated leaders on economic development: Evidence from India,https://www.sciencedirect.com/science/article/pii/S0147596723000355,Available online 20 May 2023,2023,Research Article
7,7,Past exposure to macroeconomic shocks and populist attitudes in Europe,https://www.sciencedirect.com/science/article/pii/S0147596723000318,Available online 17 May 2023,2023,Research Article
8,8,Firms’ access to finance in resource-based countries and the financial resource curse,https://www.sciencedirect.com/science/article/pii/S0147596723000331,Available online 13 May 2023,2023,Research Article
9,9,Demilitarization and economic growth: Empirical evidence in support of a peace dividend,https://www.sciencedirect.com/science/article/pii/S0147596723000306,Available online 18 April 2023,2023,Research Article
10,10,Effects of public sector wages on corruption: Wage inequality matters,https://www.sciencedirect.com/science/article/pii/S014759672300029X,Available online 8 April 2023,2023,Research Article
11,11,Staying on top: Political cycles in private bank lending,https://www.sciencedirect.com/science/article/pii/S0147596723000276,Available online 4 April 2023,2023,Research Article
12,12,A rising tide that lifts all boats: An analysis of economic freedom and inequality using matching methods,https://www.sciencedirect.com/science/article/pii/S0147596723000264,Available online 27 March 2023,2023,Research Article
13,13,Maternity support and child health: Unintended gendered effects,https://www.sciencedirect.com/science/article/pii/S0147596723000252,Available online 21 March 2023,2023,Research Article
14,14,Rebundling Institutions: How property rights and contracting institutions combine for growth,https://www.sciencedirect.com/science/article/pii/S0147596723000094,1 March 2023,2023,Research Article
15,15,"Topography, borders, and trade across Europe",https://www.sciencedirect.com/science/article/pii/S0147596723000100,Available online 24 February 2023,2023,Research Article
16,16,Do wages grow with experience? Deciphering the Russian puzzle,https://www.sciencedirect.com/science/article/pii/S0147596723000057,24 February 2023,2023,Research Article
17,17,"The effects of South Korean Protestantism on human capital and female empowerment, 1930–2010",https://www.sciencedirect.com/science/article/pii/S0147596723000082,16 February 2023,2023,Research Article
18,18,The effects of TV content on entrepreneurship: Evidence from German unification,https://www.sciencedirect.com/science/article/pii/S0147596723000070,8 February 2023,2023,Research Article
19,19,Youth responses to political populism: Education abroad as a step toward emigration,https://www.sciencedirect.com/science/article/pii/S0147596723000021,3 February 2023,2023,Research Article
20,20,When the message hurts: The unintended impacts of nudges on saving,https://www.sciencedirect.com/science/article/pii/S0147596723000033,27 January 2023,2023,Research Article
21,21,Foreign direct investment and industrial agglomeration: Evidence from China,https://www.sciencedirect.com/science/article/pii/S0147596722000907,19 January 2023,2023,Research Article
22,22,"Street-level responsiveness of city governments in China, Germany, and the United States",https://www.sciencedirect.com/science/article/pii/S014759672300001X,14 January 2023,2023,Research Article
23,23,Wage and Employment Impact of Minimum Wage: Evidence from Lithuania,https://www.sciencedirect.com/science/article/pii/S0147596722000889,12 January 2023,2023,Research Article
24,24,Leaping into the dark: A model of policy gambles,https://www.sciencedirect.com/science/article/pii/S0147596722000877,5 January 2023,2023,Research Article
25,25,Labor market hardships and preferences for public sector employment and employers: Evidence from Russia,https://www.sciencedirect.com/science/article/pii/S0147596722000890,29 December 2022,2022,Research Article
26,26,The effects of discriminatory protections on cross-border mergers and acquisitions,https://www.sciencedirect.com/science/article/pii/S0147596722000841,19 December 2022,2022,Research Article
27,27,Dark side of environmental regulation: Wage inequality cost,https://www.sciencedirect.com/science/article/pii/S0147596722000865,13 December 2022,2022,Research Article
28,28,Do non-cognitive skills matter for alcohol consumption? Evidence from Russia,https://www.sciencedirect.com/science/article/pii/S0147596722000853,9 December 2022,2022,Research Article
29,29,The gender education gap in developing countries: Roles of income shocks and culture,https://www.sciencedirect.com/science/article/pii/S014759672200083X,30 November 2022,2022,Research Article
30,30,"The motherhood penalty in China: Magnitudes, trends, and the role of grandparenting",https://www.sciencedirect.com/science/article/pii/S0147596722000725,24 November 2022,2022,Research Article
31,31,The roots of female emancipation: Initializing role of Cool Water,https://www.sciencedirect.com/science/article/pii/S0147596722000737,24 November 2022,2022,Research Article
