,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The impact of the COVID-19 pandemic on children’s learning and wellbeing: Evidence from India,https://www.sciencedirect.com/science/article/pii/S0304387823000883,Available online 14 June 2023,2023,Research Article
1,1,Transnational terrorism and the internet,https://www.sciencedirect.com/science/article/pii/S0304387823000731,Available online 10 June 2023,2023,Research Article
2,2,Cognitive and socioemotional skills in low-income countries: Measurement and associations with schooling and earnings 1,https://www.sciencedirect.com/science/article/pii/S0304387823000871,Available online 10 June 2023,2023,Research Article
3,3,"In-kind transfers, marketization costs and household specialization: Evidence from Indian farmers",https://www.sciencedirect.com/science/article/pii/S0304387823000858,Available online 8 June 2023,2023,Research Article
4,4,Refugees and the education of host populations: Evidence from the Syrian inflow to Jordan,https://www.sciencedirect.com/science/article/pii/S030438782300086X,Available online 8 June 2023,2023,Research Article
5,5,Peaceful entry: Entrepreneurship dynamics during Colombia’s peace agreement,https://www.sciencedirect.com/science/article/pii/S0304387823000743,Available online 2 June 2023,2023,Research Article
6,6,"Price information, inter-village networks, and “bargaining spillovers”: Experimental evidence from Ghana",https://www.sciencedirect.com/science/article/pii/S030438782300055X,Available online 30 May 2023,2023,Research Article
7,7,Marriage markets and the rise of dowry in India,https://www.sciencedirect.com/science/article/pii/S0304387823000706,Available online 25 May 2023,2023,Research Article
8,8,Long Live friendship? The long-term impact of Soviet aid on Sino-Russian trade,https://www.sciencedirect.com/science/article/pii/S030438782300072X,23 May 2023,2023,Research Article
9,9,The health costs of dirty energy: Evidence from the capacity market in Colombia,https://www.sciencedirect.com/science/article/pii/S0304387823000718,23 May 2023,2023,Research Article
10,10,Endogenous labor migration and remittances: Macroeconomic and welfare consequences,https://www.sciencedirect.com/science/article/pii/S0304387823000652,16 May 2023,2023,Research Article
11,11,Which price is right? A comparison of three standard approaches to measuring prices,https://www.sciencedirect.com/science/article/pii/S0304387823000615,13 May 2023,2023,Research Article
12,12,Human capital investment under exit options: Evidence from a natural quasi-experiment,https://www.sciencedirect.com/science/article/pii/S0304387823000676,11 May 2023,2023,Research Article
13,13,Countering misinformation on social media through educational interventions: Evidence from a randomized experiment in Pakistan,https://www.sciencedirect.com/science/article/pii/S0304387823000639,11 May 2023,2023,Research Article
14,14,The effects of international scrutiny on manufacturing workers: Evidence from the Rana Plaza collapse in Bangladesh,https://www.sciencedirect.com/science/article/pii/S0304387823000627,9 May 2023,2023,Research Article
15,15,The nutritional cost of beef bans in India,https://www.sciencedirect.com/science/article/pii/S0304387823000597,6 May 2023,2023,Research Article
16,16,"Financial market imperfections, informality and government spending multipliers",https://www.sciencedirect.com/science/article/pii/S0304387823000585,2 May 2023,2023,Research Article
17,17,Multi-product firms and misallocation,https://www.sciencedirect.com/science/article/pii/S0304387823000573,28 April 2023,2023,Research Article
18,18,Evolution of risk aversion over five years after a major natural disaster,https://www.sciencedirect.com/science/article/pii/S0304387823000500,14 April 2023,2023,Research Article
19,19,Trade policy uncertainty and new firm entry: Evidence from China,https://www.sciencedirect.com/science/article/pii/S0304387823000482,29 March 2023,2023,Research Article
20,20,The lesser shades of labor coercion: The impact of seigneurial tenure in nineteenth-century Quebec,https://www.sciencedirect.com/science/article/pii/S0304387823000469,28 March 2023,2023,Research Article
21,21,"Information, migration, and the value of clean air",https://www.sciencedirect.com/science/article/pii/S0304387823000342,10 March 2023,2023,Research Article
22,22,Competition and corruption: Highway corruption in West Africa,https://www.sciencedirect.com/science/article/pii/S0304387823000354,9 March 2023,2023,Research Article
23,23,Circle of fortune: The long-term impact of Western customs institution in China,https://www.sciencedirect.com/science/article/pii/S0304387823000305,6 March 2023,2023,Research Article
24,24,Curriculum and national identity: Evidence from the 1997 curriculum reform in Taiwan,https://www.sciencedirect.com/science/article/pii/S0304387823000330,6 March 2023,2023,Research Article
25,25,Mobile Internet access and political outcomes: Evidence from South Africa,https://www.sciencedirect.com/science/article/pii/S0304387823000287,2 March 2023,2023,Research Article
26,26,Irrigation and gender roles,https://www.sciencedirect.com/science/article/pii/S0304387823000317,2 March 2023,2023,Research Article
27,27,Consequences of a massive refugee influx on firm performance and market structure,https://www.sciencedirect.com/science/article/pii/S0304387823000366,28 February 2023,2023,Research Article
28,28,Assessors influence results: Evidence on enumerator effects and educational impact evaluations,https://www.sciencedirect.com/science/article/pii/S0304387823000123,13 February 2023,2023,Research Article
29,29,Social media as a recruitment and data collection tool: Experimental evidence on the relative effectiveness of web surveys and chatbots,https://www.sciencedirect.com/science/article/pii/S030438782300024X,3 February 2023,2023,Research Article
30,30,Policy enforcement in the presence of organized crime: Evidence from Rio de Janeiro,https://www.sciencedirect.com/science/article/pii/S0304387823000263,2 February 2023,2023,Research Article
31,31,Education and polygamy: Evidence from Cameroon,https://www.sciencedirect.com/science/article/pii/S0304387823000238,2 February 2023,2023,Research Article
32,32,Public sentiment in times of terror,https://www.sciencedirect.com/science/article/pii/S0304387823000135,1 February 2023,2023,Research Article
33,33,Family companionship and elderly suicide: Evidence from the Chinese Lunar New Year,https://www.sciencedirect.com/science/article/pii/S030438782300010X,28 January 2023,2023,Research Article
34,34,Impact of self- or social-regarding health messages: Experimental evidence based on antibiotics purchases,https://www.sciencedirect.com/science/article/pii/S0304387823000111,26 January 2023,2023,Research Article
35,35,Child marriage as informal insurance: Empirical evidence and policy simulations,https://www.sciencedirect.com/science/article/pii/S0304387823000020,18 January 2023,2023,Research Article
36,36,Immigration and violent crime: Evidence from the Colombia-Venezuela Border,https://www.sciencedirect.com/science/article/pii/S030438782200181X,16 January 2023,2023,Research Article
