,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Business-cycle consumption risk and asset prices,https://www.sciencedirect.com/science/article/pii/S0304407623001410,Available online 13 June 2023,2023,Research Article
1,1,Identification of mixtures of dynamic discrete choices,https://www.sciencedirect.com/science/article/pii/S0304407623001562,Available online 10 June 2023,2023,Research Article
2,2,Under-identification of structural models based on timing and information set assumptions,https://www.sciencedirect.com/science/article/pii/S0304407623001574,Available online 9 June 2023,2023,Research Article
3,3,Semiparametric approach to estimation of marginal mean effects and marginal quantile effects,https://www.sciencedirect.com/science/article/pii/S0304407623001495,Available online 9 June 2023,2023,Research Article
4,4,Realized regression with asynchronous and noisy high frequency and high dimensional data,https://www.sciencedirect.com/science/article/pii/S030440762300132X,Available online 3 June 2023,2023,Research Article
5,5,Reproducibility and transparency versus privacy and confidentiality: Reflections from a data editor,https://www.sciencedirect.com/science/article/pii/S0304407623001471,Available online 3 June 2023,2023,Research Article
6,6,Semi-nonparametric estimation of random coefficients logit model for aggregate demand,https://www.sciencedirect.com/science/article/pii/S0304407623001458,Available online 31 May 2023,2023,Research Article
7,7,Modelling circular time series,https://www.sciencedirect.com/science/article/pii/S0304407623001446,Available online 29 May 2023,2023,Research Article
8,8,Score-driven models for realized volatility,https://www.sciencedirect.com/science/article/pii/S0304407623001422,Available online 22 May 2023,2023,Research Article
9,9,Stochastic properties of nonlinear locally-nonstationary filters,https://www.sciencedirect.com/science/article/pii/S0304407623001264,Available online 20 May 2023,2023,Research Article
10,10,Inference on individual treatment effects in nonseparable triangular models,https://www.sciencedirect.com/science/article/pii/S0304407623001276,Available online 17 May 2023,2023,Research Article
11,11,Sparse quantile regression,https://www.sciencedirect.com/science/article/pii/S0304407623001306,Available online 8 May 2023,2023,Research Article
12,12,Efficient peer effects estimators with group effects,https://www.sciencedirect.com/science/article/pii/S030440762300129X,Available online 29 April 2023,2023,Research Article
13,13,What’s trending in difference-in-differences? A synthesis of the recent econometrics literature,https://www.sciencedirect.com/science/article/pii/S0304407623001318,Available online 29 April 2023,2023,Research Article
14,14,Are bond returns predictable with real-time macro data?,https://www.sciencedirect.com/science/article/pii/S0304407623001161,Available online 24 April 2023,2023,Research Article
15,15,Social threshold regression,https://www.sciencedirect.com/science/article/pii/S0304407623001045,Available online 12 April 2023,2023,Research Article
16,16,High frequency market making: The role of speed,https://www.sciencedirect.com/science/article/pii/S0304407623000581,Available online 5 April 2023,2023,Research Article
17,17,Time-Varying Parameters in Econometrics: The editor’s foreword,https://www.sciencedirect.com/science/article/pii/S0304407623001173,Available online 3 April 2023,2023,Research Article
18,18,Uniform and ,https://www.sciencedirect.com/science/article/pii/S0304407623000726,Available online 31 March 2023,2023,Research Article
19,19,Instrumental variable estimation with first-stage heterogeneity,https://www.sciencedirect.com/science/article/pii/S0304407623000702,Available online 27 March 2023,2023,Research Article
20,20,Feature-splitting algorithms for ultrahigh dimensional quantile regression,https://www.sciencedirect.com/science/article/pii/S0304407623000714,Available online 24 March 2023,2023,Research Article
21,21,"Wald, QLR, and score tests when parameters are subject to linear inequality constraints",https://www.sciencedirect.com/science/article/pii/S0304407623000787,Available online 22 March 2023,2023,Research Article
22,22,Stock co-jump networks,https://www.sciencedirect.com/science/article/pii/S030440762300057X,Available online 22 March 2023,2023,Research Article
23,23,Identifying latent group structures in spatial dynamic panels,https://www.sciencedirect.com/science/article/pii/S0304407623000738,Available online 17 March 2023,2023,Research Article
24,24,Time-varying forecast combination for high-dimensional data,https://www.sciencedirect.com/science/article/pii/S0304407623000556,Available online 17 March 2023,2023,Research Article
25,25,One-way or two-way factor model for matrix sequences?,https://www.sciencedirect.com/science/article/pii/S030440762300074X,Available online 14 March 2023,2023,Research Article
26,26,Approximate factor models with weaker loadings,https://www.sciencedirect.com/science/article/pii/S030440762300060X,Available online 13 March 2023,2023,Research Article
27,27,Inferential theory for generalized dynamic factor models,https://www.sciencedirect.com/science/article/pii/S0304407623000593,Available online 13 March 2023,2023,Research Article
28,28,Large volatility matrix analysis using global and national factor models,https://www.sciencedirect.com/science/article/pii/S0304407623000635,Available online 8 March 2023,2023,Research Article
