,Unnamed: 0,Title,Url,Time,Year,Type
0,0,"The Bielefeld School of economics, Post Keynesian economics, and dynamic complexity",https://www.sciencedirect.com/science/article/pii/S0167268123001762,13 June 2023,2023,Research Article
1,1,International capital markets with interdependent preferences: Theory and empirical evidence,https://www.sciencedirect.com/science/article/pii/S0167268123001981,10 June 2023,2023,Research Article
2,2,Moment set selection for the SMM using simple machine learning,https://www.sciencedirect.com/science/article/pii/S0167268123001944,7 June 2023,2023,Research Article
3,3,"Physics, Biology and Human Faculties: A Structural Stepwise Approach to Modeling Human Behavior",https://www.sciencedirect.com/science/article/pii/S016726812300183X,7 June 2023,2023,Research Article
4,4,"Caste, courts and business",https://www.sciencedirect.com/science/article/pii/S0167268123001907,7 June 2023,2023,Research Article
5,5,“O Youth and Beauty:” Children's looks and children's cognitive development,https://www.sciencedirect.com/science/article/pii/S0167268123001567,7 June 2023,2023,Research Article
6,6,Reply and counter-reply: On cybersocialism,https://www.sciencedirect.com/science/article/pii/S0167268123000999,6 June 2023,2023,Research Article
7,7,Designing an incentive mechanism for information security policy compliance: An experiment,https://www.sciencedirect.com/science/article/pii/S0167268123001865,2 June 2023,2023,Research Article
8,8,Food demand and cash transfers: A collective household approach with Homescan data,https://www.sciencedirect.com/science/article/pii/S0167268123001464,2 June 2023,2023,Research Article
9,9,How Does the Beauty of Wives Affect Post-marriage Family Outcomes? Helen's Face in Chinese Households,https://www.sciencedirect.com/science/article/pii/S0167268123001919,2 June 2023,2023,Research Article
10,10,The effect of language training on immigrants’ integration: Does the duration of training matter?,https://www.sciencedirect.com/science/article/pii/S0167268123001816,2 June 2023,2023,Research Article
11,11,Do economists replicate?,https://www.sciencedirect.com/science/article/pii/S0167268123001555,2 June 2023,2023,Research Article
12,12,Can environmental monitoring power transition curb corporate greenwashing behavior?,https://www.sciencedirect.com/science/article/pii/S0167268123001877,2 June 2023,2023,Research Article
13,13,The right person for the right job: workers’ prosociality as a screening device,https://www.sciencedirect.com/science/article/pii/S0167268123001178,1 June 2023,2023,Research Article
14,14,Quality communication via cheap-talk messages in experimental auctions,https://www.sciencedirect.com/science/article/pii/S0167268123001476,1 June 2023,2023,Research Article
15,15,The dynamics of leverage and the belief distribution of wealth,https://www.sciencedirect.com/science/article/pii/S0167268123001774,31 May 2023,2023,Research Article
16,16,"The epidemic effect: Epidemics, institutions and human capital development",https://www.sciencedirect.com/science/article/pii/S0167268123001579,31 May 2023,2023,Research Article
17,17,Do immigrants affect crime? Evidence for Germany,https://www.sciencedirect.com/science/article/pii/S0167268123001713,30 May 2023,2023,Research Article
18,18,No evidence of biased updating in beliefs about absolute performance: A replication and generalization of Grossman and Owens (2012),https://www.sciencedirect.com/science/article/pii/S0167268123001543,26 May 2023,2023,Research Article
19,19,Classical and Keynesian models of inequality and stagnation,https://www.sciencedirect.com/science/article/pii/S0167268123001683,20 May 2023,2023,Research Article
20,20,"Sponsor, institutional investor, and quotation behavior: Theory and evidence from China",https://www.sciencedirect.com/science/article/pii/S0167268123001142,19 May 2023,2023,Research Article
21,21,"Safety first, loss probability, and the cross section of expected stock returns",https://www.sciencedirect.com/science/article/pii/S0167268123001324,18 May 2023,2023,Research Article
22,22,Clash of norms judicial leniency on defendant birthdays,https://www.sciencedirect.com/science/article/pii/S0167268123001488,18 May 2023,2023,Research Article
23,23,Individualism reduces borrower discouragement,https://www.sciencedirect.com/science/article/pii/S0167268123001658,18 May 2023,2023,Research Article
24,24,Coordinating donations via an intermediary: The destructive effect of a sunk overhead cost,https://www.sciencedirect.com/science/article/pii/S0167268123001506,17 May 2023,2023,Research Article
25,25,Do women shy away from risky skill games?,https://www.sciencedirect.com/science/article/pii/S0167268123001257,16 May 2023,2023,Research Article
26,26,The gender gap among top business executives,https://www.sciencedirect.com/science/article/pii/S016726812300121X,16 May 2023,2023,Research Article
27,27,Random network consideration: Theory and experiment,https://www.sciencedirect.com/science/article/pii/S0167268123000604,16 May 2023,2023,Research Article
28,28,Anti-herding by hedge funds and its implications for expected returns,https://www.sciencedirect.com/science/article/pii/S0167268123001385,12 May 2023,2023,Research Article
29,29,Female labor market conditions and gender gaps in aspirations,https://www.sciencedirect.com/science/article/pii/S0167268123001415,12 May 2023,2023,Research Article
30,30,Reference-dependent self-control: Menu effects and behavioral choices,https://www.sciencedirect.com/science/article/pii/S0167268123001373,9 May 2023,2023,Research Article
31,31,Disease and democracy: Political regimes and countries responsiveness to COVID-19,https://www.sciencedirect.com/science/article/pii/S0167268123001440,8 May 2023,2023,Research Article
32,32,Public investment as downward benefit distribution: Theory and evidence from China’s public–private partnership programs,https://www.sciencedirect.com/science/article/pii/S0167268123000987,8 May 2023,2023,Research Article
33,33,Adaptive utility,https://www.sciencedirect.com/science/article/pii/S0167268123001348,5 May 2023,2023,Research Article
34,34,The endogenous formation of common pool resource coalitions,https://www.sciencedirect.com/science/article/pii/S0167268123001397,5 May 2023,2023,Research Article
35,35,A new institutional perspective on business associations: Filling a gap between firms and states in the dynamic analysis of Richard Day,https://www.sciencedirect.com/science/article/pii/S0167268123001191,4 May 2023,2023,Research Article
36,36,"To mitigate or to adapt: How to deal with optimism, pessimism and strategic ambiguity?",https://www.sciencedirect.com/science/article/pii/S0167268123001154,3 May 2023,2023,Research Article
37,37,Sharing norms and negotiations across cultures: Experimental interactions within and between Egypt and Germany,https://www.sciencedirect.com/science/article/pii/S016726812300135X,2 May 2023,2023,Research Article
38,38,Discrimination with inaccurate beliefs and confirmation bias,https://www.sciencedirect.com/science/article/pii/S0167268123001221,1 May 2023,2023,Research Article
39,39,Cohort crowding in education and employment: Evidence from China's compulsory education law,https://www.sciencedirect.com/science/article/pii/S0167268123001361,1 May 2023,2023,Research Article
