,Unnamed: 0,Title,Url,Time,Year,Type
0,0,A practical multivariate approach to testing volatility spillover,https://www.sciencedirect.com/science/article/pii/S0165188923001008,Available online 14 June 2023,2023,Research Article
1,1,Quantum Monte Carlo for Economics: Stress Testing and Macroeconomic Deep Learning,https://www.sciencedirect.com/science/article/pii/S0165188923000866,Available online 1 June 2023,2023,Research Article
2,2,Acquiring for innovation: Evidence from the U.S. technology industry,https://www.sciencedirect.com/science/article/pii/S0165188923000799,26 May 2023,2023,Research Article
3,3,A general method for analysis and valuation of drawdown risk,https://www.sciencedirect.com/science/article/pii/S0165188923000751,23 May 2023,2023,Research Article
4,4,Testing for Weak Separability and Utility Maximization with Incomplete Adjustment,https://www.sciencedirect.com/science/article/pii/S0165188923000775,21 May 2023,2023,Research Article
5,5,A Gradient-based reinforcement learning model of market equilibration,https://www.sciencedirect.com/science/article/pii/S0165188923000763,19 May 2023,2023,Research Article
6,6,Monetary policy inertia and the paradox of flexibility,https://www.sciencedirect.com/science/article/pii/S016518892300074X,4 May 2023,2023,Research Article
7,7,Rational bubbles: Too many to be true?,https://www.sciencedirect.com/science/article/pii/S0165188923000726,1 May 2023,2023,Research Article
8,8,Pollution and labor market search externalities over the business cycle,https://www.sciencedirect.com/science/article/pii/S0165188923000714,29 April 2023,2023,Research Article
9,9,Duration structure of unemployment hazards and the trend unemployment rate,https://www.sciencedirect.com/science/article/pii/S0165188923000702,26 April 2023,2023,Research Article
10,10,Resilience of international trade to typhoon-related supply disruptions,https://www.sciencedirect.com/science/article/pii/S0165188923000696,25 April 2023,2023,Research Article
11,11,The bribe rate and long run differences in sovereign borrowing costs,https://www.sciencedirect.com/science/article/pii/S0165188923000684,23 April 2023,2023,Research Article
12,12,House price expectations and household consumption,https://www.sciencedirect.com/science/article/pii/S0165188923000581,5 April 2023,2023,Research Article
13,13,Identifying the source of information rigidities in the expectations formation process,https://www.sciencedirect.com/science/article/pii/S0165188923000593,5 April 2023,2023,Research Article
14,14,Mission-oriented policies and the “Entrepreneurial State” at work: An agent-based exploration,https://www.sciencedirect.com/science/article/pii/S0165188923000568,30 March 2023,2023,Research Article
