,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Impacts of electricity quality improvements: Experimental evidence on infrastructure investments,https://www.sciencedirect.com/science/article/pii/S0095069623000566,Available online 10 June 2023,2023,Research Article
1,1,The effects of observability and an information nudge on food choice,https://www.sciencedirect.com/science/article/pii/S0095069623000475,Available online 5 June 2023,2023,Research Article
2,2,Waste import and air pollution: Evidence from China's waste import ban,https://www.sciencedirect.com/science/article/pii/S0095069623000554,Available online 5 June 2023,2023,Research Article
3,3,"Information, awareness, and mental health: Evidence from air pollution disclosure in China",https://www.sciencedirect.com/science/article/pii/S0095069623000451,30 May 2023,2023,Research Article
4,4,Too many or too few? On the optimal number of firms in the commons,https://www.sciencedirect.com/science/article/pii/S0095069623000438,Available online 15 May 2023,2023,Research Article
5,5,Solidarity under heterogenous adaptation costs: Experimental evidence on coping after climate hazards,https://www.sciencedirect.com/science/article/pii/S0095069623000426,8 May 2023,2023,Research Article
6,6,The impact of climate change on agriculture: A repeat-Ricardian analysis,https://www.sciencedirect.com/science/article/pii/S0095069623000402,5 May 2023,2023,Research Article
7,7,Linking carbon markets with different initial conditions,https://www.sciencedirect.com/science/article/pii/S0095069623000384,29 April 2023,2023,Research Article
8,8,Crop prices and deforestation in the tropics,https://www.sciencedirect.com/science/article/pii/S0095069623000372,28 April 2023,2023,Research Article
9,9,The impact of urban road pricing on the use of bike sharing,https://www.sciencedirect.com/science/article/pii/S0095069623000396,Available online 26 April 2023,2023,Research Article
10,10,Notching for free: Do cyclists reveal the opportunity cost of time?,https://www.sciencedirect.com/science/article/pii/S0095069623000359,21 April 2023,2023,Research Article
11,11,"Tax, kill or bill: An analysis of unilateral CO",https://www.sciencedirect.com/science/article/pii/S0095069623000347,7 April 2023,2023,Research Article
12,12,The effects of contemporaneous air pollution on COVID-19 morbidity and mortality,https://www.sciencedirect.com/science/article/pii/S0095069623000335,5 April 2023,2023,Research Article
13,13,Beyond boiling: The effect of ,https://www.sciencedirect.com/science/article/pii/S0095069623000323,30 March 2023,2023,Research Article
14,14,On consumer incentives for energy-efficient durables,https://www.sciencedirect.com/science/article/pii/S0095069623000311,27 March 2023,2023,Research Article
15,15,Household water savings and response to dynamic incentives under nonlinear pricing,https://www.sciencedirect.com/science/article/pii/S0095069623000293,22 March 2023,2023,Research Article
16,16,We didn’t start the fire: Effects of a natural disaster on consumers’ financial distress,https://www.sciencedirect.com/science/article/pii/S0095069623000086,17 March 2023,2023,Research Article
17,17,A fine is more than a price: Evidence from drought restrictions,https://www.sciencedirect.com/science/article/pii/S009506962300027X,16 March 2023,2023,Research Article
18,18,"Into the tropics: Temperature, mortality, and access to health care in Colombia",https://www.sciencedirect.com/science/article/pii/S0095069623000141,4 March 2023,2023,Research Article
19,19,Flight delays due to air pollution in China,https://www.sciencedirect.com/science/article/pii/S0095069623000281,4 March 2023,2023,Research Article
20,20,The Economic Value of Clarifying Property Rights: Evidence from Water in Idaho’s Snake River Basin,https://www.sciencedirect.com/science/article/pii/S0095069623000177,3 March 2023,2023,Research Article
21,21,Differentiated agricultural sensitivity and adaptability to rising temperatures across regions and sectors in China,https://www.sciencedirect.com/science/article/pii/S0095069623000190,2 March 2023,2023,Research Article
22,22,Can invasive species lead to sedentary behavior? The time use and obesity impacts of a forest-attacking pest,https://www.sciencedirect.com/science/article/pii/S0095069623000189,24 February 2023,2023,Research Article
23,23,Natural disasters and bank stability: Evidence from the U.S. financial system,https://www.sciencedirect.com/science/article/pii/S0095069623000104,24 February 2023,2023,Research Article
24,24,"Health, air pollution, and location choice",https://www.sciencedirect.com/science/article/pii/S0095069623000128,22 February 2023,2023,Research Article
25,25,Sustainable finance and climate change: Wasteful but a political commitment device?,https://www.sciencedirect.com/science/article/pii/S009506962300013X,20 February 2023,2023,Research Article
26,26,"Green technologies, interdependencies, and policy",https://www.sciencedirect.com/science/article/pii/S0095069623000098,3 February 2023,2023,Research Article
27,27,Radical activism and self-regulation: An optimal campaign mechanism,https://www.sciencedirect.com/science/article/pii/S0095069623000074,31 January 2023,2023,Research Article
28,28,Air quality and risky behaviors on roads,https://www.sciencedirect.com/science/article/pii/S0095069623000049,21 January 2023,2023,Research Article
29,29,An empirical analysis of participation in international environmental agreements,https://www.sciencedirect.com/science/article/pii/S0095069623000013,14 January 2023,2023,Research Article
30,30,Global firms and emissions: Investigating the dual channels of emissions abatement,https://www.sciencedirect.com/science/article/pii/S0095069622001255,6 January 2023,2023,Research Article
31,31,Does land conservation raise property taxes? Evidence from New England cities and towns,https://www.sciencedirect.com/science/article/pii/S0095069622001358,6 January 2023,2023,Research Article
32,32,Accounting for income inequality in benefit transfers: The importance of the income elasticity of WTP,https://www.sciencedirect.com/science/article/pii/S0095069622001346,6 January 2023,2023,Research Article
33,33,Forest concessions and eco-certifications in the Peruvian Amazon: Deforestation impacts of logging rights and logging restrictions,https://www.sciencedirect.com/science/article/pii/S0095069622001334,29 December 2022,2022,Research Article
34,34,How hurricanes sweep up housing markets: Evidence from Florida,https://www.sciencedirect.com/science/article/pii/S0095069622001231,21 December 2022,2022,Research Article
35,35,Institutions and conservation: The case of protected areas,https://www.sciencedirect.com/science/article/pii/S0095069622001218,19 December 2022,2022,Research Article
36,36,Optimal pricing for carbon dioxide removal under inter-regional leakage,https://www.sciencedirect.com/science/article/pii/S009506962200122X,12 December 2022,2022,Research Article
37,37,The mortality impact of fine particulate matter in China: Evidence from trade shocks,https://www.sciencedirect.com/science/article/pii/S0095069622001127,19 November 2022,2022,Research Article
38,38,Do non-damaging earthquakes shake mortgage lenders' risk perception?,https://www.sciencedirect.com/science/article/pii/S0095069622001139,14 November 2022,2022,Research Article
39,39,Spatial and temporal responses to incentives: An application to wildlife disease management,https://www.sciencedirect.com/science/article/pii/S009506962200105X,10 November 2022,2022,Research Article
40,40,Cross-border environmental regulation and firm labor demand,https://www.sciencedirect.com/science/article/pii/S0095069622001061,7 November 2022,2022,Research Article
41,41,Is environmental regulation the answer to pollution problems in urbanizing economies?,https://www.sciencedirect.com/science/article/pii/S0095069622001073,5 November 2022,2022,Research Article
42,42,International climate aid and trade,https://www.sciencedirect.com/science/article/pii/S0095069622001012,28 October 2022,2022,Research Article
43,43,"Tax incentives, environmental regulation and firms’ emission reduction strategies: Evidence from China",https://www.sciencedirect.com/science/article/pii/S0095069622001036,26 October 2022,2022,Research Article
44,44,Quantifying COVID-19’s silver lining: Avoided deaths from air quality improvements in Bogotá,https://www.sciencedirect.com/science/article/pii/S0095069622001024,25 October 2022,2022,Research Article
45,45,"First lead, now no bed? The unintended impacts of lead abatement laws on eviction",https://www.sciencedirect.com/science/article/pii/S0095069622001048,25 October 2022,2022,Research Article
46,46,National expenditures on local amenities,https://www.sciencedirect.com/science/article/pii/S0095069622000766,24 August 2022,2022,Research Article
48,48,Inequality and the environment: An introduction to the special issue,https://www.sciencedirect.com/science/article/pii/S009506962300030X,20 March 2023,2023,Research Article
51,51,When standards have better distributional consequences than carbon taxes,https://www.sciencedirect.com/science/article/pii/S0095069622001000,11 October 2022,2022,Research Article
52,52,Costly sanctions and the treatment of frequent violators in regulatory settings,https://www.sciencedirect.com/science/article/pii/S0095069622000985,30 September 2022,2022,Research Article
