,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Competitive effects of federal and state opioid restrictions: Evidence from the controlled substance laws,https://www.sciencedirect.com/science/article/pii/S0167629623000498,Available online 14 June 2023,2023,Research Article
1,1,Minimum generosity levels in a competitive health insurance market,https://www.sciencedirect.com/science/article/pii/S0167629623000590,Available online 14 June 2023,2023,Research Article
2,2,The morning after: Prescription-free access to emergency contraceptive pills,https://www.sciencedirect.com/science/article/pii/S0167629623000528,Available online 12 June 2023,2023,Research Article
3,3,Family spillovers and long-term care insurance,https://www.sciencedirect.com/science/article/pii/S0167629623000589,12 June 2023,2023,Research Article
4,4,Estimating the welfare gains from anti-retroviral therapy in Sub-Saharan Africa,https://www.sciencedirect.com/science/article/pii/S0167629623000541,Available online 5 June 2023,2023,Research Article
5,5,On Resource Allocation in Health Care: The Case of Concierge Medicine,https://www.sciencedirect.com/science/article/pii/S016762962300053X,Available online 1 June 2023,2023,Research Article
6,6,On the bright side of market concentration in a mixed-oligopoly healthcare industry,https://www.sciencedirect.com/science/article/pii/S0167629623000486,25 May 2023,2023,Research Article
7,7,Hospital concentration and low-income populations: Evidence from New York State Medicaid,https://www.sciencedirect.com/science/article/pii/S0167629623000474,3 May 2023,2023,Research Article
8,8,Public long-term care insurance and consumption of elderly households: Evidence from China,https://www.sciencedirect.com/science/article/pii/S016762962300036X,15 April 2023,2023,Research Article
9,9,Universal cash transfers and prescription utilization: Evidence from the Alaska permanent fund dividend,https://www.sciencedirect.com/science/article/pii/S0167629623000358,11 April 2023,2023,Research Article
10,10,Have recreational marijuana laws undermined public health progress on adult tobacco use?,https://www.sciencedirect.com/science/article/pii/S0167629623000334,5 April 2023,2023,Research Article
11,11,Financial transaction costs reduce benefit take-up evidence from zero-premium health insurance plans in Colorado,https://www.sciencedirect.com/science/article/pii/S0167629623000292,23 March 2023,2023,Research Article
12,12,"Conversion therapy, suicidality, and running away: An analysis of transgender youth in the U.S.",https://www.sciencedirect.com/science/article/pii/S0167629623000279,17 March 2023,2023,Research Article
13,13,"Providers, peers and patients. How do physicians’ practice environments affect patient outcomes?",https://www.sciencedirect.com/science/article/pii/S0167629623000188,4 March 2023,2023,Research Article
14,14,Mask mandates save lives,https://www.sciencedirect.com/science/article/pii/S0167629622001357,26 February 2023,2023,Research Article
15,15,Should physicians team up to treat chronic diseases?,https://www.sciencedirect.com/science/article/pii/S0167629623000176,24 February 2023,2023,Research Article
16,16,A drop of love? Rainfall shocks and spousal abuse: Evidence from rural Peru,https://www.sciencedirect.com/science/article/pii/S0167629623000164,18 February 2023,2023,Research Article
17,17,Bad lighting: Effects of youth indoor tanning prohibitions,https://www.sciencedirect.com/science/article/pii/S0167629623000152,11 February 2023,2023,Research Article
18,18,The effect of housing wealth on older adults’ health care utilization: Evidence from fluctuations in the U.S. housing market,https://www.sciencedirect.com/science/article/pii/S0167629623000140,28 January 2023,2023,Research Article
19,19,Hooked on weight control: An economic theory of anorexia nervosa and its impact on health and longevity,https://www.sciencedirect.com/science/article/pii/S0167629623000024,25 January 2023,2023,Research Article
20,20,Spatial dependence in physicians’ prices and additional fees: Evidence from France,https://www.sciencedirect.com/science/article/pii/S0167629623000012,13 January 2023,2023,Research Article
21,21,Marijuana legalization and opioid deaths,https://www.sciencedirect.com/science/article/pii/S016762962300005X,6 January 2023,2023,Research Article
22,22,Self-reported health status and latent health dynamics,https://www.sciencedirect.com/science/article/pii/S0167629623000048,5 January 2023,2023,Research Article
23,23,The drug crisis and the living arrangements of children,https://www.sciencedirect.com/science/article/pii/S0167629622001370,31 December 2022,2022,Research Article
24,24,Intended and unintended effects of e-cigarette taxes on youth tobacco use,https://www.sciencedirect.com/science/article/pii/S0167629622001345,15 December 2022,2022,Research Article
25,25,Does retirement (really) increase informal caregiving? Quasi-experimental evidence from Australia,https://www.sciencedirect.com/science/article/pii/S0167629622001278,30 November 2022,2022,Research Article
26,26,The power of markets: Impact of desert locust invasions on child health,https://www.sciencedirect.com/science/article/pii/S0167629622001266,29 November 2022,2022,Research Article
27,27,Rents for Pills: Financial incentives and physician behavior,https://www.sciencedirect.com/science/article/pii/S0167629622001254,23 November 2022,2022,Research Article
28,28,The kids aren’t alright: The effects of medical marijuana market size on adolescents,https://www.sciencedirect.com/science/article/pii/S0167629622001126,11 November 2022,2022,Research Article
29,29,Local economic growth and infant mortality,https://www.sciencedirect.com/science/article/pii/S016762962200114X,10 November 2022,2022,Research Article
30,30,"Early childhood health shocks, classroom environment, and social-emotional outcomes",https://www.sciencedirect.com/science/article/pii/S0167629622001138,2 November 2022,2022,Research Article
31,31,"The effects of pregnancy-related Medicaid expansions on maternal, infant, and child health",https://www.sciencedirect.com/science/article/pii/S0167629622001102,31 October 2022,2022,Research Article
32,32,Soil zinc deficiency and child stunting: Evidence from Nepal,https://www.sciencedirect.com/science/article/pii/S0167629622001060,28 October 2022,2022,Research Article
36,36,Understanding the relationship between nonprofit hospital community benefit spending and system membership: An analysis of independent hospital acquisitions,https://www.sciencedirect.com/science/article/pii/S0167629622001114,25 October 2022,2022,Research Article
37,37,Disruptions to healthcare quality and early child health outcomes: Evidence from health-worker strikes in Kenya,https://www.sciencedirect.com/science/article/pii/S0167629622001096,19 October 2022,2022,Research Article
38,38,Rewards for information provision in patient referrals: A theoretical model and an experimental test,https://www.sciencedirect.com/science/article/pii/S0167629622000923,10 October 2022,2022,Research Article
39,39,Social insurance programs and later-life mortality: Evidence from new deal relief spending,https://www.sciencedirect.com/science/article/pii/S0167629622001059,1 October 2022,2022,Research Article
40,40,Late-career unemployment and cognitive abilities,https://www.sciencedirect.com/science/article/pii/S0167629622001047,24 September 2022,2022,Research Article
41,41,Can mHealth campaigns improve CCT outcomes? Experimental evidence from sms-nudges in Indonesia,https://www.sciencedirect.com/science/article/pii/S0167629622001023,24 September 2022,2022,Research Article
42,42,The marginal benefit of hospitals: Evidence from the effect of entry and exit on utilization and mortality rates,https://www.sciencedirect.com/science/article/pii/S0167629622001035,21 September 2022,2022,Research Article
43,43,Technology adoption and market allocation: The case of robotic surgery,https://www.sciencedirect.com/science/article/pii/S016762962200087X,14 September 2022,2022,Research Article
44,44,The effects of e-cigarette taxes on e-cigarette prices and tobacco product sales: Evidence from retail panel data,https://www.sciencedirect.com/science/article/pii/S0167629622000911,5 September 2022,2022,Research Article
45,45,"Out of time? The effect of an infrequent traumatic event on individuals’ time and risk preferences, beliefs, and insurance purchasing",https://www.sciencedirect.com/science/article/pii/S0167629622000935,5 September 2022,2022,Research Article
46,46,State mental health insurance parity laws and college educational outcomes,https://www.sciencedirect.com/science/article/pii/S016762962200090X,27 August 2022,2022,Research Article
47,47,The effect of Internet access on body weight: Evidence from China,https://www.sciencedirect.com/science/article/pii/S0167629622000856,12 August 2022,2022,Research Article
48,48,A systematic examination of quality-adjusted price index alternatives for medical care using claims data,https://www.sciencedirect.com/science/article/pii/S0167629622000819,7 August 2022,2022,Research Article
49,49,Tiered cost sharing and health care demand,https://www.sciencedirect.com/science/article/pii/S0167629622000807,6 August 2022,2022,Research Article
50,50,Do breaks from surgery improve the performance of orthopaedic surgeons?,https://www.sciencedirect.com/science/article/pii/S0167629622000832,4 August 2022,2022,Research Article
51,51,Playing defense? Health care in the era of Covid,https://www.sciencedirect.com/science/article/pii/S0167629622000820,25 July 2022,2022,Research Article
52,52,Islamic law and investments in children: Evidence from the Sharia introduction in Nigeria,https://www.sciencedirect.com/science/article/pii/S0167629622000790,21 July 2022,2022,Research Article
53,53,Do Cellphone Bans Save Lives? Evidence From Handheld Laws on Traffic Fatalities,https://www.sciencedirect.com/science/article/pii/S0167629622000789,8 July 2022,2022,Research Article
54,54,Malleability of Alcohol Consumption: Evidence from Migrants,https://www.sciencedirect.com/science/article/pii/S0167629622000674,1 July 2022,2022,Research Article
55,55,Efficient use of immunosuppressants for kidney transplants,https://www.sciencedirect.com/science/article/pii/S0167629622000698,27 June 2022,2022,Research Article
56,56,The association between educational attainment and longevity using individual-level data from the 1940 census,https://www.sciencedirect.com/science/article/pii/S0167629622000686,27 June 2022,2022,Research Article
57,57,Heterogeneity in informal care intensity and its impact on employment,https://www.sciencedirect.com/science/article/pii/S0167629622000662,18 June 2022,2022,Research Article
58,58,The Effect of Free School Meals on Household Food Purchases: Evidence from the Community Eligibility Provision,https://www.sciencedirect.com/science/article/pii/S0167629622000650,17 June 2022,2022,Research Article
59,59,Coinsurance vs. co-payments: Reimbursement rules for a monopolistic medical product with competitive health insurers,https://www.sciencedirect.com/science/article/pii/S0167629622000613,13 June 2022,2022,Research Article
60,60,The deterrent effect of tort law: Evidence from medical malpractice reform,https://www.sciencedirect.com/science/article/pii/S0167629622000571,10 June 2022,2022,Research Article
61,61,"Prevention, treatment, and palliative care: The relative value of health improvements under alternative evaluation frameworks",https://www.sciencedirect.com/science/article/pii/S0167629622000625,7 June 2022,2022,Research Article
62,62,Effects of long-term care benefits on healthcare utilization in Catalonia,https://www.sciencedirect.com/science/article/pii/S0167629622000649,30 May 2022,2022,Research Article
63,63,Lead in drinking water and birth outcomes: A tale of two water treatment plants,https://www.sciencedirect.com/science/article/pii/S0167629622000637,27 May 2022,2022,Research Article
64,64,Do subsidized nursing homes and home care teams reduce hospital bed-blocking? Evidence from Portugal,https://www.sciencedirect.com/science/article/pii/S0167629622000595,26 May 2022,2022,Research Article
65,65,Do Public Caregiving Subsidies and Supports affect the Provision of Care and Transfers?,https://www.sciencedirect.com/science/article/pii/S0167629622000583,25 May 2022,2022,Research Article
66,66,Endogenous quality investments in the U.S. hospital market,https://www.sciencedirect.com/science/article/pii/S0167629622000558,14 May 2022,2022,Research Article
