,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Measures of vertical inequality in assessments,https://www.sciencedirect.com/science/article/pii/S1051137723000372,Available online 8 June 2023,2023,Research Article
1,1,Can Landlords Siphon Housing Allowances? New Theory and Evidence on Housing Allowance Algorithms from a Natural Experiment 15900,https://www.sciencedirect.com/science/article/pii/S1051137723000359,Available online 5 June 2023,2023,Research Article
2,2,When Do Property Taxes Matter? Tax Salience and Heterogeneous Policy Effects,https://www.sciencedirect.com/science/article/pii/S1051137723000384,Available online 5 June 2023,2023,Research Article
3,3,"Credit supply, homeownership and mortgage debt",https://www.sciencedirect.com/science/article/pii/S1051137723000347,Available online 2 June 2023,2023,Research Article
4,4,Does homeownership hinder labor market activity? Evidence from housing privatization and restitution,https://www.sciencedirect.com/science/article/pii/S1051137723000360,1 June 2023,2023,Research Article
5,5,Unequal treatment in the rental housing markets of four Chinese megacities,https://www.sciencedirect.com/science/article/pii/S1051137723000323,11 May 2023,2023,Research Article
6,6,Pay for elite private schools or pay for higher housing prices? Evidence from an exogenous policy shock,https://www.sciencedirect.com/science/article/pii/S1051137723000219,30 March 2023,2023,Research Article
7,7,Housing Affordability and School Quality in the United States,https://www.sciencedirect.com/science/article/pii/S1051137723000207,22 March 2023,2023,Research Article
8,8,Redevelopment values in multi-family properties: Evidence from ,https://www.sciencedirect.com/science/article/pii/S1051137723000190,6 March 2023,2023,Research Article
9,9,The sharing economy and housing markets in selected European cities,https://www.sciencedirect.com/science/article/pii/S1051137723000013,26 January 2023,2023,Research Article
10,10,Aggregate-level inferences from individual-level data: The case of permanent supportive housing and housing first,https://www.sciencedirect.com/science/article/pii/S1051137722000857,10 January 2023,2023,Research Article
11,11,Single borrowers versus coborrowers in the pandemic: Mortgage forbearance take-up and performance,https://www.sciencedirect.com/science/article/pii/S105113772200081X,28 December 2022,2022,Research Article
12,12,Stuck at home: Housing demand during the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S1051137722000808,26 December 2022,2022,Research Article
13,13,Web-scraping housing prices in real-time: The Covid-19 crisis in the UK,https://www.sciencedirect.com/science/article/pii/S105113772200078X,14 December 2022,2022,Research Article
14,14,Demons of density do higher-density environments put people at greater risk of contagious disease?,https://www.sciencedirect.com/science/article/pii/S1051137722000778,10 December 2022,2022,Research Article
15,15,The geography of US homeownership tax expenditures,https://www.sciencedirect.com/science/article/pii/S1051137722000602,30 November 2022,2022,Research Article
16,16,Housing discrimination in the low-income context: Evidence from a correspondence experiment,https://www.sciencedirect.com/science/article/pii/S1051137722000614,22 November 2022,2022,Research Article
20,20,COVID-19’s Impacts on Housing Markets: Introduction,https://www.sciencedirect.com/science/article/pii/S1051137722000833,13 December 2022,2022,Research Article
21,21,Practitioner's panel paper on land valuation guidance,https://www.sciencedirect.com/science/article/pii/S1051137722000523,9 November 2022,2022,Research Article
22,22,A matching method for land valuation,https://www.sciencedirect.com/science/article/pii/S105113772200050X,9 November 2022,2022,Research Article
23,23,"Bowling alone, buying alone: The decline of co-borrowers in the US mortgage market",https://www.sciencedirect.com/science/article/pii/S1051137722000481,9 November 2022,2022,Research Article
24,24,The impact of a home purchase restrictions (HPR) policy on the distressed property market in Beijing,https://www.sciencedirect.com/science/article/pii/S1051137722000493,6 November 2022,2022,Research Article
25,25,Special issue on land valuation: Introduction,https://www.sciencedirect.com/science/article/pii/S1051137722000535,31 October 2022,2022,Research Article
26,26,A statistical learning approach to land valuation: Optimizing the use of external information,https://www.sciencedirect.com/science/article/pii/S1051137722000456,31 October 2022,2022,Research Article
27,27,Estimating land values using residential sales data,https://www.sciencedirect.com/science/article/pii/S1051137722000419,29 October 2022,2022,Research Article
28,28,Discrimination against the atypical type of tenants in the Tokyo private rental housing market: Evidence from moving-in inspection and rent arrear records,https://www.sciencedirect.com/science/article/pii/S1051137722000511,27 October 2022,2022,Research Article
29,29,Price dispersion and time-on-market in the housing market,https://www.sciencedirect.com/science/article/pii/S105113772200047X,20 October 2022,2022,Research Article
30,30,Land value estimation using teardowns,https://www.sciencedirect.com/science/article/pii/S1051137722000468,13 October 2022,2022,Research Article
31,31,"Hedonic, residual, and matching methods for residential land valuation",https://www.sciencedirect.com/science/article/pii/S1051137722000420,23 September 2022,2022,Research Article
32,32,Assessing evidence for inattention to the costs of homeownership,https://www.sciencedirect.com/science/article/pii/S105113772200033X,6 September 2022,2022,Research Article
33,33,Adverse selection in the market for mortgage servicing rights,https://www.sciencedirect.com/science/article/pii/S1051137722000316,28 August 2022,2022,Research Article
34,34,Early effects of COVID-19 pandemic-related state policies on housing market activity in the United States,https://www.sciencedirect.com/science/article/pii/S1051137722000304,15 August 2022,2022,Research Article
35,35,Negative externalities of long-term vacant homes: Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S1051137722000298,25 July 2022,2022,Research Article
36,36,Can Public Housing Trigger Industrialization?,https://www.sciencedirect.com/science/article/pii/S1051137722000274,23 June 2022,2022,Research Article
37,37,Building underwater: Effects of community-scale flood management on housing development,https://www.sciencedirect.com/science/article/pii/S1051137722000286,22 June 2022,2022,Research Article
38,38,The heterogeneous effects of interactions between parent's education and MSA level college share on children's school enrollment,https://www.sciencedirect.com/science/article/pii/S1051137722000171,10 May 2022,2022,Research Article
39,39,A spatiotemporal equilibrium model of migration and housing interlinkages,https://www.sciencedirect.com/science/article/pii/S1051137722000146,30 April 2022,2022,Research Article
40,40,What is the impact of macroprudential regulations on the Swedish housing market?,https://www.sciencedirect.com/science/article/pii/S1051137722000158,29 April 2022,2022,Research Article
41,41,Somebody that I want to know: The non-monotonic effect of personality information on ethnic and gender discrimination in the market for shared housing,https://www.sciencedirect.com/science/article/pii/S105113772200016X,27 April 2022,2022,Research Article
42,42,Macroeconomic shocks and ripple effects in the Greater Paris Metropolis,https://www.sciencedirect.com/science/article/pii/S1051137721000760,5 March 2022,2022,Research Article
43,43,Regulation versus taxation: Efficiency of zoning and tax instruments as anti-congestion policies,https://www.sciencedirect.com/science/article/pii/S1051137722000122,27 February 2022,2022,Research Article
44,44,"Household production, home improvement, and housing investment among older Americans",https://www.sciencedirect.com/science/article/pii/S1051137722000110,26 February 2022,2022,Research Article
45,45,Loss aversion in housing appraisal: Evidence from Italian homeowners,https://www.sciencedirect.com/science/article/pii/S105113772200002X,12 February 2022,2022,Research Article
46,46,"Is There Discrimination in Property Taxation? Evidence from Atlanta, Georgia, 2010-2016",https://www.sciencedirect.com/science/article/pii/S1051137722000018,12 February 2022,2022,Research Article
47,47,Destination homeownership and labor force participation: Evidence from rural-to-urban migrants in China,https://www.sciencedirect.com/science/article/pii/S1051137722000031,20 January 2022,2022,Research Article
48,48,How does ethnic discrimination on the housing market differ across neighborhoods and real estate agencies?,https://www.sciencedirect.com/science/article/pii/S1051137721000747,27 November 2021,2021,Research Article
50,50,Note to special issue: Land values,https://www.sciencedirect.com/science/article/pii/S1051137722000742,7 December 2022,2022,Research Article
52,52,"Nevertheless, they persist: Cross-country differences in homeownership behavior",https://www.sciencedirect.com/science/article/pii/S1051137721000590,29 October 2021,2021,Research Article
53,53,"Regional housing wealth, relative housing wealth and labor market behavior",https://www.sciencedirect.com/science/article/pii/S1051137721000656,20 October 2021,2021,Research Article
54,54,The impact of the minimum housing scale constraint on life-cycle risky asset and housing investment,https://www.sciencedirect.com/science/article/pii/S1051137721000644,9 October 2021,2021,Research Article
55,55,The effect of housing loan subsidies on affordability: Evidence from Croatia,https://www.sciencedirect.com/science/article/pii/S1051137721000632,2 October 2021,2021,Research Article
56,56,Foreign buyer taxes and house prices in Canada: A tale of two cities,https://www.sciencedirect.com/science/article/pii/S1051137721000620,24 September 2021,2021,Research Article
57,57,The long-run effects of minimum lot size zoning on housing redevelopment,https://www.sciencedirect.com/science/article/pii/S1051137721000619,20 September 2021,2021,Research Article
58,58,The local employment effect of house prices: Evidence from U.S. States,https://www.sciencedirect.com/science/article/pii/S1051137721000607,11 September 2021,2021,Research Article
62,62,The interaction of actual and fundamental house prices: A general model with an application to Sweden,https://www.sciencedirect.com/science/article/pii/S1051137721000425,23 August 2021,2021,Research Article
63,63,The Global Financial Crisis and transition out of homeownership in Korea,https://www.sciencedirect.com/science/article/pii/S1051137721000589,8 August 2021,2021,Research Article
