,Unnamed: 0,Title,Url,Time,Year,Type
0,0,"International capital flows, liquidity risk, and monetary policy",https://www.sciencedirect.com/science/article/pii/S016407042300040X,3 June 2023,2023,Research Article
1,1,Public debt and welfare in a quantitative Schumpeterian growth model with incomplete markets,https://www.sciencedirect.com/science/article/pii/S0164070423000393,Available online 2 June 2023,2023,Research Article
2,2,Behavioral New Keynesian Models: An empirical assessment,https://www.sciencedirect.com/science/article/pii/S0164070423000381,27 May 2023,2023,Research Article
3,3,"Public investment, national debt, and economic growth: The role of debt finance under dynamic inefficiency",https://www.sciencedirect.com/science/article/pii/S0164070423000356,12 May 2023,2023,Research Article
4,4,Fiscal stabilization rule,https://www.sciencedirect.com/science/article/pii/S0164070423000289,9 May 2023,2023,Research Article
5,5,Business cycle synchronization and African monetary union: A wavelet analysis,https://www.sciencedirect.com/science/article/pii/S0164070423000277,6 May 2023,2023,Research Article
6,6,"Wealth in utility, the Taylor principle and determinacy",https://www.sciencedirect.com/science/article/pii/S0164070423000253,26 April 2023,2023,Research Article
7,7,Inflation targeting and the composition of public expenditure: Evidence from developing countries,https://www.sciencedirect.com/science/article/pii/S016407042300023X,5 April 2023,2023,Research Article
8,8,"Staggered wages, unanticipated shocks and firms’ adjustments",https://www.sciencedirect.com/science/article/pii/S0164070423000216,12 March 2023,2023,Research Article
9,9,Tax evasion policies and the demand for cash,https://www.sciencedirect.com/science/article/pii/S0164070423000204,10 March 2023,2023,Research Article
10,10,Patent term extensions and commercialization lags in the pharmaceutical industry: A growth-theoretic analysis,https://www.sciencedirect.com/science/article/pii/S0164070423000198,2 March 2023,2023,Research Article
11,11,Taxes and firm investment,https://www.sciencedirect.com/science/article/pii/S0164070423000174,21 February 2023,2023,Research Article
12,12,Can variable elasticity of substitution explain changes in labor shares?,https://www.sciencedirect.com/science/article/pii/S0164070423000186,19 February 2023,2023,Research Article
13,13,Human capital heterogeneity of the unemployed and jobless recoveries,https://www.sciencedirect.com/science/article/pii/S0164070423000058,13 February 2023,2023,Research Article
14,14,"Model uncertainty, economic development, and welfare costs of business cycles",https://www.sciencedirect.com/science/article/pii/S0164070423000149,11 February 2023,2023,Research Article
15,15,Impact of infectious disease pandemics on individual lifetime consumption: An endogenous time preference approach,https://www.sciencedirect.com/science/article/pii/S016407042300006X,4 February 2023,2023,Research Article
16,16,Land and housing: The twin forces of non-balanced growth,https://www.sciencedirect.com/science/article/pii/S0164070423000046,31 January 2023,2023,Research Article
17,17,Data deepening and nonbalanced economic growth,https://www.sciencedirect.com/science/article/pii/S0164070423000034,30 January 2023,2023,Research Article
18,18,Automation and the employment elasticity of fiscal policy,https://www.sciencedirect.com/science/article/pii/S0164070423000022,24 January 2023,2023,Research Article
19,19,Quantifying the uncertainty of long-term macroeconomic projections,https://www.sciencedirect.com/science/article/pii/S0164070423000010,14 January 2023,2023,Research Article
20,20,A political economy approach to endogenous industrial policies,https://www.sciencedirect.com/science/article/pii/S0164070422000921,9 January 2023,2023,Research Article
21,21,Monetary and fiscal coordination in preventing bank failures and financial contagion,https://www.sciencedirect.com/science/article/pii/S016407042200091X,7 January 2023,2023,Research Article
22,22,"Monetary policy, fiscal policy and cross signal jamming",https://www.sciencedirect.com/science/article/pii/S0164070422000933,7 January 2023,2023,Research Article
23,23,Do the Hamilton and Beveridge–Nelson filters provide the same information about output gaps? An empirical comparison for practitioners,https://www.sciencedirect.com/science/article/pii/S0164070422000891,5 January 2023,2023,Research Article
24,24,Inflation targeting and inflation communication of the Federal Reserve: Words and deeds,https://www.sciencedirect.com/science/article/pii/S0164070422000908,4 January 2023,2023,Research Article
25,25,Measuring the size and dynamics of U.S. state-level shadow economies using a dynamic general equilibrium model with trends,https://www.sciencedirect.com/science/article/pii/S0164070422000842,24 December 2022,2022,Research Article
26,26,Loss-of-learning and the post-Covid recovery in low-income countries,https://www.sciencedirect.com/science/article/pii/S0164070422000854,24 December 2022,2022,Research Article
27,27,"Consumer preferences, the demand for Divisia money, and the welfare costs of inflation",https://www.sciencedirect.com/science/article/pii/S0164070422000830,23 December 2022,2022,Research Article
28,28,Are monetary policy shocks causal to bank health? Evidence from the euro area,https://www.sciencedirect.com/science/article/pii/S0164070422000878,22 December 2022,2022,Research Article
29,29,How can financial constraints force a central bank to exit a currency peg? An application to the Swiss franc peg,https://www.sciencedirect.com/science/article/pii/S0164070422000866,22 December 2022,2022,Research Article
30,30,Policy coordination and the effectiveness of fiscal stimulus,https://www.sciencedirect.com/science/article/pii/S0164070422000829,19 December 2022,2022,Research Article
31,31,Government expenditure and economic growth: A heterogeneous-agents approach,https://www.sciencedirect.com/science/article/pii/S0164070422000799,6 December 2022,2022,Research Article
32,32,Long-run scarring effects of meltdowns in a small-scale nonlinear quadratic model,https://www.sciencedirect.com/science/article/pii/S0164070422000805,6 December 2022,2022,Research Article
33,33,"The pace of fiscal consolidations, fiscal sustainability, and welfare: An overlapping generations approach",https://www.sciencedirect.com/science/article/pii/S0164070422000787,26 November 2022,2022,Research Article
34,34,Macroeconomic effects of government spending shocks: New narrative evidence from Canada,https://www.sciencedirect.com/science/article/pii/S0164070422000763,24 November 2022,2022,Research Article
35,35,Yield curve and the macroeconomy: Evidence from a DSGE model with housing,https://www.sciencedirect.com/science/article/pii/S0164070422000775,21 November 2022,2022,Research Article
36,36,"Unemployment insurance, recalls, and experience rating",https://www.sciencedirect.com/science/article/pii/S0164070422000751,19 November 2022,2022,Research Article
37,37,Does wealth inequality affect the transmission of monetary policy?,https://www.sciencedirect.com/science/article/pii/S0164070422000672,12 November 2022,2022,Research Article
40,40,The effects of monetary policy on consumption: Workers vs. retirees,https://www.sciencedirect.com/science/article/pii/S0164070422000660,28 October 2022,2022,Research Article
41,41,Private and public risk sharing across Italian regions,https://www.sciencedirect.com/science/article/pii/S0164070422000635,3 October 2022,2022,Research Article
42,42,Classification of monetary and fiscal dominance regimes using machine learning techniques,https://www.sciencedirect.com/science/article/pii/S0164070422000623,6 September 2022,2022,Research Article
43,43,The health gap and its effect on economic outcomes,https://www.sciencedirect.com/science/article/pii/S0164070422000544,2 August 2022,2022,Research Article
44,44,Informal employment and business cycles in emerging market economies,https://www.sciencedirect.com/science/article/pii/S0164070422000489,30 July 2022,2022,Research Article
45,45,Illiquid investments and the non-monotone relationship between credit and growth,https://www.sciencedirect.com/science/article/pii/S0164070422000532,29 July 2022,2022,Research Article
46,46,Balanced-budget rules and macroeconomic stability with overlapping generations,https://www.sciencedirect.com/science/article/pii/S0164070422000507,29 July 2022,2022,Research Article
47,47,Congestion in a public health service: A macro approach,https://www.sciencedirect.com/science/article/pii/S0164070422000477,28 July 2022,2022,Research Article
48,48,The wage dispersion effects of international migration in the European Union,https://www.sciencedirect.com/science/article/pii/S0164070422000490,27 July 2022,2022,Research Article
49,49,On the welfare cost of business cycles: The role of labor-market heterogeneity,https://www.sciencedirect.com/science/article/pii/S0164070422000519,25 July 2022,2022,Research Article
50,50,Business cycle asymmetries and the labor market,https://www.sciencedirect.com/science/article/pii/S0164070422000520,22 July 2022,2022,Research Article
51,51,Monetary policy rules and the equity premium in a segmented markets model,https://www.sciencedirect.com/science/article/pii/S0164070422000453,27 June 2022,2022,Research Article
52,52,The medium-run Phillips curve: A time–frequency investigation for the UK,https://www.sciencedirect.com/science/article/pii/S0164070422000465,26 June 2022,2022,Research Article
53,53,Government spending news and surprise shocks: It’s the timing and persistence,https://www.sciencedirect.com/science/article/pii/S016407042200043X,8 June 2022,2022,Research Article
54,54,The fiscal response to the Italian COVID-19 crisis: A counterfactual analysis,https://www.sciencedirect.com/science/article/pii/S0164070422000441,2 June 2022,2022,Research Article
55,55,The international real business cycle when demand matters,https://www.sciencedirect.com/science/article/pii/S0164070422000428,31 May 2022,2022,Research Article
56,56,Learning with unobserved regimes,https://www.sciencedirect.com/science/article/pii/S0164070422000398,25 May 2022,2022,Research Article
57,57,Was India’s demonetization redistributive? Insights from satellites and surveys,https://www.sciencedirect.com/science/article/pii/S0164070422000374,24 May 2022,2022,Research Article
58,58,Heterogeneity in sectoral price and quantity responses to shocks to monetary policy,https://www.sciencedirect.com/science/article/pii/S0164070422000386,20 May 2022,2022,Research Article
59,59,"Macroeconomic impacts of remittances: A two-country, two-sector model",https://www.sciencedirect.com/science/article/pii/S0164070422000404,19 May 2022,2022,Research Article
60,60,Balanced-budget fiscal rules and money growth pegging,https://www.sciencedirect.com/science/article/pii/S0164070422000283,29 April 2022,2022,Research Article
61,61,Forward guidance matters: Disentangling monetary policy shocks,https://www.sciencedirect.com/science/article/pii/S0164070422000246,27 April 2022,2022,Research Article
62,62,Time-varying capital intensities and the hump-shaped evolution of economic activity in manufacturing,https://www.sciencedirect.com/science/article/pii/S0164070422000271,26 April 2022,2022,Research Article
63,63,The impact of uncertainty shocks on state-level employment,https://www.sciencedirect.com/science/article/pii/S016407042200026X,25 April 2022,2022,Research Article
64,64,"Upstream financial flows, intangible investment, and allocative efficiency",https://www.sciencedirect.com/science/article/pii/S0164070422000258,18 April 2022,2022,Research Article
65,65,A cautionary note on linear aggregation in macroeconomic models under the RINCE preferences,https://www.sciencedirect.com/science/article/pii/S0164070422000222,1 April 2022,2022,Research Article
66,66,Sectoral spillovers across space and time,https://www.sciencedirect.com/science/article/pii/S0164070422000234,31 March 2022,2022,Research Article
67,67,Business exit during the COVID-19 pandemic: Non-traditional measures in historical context,https://www.sciencedirect.com/science/article/pii/S0164070422000210,22 March 2022,2022,Research Article
68,68,Ambiguous economic news and heterogeneity: What explains asymmetric consumption responses?,https://www.sciencedirect.com/science/article/pii/S0164070422000155,9 March 2022,2022,Research Article
69,69,Endogenous wage indexation and aggregate shocks,https://www.sciencedirect.com/science/article/pii/S0164070422000192,9 March 2022,2022,Research Article
