,Unnamed: 0,Title,Url,Time,Year,Type
0,0,A cooperative bargaining framework for decentralized portfolio optimization,https://www.sciencedirect.com/science/article/pii/S030440682200115X,23 November 2022,2022,Research Article
1,1,Large deviation principle for spatial economic growth model on networks,https://www.sciencedirect.com/science/article/pii/S0304406822001100,9 November 2022,2022,Research Article
2,2,Saving and dissaving under ,https://www.sciencedirect.com/science/article/pii/S0304406822001094,30 October 2022,2022,Research Article
3,3,Labor market volatility in a fully specified RBC search model: An analytical investigation,https://www.sciencedirect.com/science/article/pii/S0304406822001021,25 October 2022,2022,Research Article
4,4,A growth model with endogenous technological revolutions and cycles,https://www.sciencedirect.com/science/article/pii/S0304406822001008,23 October 2022,2022,Research Article
5,5,Pure strategy Nash Equilibrium in 2-contestant generalized lottery Colonel Blotto games,https://www.sciencedirect.com/science/article/pii/S0304406822000970,7 October 2022,2022,Research Article
6,6,Financial destabilization,https://www.sciencedirect.com/science/article/pii/S0304406822000982,5 October 2022,2022,Research Article
7,7,Nonexclusive competition for a freelancer under adverse selection,https://www.sciencedirect.com/science/article/pii/S0304406822000994,30 September 2022,2022,Research Article
8,8,Subjective probability and stochastic independence,https://www.sciencedirect.com/science/article/pii/S0304406822000969,29 September 2022,2022,Research Article
9,9,Fractional stochastic dominance in rank-dependent utility and cumulative prospect theory,https://www.sciencedirect.com/science/article/pii/S0304406822000921,24 September 2022,2022,Research Article
10,10,Network formation and pairwise stability: A new oddness theorem,https://www.sciencedirect.com/science/article/pii/S0304406822000933,21 September 2022,2022,Research Article
11,11,The grand surplus value and repeated cooperative cross-games with coalitional collaboration,https://www.sciencedirect.com/science/article/pii/S0304406822000908,5 September 2022,2022,Research Article
12,12,Lack of prevalence of the endowment effect: An equilibrium analysis,https://www.sciencedirect.com/science/article/pii/S0304406822000891,5 September 2022,2022,Research Article
13,13,Objective rationality and recursive multiple priors,https://www.sciencedirect.com/science/article/pii/S030440682200088X,31 August 2022,2022,Research Article
14,14,On the relationship between comparisons of risk aversion of different orders,https://www.sciencedirect.com/science/article/pii/S0304406822000854,22 August 2022,2022,Research Article
15,15,Group strategy-proof probabilistic voting with single-peaked preferences,https://www.sciencedirect.com/science/article/pii/S0304406822000842,13 August 2022,2022,Research Article
16,16,Uncertain production environment and communication structure,https://www.sciencedirect.com/science/article/pii/S0304406822000751,22 July 2022,2022,Research Article
17,17,A Bayesian nonatomic game and its applicability to finite-player situations,https://www.sciencedirect.com/science/article/pii/S0304406822000763,21 July 2022,2022,Research Article
18,18,Priority relations and cooperation with multiple activity levels,https://www.sciencedirect.com/science/article/pii/S0304406822000738,14 July 2022,2022,Research Article
19,19,Diversification and risk attitudes toward two risks,https://www.sciencedirect.com/science/article/pii/S0304406822000714,10 June 2022,2022,Research Article
20,20,Lexicographic solutions for coalitional rankings based on individual and collective performances,https://www.sciencedirect.com/science/article/pii/S0304406822000726,8 June 2022,2022,Research Article
