,Unnamed: 0,Title,Url,Time,Year,Type
0,0,What Does Anticipated Monetary Policy Do?,https://www.sciencedirect.com/science/article/pii/S0304393223000685,Available online 10 June 2023,2023,Research Article
1,1,Decrypting new age international capital flows,https://www.sciencedirect.com/science/article/pii/S0304393223000673,Available online 1 June 2023,2023,Research Article
2,2,Business cycle asymmetry and input-output structure: The role of firm-to-firm networks,https://www.sciencedirect.com/science/article/pii/S030439322300065X,Available online 13 May 2023,2023,Research Article
3,3,The signalling channel of negative interest rates,https://www.sciencedirect.com/science/article/pii/S0304393223000636,Available online 7 May 2023,2023,Research Article
4,4,Coordinated firm-level work processes and macroeconomic resilience,https://www.sciencedirect.com/science/article/pii/S0304393223000454,Available online 5 May 2023,2023,Research Article
5,5,Trade and diffusion of embodied technology: an empirical analysis,https://www.sciencedirect.com/science/article/pii/S0304393223000478,Available online 5 May 2023,2023,Research Article
6,6,Average inflation targeting: Time inconsistency and ambiguous communication,https://www.sciencedirect.com/science/article/pii/S0304393223000594,Available online 5 May 2023,2023,Research Article
7,7,What matters in households’ inflation expectations?,https://www.sciencedirect.com/science/article/pii/S0304393223000508,Available online 4 May 2023,2023,Research Article
8,8,Rigid production networks,https://www.sciencedirect.com/science/article/pii/S030439322300051X,Available online 4 May 2023,2023,Research Article
9,9,Propagation of shocks in an input-output economy: Evidence from disaggregated prices,https://www.sciencedirect.com/science/article/pii/S030439322300048X,Available online 4 May 2023,2023,Research Article
10,10,Price setting on the two sides of the Atlantic - Evidence from supermarket scanner data,https://www.sciencedirect.com/science/article/pii/S0304393223000582,Available online 4 May 2023,2023,Research Article
11,11,"Comment on: “trade and diffusion of embodied technology: An empirical Analysis” by ayerst, ibrahim, mackenzie, and rachapalli",https://www.sciencedirect.com/science/article/pii/S0304393223000491,Available online 4 May 2023,2023,Research Article
12,12,Stress relief? Funding structures and resilience to the covid shock,https://www.sciencedirect.com/science/article/pii/S0304393223000442,Available online 3 May 2023,2023,Research Article
13,13,Inefficient international risk-sharing,https://www.sciencedirect.com/science/article/pii/S0304393223000430,Available online 30 April 2023,2023,Research Article
14,14,"Deposit market power, funding stability and long-term credit",https://www.sciencedirect.com/science/article/pii/S0304393223000429,Available online 19 April 2023,2023,Research Article
15,15,Comment on “Rigid production networks” by Pellet and Tahbaz-Salehi,https://www.sciencedirect.com/science/article/pii/S0304393223000338,Available online 6 April 2023,2023,Research Article
16,16,Local information and firm expectations about aggregates,https://www.sciencedirect.com/science/article/pii/S0304393223000326,Available online 31 March 2023,2023,Research Article
17,17,The inflationary effects of sectoral reallocation,https://www.sciencedirect.com/science/article/pii/S0304393223000302,Available online 17 March 2023,2023,Research Article
18,18,"Perceived FOMC: The making of hawks, doves and swingers",https://www.sciencedirect.com/science/article/pii/S0304393223000272,15 March 2023,2023,Research Article
19,19,Myopic fiscal objectives and long-Run monetary efficiency,https://www.sciencedirect.com/science/article/pii/S0304393223000296,11 March 2023,2023,Research Article
20,20,Dynamic information aggregation: Learning from the past,https://www.sciencedirect.com/science/article/pii/S030439322300020X,25 February 2023,2023,Research Article
21,21,Learning and the capital age premium,https://www.sciencedirect.com/science/article/pii/S0304393223000181,11 February 2023,2023,Research Article
22,22,"Rational inattention, misallocation, and the aggregate economy",https://www.sciencedirect.com/science/article/pii/S030439322300017X,28 January 2023,2023,Research Article
23,23,Information management in times of crisis,https://www.sciencedirect.com/science/article/pii/S0304393223000168,25 January 2023,2023,Research Article
24,24,Identification with External Instruments in Structural VARs,https://www.sciencedirect.com/science/article/pii/S0304393223000132,20 January 2023,2023,Research Article
25,25,"Earnings growth, job flows and churn",https://www.sciencedirect.com/science/article/pii/S0304393223000107,18 January 2023,2023,Research Article
26,26,Information frictions among firms and households,https://www.sciencedirect.com/science/article/pii/S0304393223000120,15 January 2023,2023,Research Article
