,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The effects of a US-China trade war on Sub-Saharan Africa: pro-active domestic policies make the difference,https://www.sciencedirect.com/science/article/pii/S0161893823000509,Available online 7 June 2023,2023,Research Article
1,1,The Global Value Chain: Challenges faced by ASEAN least developed countries,https://www.sciencedirect.com/science/article/pii/S0161893823000492,Available online 7 June 2023,2023,Research Article
2,2,How Bilateral Trade Deals Get in the Way of Multilateral Agreements: Why WTO is marginalized,https://www.sciencedirect.com/science/article/pii/S0161893823000480,Available online 5 June 2023,2023,Research Article
3,3,Fed's monetary policy mistake and the US post-COVID economic recovery,https://www.sciencedirect.com/science/article/pii/S0161893823000455,Available online 29 May 2023,2023,Research Article
4,4,The impact of government spending on Ireland’s housing and residential market – Targeted vs economy-wide stimulus,https://www.sciencedirect.com/science/article/pii/S0161893823000467,Available online 29 May 2023,2023,Research Article
5,5,The Sustainability of Current Account in the BRICS Countries Depends on Economic Policies’ Support to Structural Adaptation,https://www.sciencedirect.com/science/article/pii/S0161893823000364,Available online 10 May 2023,2023,Research Article
6,6,Does globalization drive long-run inequality within OECD countries? A guide to policy making,https://www.sciencedirect.com/science/article/pii/S0161893823000339,Available online 4 May 2023,2023,Research Article
7,7,Relocating investments by Tunisian insurance and pension funds towards alternative assets opportunities,https://www.sciencedirect.com/science/article/pii/S0161893823000285,Available online 29 March 2023,2023,Research Article
8,8,"Longevity of EU membership and VAT practices: Dependencies, Contradictions And Implications",https://www.sciencedirect.com/science/article/pii/S0161893823000236,Available online 16 March 2023,2023,Research Article
9,9,"Immigration, terrorism, and the economy",https://www.sciencedirect.com/science/article/pii/S0161893823000248,Available online 16 March 2023,2023,Research Article
10,10,The cost of war: Impact of sanctions on Russia following the invasion of Ukraine,https://www.sciencedirect.com/science/article/pii/S0161893823000297,14 April 2023,2023,Research Article
11,11,"ICT in education can improve students’ achievements in rural China: The role of parents, educators and authorities",https://www.sciencedirect.com/science/article/pii/S0161893823000224,7 March 2023,2023,Research Article
12,12,"The global healthy ageing agenda: The impact of education, gender, childhood conditions and social engagement in rural South Africa",https://www.sciencedirect.com/science/article/pii/S0161893823000273,28 March 2023,2023,Research Article
13,13,Financial asymmetries between Euro area and the United States: An international political economy perspective,https://www.sciencedirect.com/science/article/pii/S016189382300025X,23 March 2023,2023,Research Article
14,14,The human life vs economic loss dilemma: Relation between death rate and the output rate in Europe during the Covid 19 pandemic,https://www.sciencedirect.com/science/article/pii/S0161893823000327,21 April 2023,2023,Research Article
15,15,The ECB’s new inflation target from a short- and long-term perspective,https://www.sciencedirect.com/science/article/pii/S0161893823000261,28 March 2023,2023,Research Article
16,16,Do remittances reduce school dropout in Bangladesh? The role of government’s administrative and structural support,https://www.sciencedirect.com/science/article/pii/S0161893823000303,14 April 2023,2023,Research Article
17,17,The unregulated private rental sector and the impact on Israeli housing market,https://www.sciencedirect.com/science/article/pii/S016189382300008X,10 February 2023,2023,Research Article
18,18,"Governance, credit access and clean cooking technologies in Sub-Saharan Africa: Implications for energy transition",https://www.sciencedirect.com/science/article/pii/S0161893823000029,3 January 2023,2023,Research Article
19,19,The macroeconomic effects of basic income funded by a land-holding tax in Korea,https://www.sciencedirect.com/science/article/pii/S0161893823000078,3 February 2023,2023,Research Article
20,20,The role of funding on research and science: The impact of glyphosate herbicides on health and the environment,https://www.sciencedirect.com/science/article/pii/S0161893823000017,5 January 2023,2023,Research Article
21,21,Is democracy pro poor in Sub-Saharan Africa?,https://www.sciencedirect.com/science/article/pii/S016189382300011X,14 February 2023,2023,Research Article
22,22,Financing and managing epidemiological-economic crises: Are we ready for another outbreak?,https://www.sciencedirect.com/science/article/pii/S0161893823000091,9 February 2023,2023,Research Article
23,23,Women’s political empowerment: Influence of women in legislative versus executive branches in the fight against corruption,https://www.sciencedirect.com/science/article/pii/S0161893823000030,13 January 2023,2023,Research Article
24,24,Long-run macroeconomic consequences of Taiwan's aging labor force: an analysis of policy options,https://www.sciencedirect.com/science/article/pii/S0161893823000066,4 February 2023,2023,Research Article
25,25,"Deregulation, bank efficiency and economic cooperation across China–Taiwan Strait",https://www.sciencedirect.com/science/article/pii/S016189382200120X,30 December 2022,2022,Research Article
26,26,Containment measures during the COVID pandemic: The role of non-pharmaceutical health policies,https://www.sciencedirect.com/science/article/pii/S0161893822001193,12 December 2022,2022,Research Article
27,27,Trade options for a small open economy: The different impact of Taiwan exports to China and to other countries,https://www.sciencedirect.com/science/article/pii/S0161893822001132,2 December 2022,2022,Research Article
28,28,Climate change and credit risk: The effect of carbon tax on Italian banks' business loan default rates,https://www.sciencedirect.com/science/article/pii/S0161893822001120,29 November 2022,2022,Research Article
29,29,Taxation and anti-smoking campaigns: Complementary policies in tobacco control,https://www.sciencedirect.com/science/article/pii/S0161893822001119,23 November 2022,2022,Research Article
31,31,Contents,https://www.sciencedirect.com/science/article/pii/S0161893823000406,March–April 2023,2023,Research Article
32,32,Contents,https://www.sciencedirect.com/science/article/pii/S0161893823000145,January–February 2023,2023,Research Article
33,33,"Erratum to “Ukraine war-induced sanctions against Russia: Consequences on transition economies” [Journal of Policy Modeling 44 (5) (2022), 863-885]",https://www.sciencedirect.com/science/article/pii/S0161893823000042,2 February 2023,2023,Research Article
35,35,"Do political instability, financial instability and environmental degradation undermine growth? Evidence from belt and road initiative countries",https://www.sciencedirect.com/science/article/pii/S0161893822001053,4 November 2022,2022,Research Article
36,36,"Financial development, institutional improvement, poverty reduction: The multiple challenges in West Africa",https://www.sciencedirect.com/science/article/pii/S0161893822001065,14 November 2022,2022,Research Article
37,37,The impacts of environmental and climate targets on agriculture: Policy options in Italy,https://www.sciencedirect.com/science/article/pii/S0161893822001089,9 November 2022,2022,Research Article
38,38,"The effects of mass shootings on gun sales: Motivations, mechanisms, policies and regulations",https://www.sciencedirect.com/science/article/pii/S0161893822000977,28 October 2022,2022,Research Article
39,39,"Monetary policy, trade-offs and the transmission of UK Monetary Policy",https://www.sciencedirect.com/science/article/pii/S0161893822000989,26 October 2022,2022,Research Article
40,40,Inflation targeting and its spillover effects on financial stability in emerging market economies,https://www.sciencedirect.com/science/article/pii/S0161893822000941,20 October 2022,2022,Research Article
41,41,Impact of de-globalization on development: Comparative analysis of an emerging market (India) and a developed country (USA),https://www.sciencedirect.com/science/article/pii/S0161893822000953,20 October 2022,2022,Research Article
42,42,Response to the rejoinder to “The impact of infectious diseases on remittances inflows to India” by Prof. Stark,https://www.sciencedirect.com/science/article/pii/S0161893822000734,Available online 22 September 2022,2022,Research Article
43,43,"A rejoinder to ""The impact of infectious diseases on remittances inflows to India""",https://www.sciencedirect.com/science/article/pii/S0161893822000722,Available online 22 September 2022,2022,Research Article
44,44,Rural poverty and disability in Ethiopia: Formidable policy challenges,https://www.sciencedirect.com/science/article/pii/S0161893822000758,28 September 2022,2022,Research Article
45,45,Financial access and household’s borrowing: Policy perspectives of an emerging economy,https://www.sciencedirect.com/science/article/pii/S0161893822000746,28 September 2022,2022,Research Article
46,46,Computable General Equilibrium assessment of mega-events: Issues and possible solutions,https://www.sciencedirect.com/science/article/pii/S0161893822000710,19 September 2022,2022,Research Article
47,47,Has the Targeted Poverty Alleviation program improved household welfare in rural China?,https://www.sciencedirect.com/science/article/pii/S0161893822000540,3 September 2022,2022,Research Article
48,48,Fruit safety regulations in the transatlantic region: How are Africa’s exports faring with the regulations?,https://www.sciencedirect.com/science/article/pii/S0161893822000552,9 September 2022,2022,Research Article
49,49,The impact of political and non-political officials on the financial management of local governments,https://www.sciencedirect.com/science/article/pii/S0161893822000503,19 August 2022,2022,Research Article
50,50,Policy and media forces that shape the creation of Chinese state-owned enterprise policies,https://www.sciencedirect.com/science/article/pii/S0161893822000485,17 August 2022,2022,Research Article
51,51,Ukraine war-induced sanctions against Russia: Consequences on transition economies,https://www.sciencedirect.com/science/article/pii/S0161893822000497,6 August 2022,2022,Research Article
52,52,Covid-19 pandemic and food security in India: Can authorities alleviate the disproportionate burden on the disadvantaged?,https://www.sciencedirect.com/science/article/pii/S0161893822000473,6 August 2022,2022,Research Article
53,53,Universal basic income: A feasible alternative to move people out of poverty in Mexico?,https://www.sciencedirect.com/science/article/pii/S0161893822000394,27 July 2022,2022,Research Article
54,54,Reforming public debt governance in Turkey to reach debt sustainability,https://www.sciencedirect.com/science/article/pii/S0161893822000382,23 July 2022,2022,Research Article
55,55,Does geographical proximity matter in determining the profitability of banks?,https://www.sciencedirect.com/science/article/pii/S0161893822000370,21 July 2022,2022,Research Article
56,56,Another legacy of the COVID-19 pandemic: Income divergence,https://www.sciencedirect.com/science/article/pii/S0161893822000680,July–August 2022,2022,Research Article
57,57,Issues in the theory of sovereign debt and post-covid workouts,https://www.sciencedirect.com/science/article/pii/S0161893822000618,July–August 2022,2022,Research Article
58,58,Central banking and political pressure,https://www.sciencedirect.com/science/article/pii/S0161893822000576,July–August 2022,2022,Research Article
59,59,Regional differences in inequality and income distribution in the United States,https://www.sciencedirect.com/science/article/pii/S0161893822000643,July–August 2022,2022,Research Article
60,60,Emerging markets: Prospects and challenges,https://www.sciencedirect.com/science/article/pii/S0161893822000679,July–August 2022,2022,Research Article
61,61,The effect of the rescue plans and the need for policies to increase economic growth,https://www.sciencedirect.com/science/article/pii/S0161893822000588,July–August 2022,2022,Research Article
62,62,Is it a turning point in the US economy?,https://www.sciencedirect.com/science/article/pii/S0161893822000606,July–August 2022,2022,Research Article
