,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Worker and spousal responses to automatic enrollment,https://www.sciencedirect.com/science/article/pii/S0047272723000920,9 June 2023,2023,Research Article
1,1,Choice and consequence: Assessing mismatch at Chicago exam schools,https://www.sciencedirect.com/science/article/pii/S0047272723000749,7 June 2023,2023,Research Article
2,2,International college students’ impact on the US skilled labor supply,https://www.sciencedirect.com/science/article/pii/S0047272723000993,7 June 2023,2023,Research Article
3,3,Self-assessment: The role of the social environment,https://www.sciencedirect.com/science/article/pii/S0047272723000907,1 June 2023,2023,Research Article
4,4,The effects of changes in social security’s delayed retirement credit: Evidence from administrative data,https://www.sciencedirect.com/science/article/pii/S0047272723000816,31 May 2023,2023,Research Article
5,5,"‘Earned, not given’? The effect of lowering the full retirement age on retirement decisions",https://www.sciencedirect.com/science/article/pii/S0047272723000919,27 May 2023,2023,Research Article
6,6,Diseconomies of scale and subsidies in urban public transportation,https://www.sciencedirect.com/science/article/pii/S0047272723000853,19 May 2023,2023,Research Article
7,7,Disguised pollution: Industrial activities in the dark,https://www.sciencedirect.com/science/article/pii/S0047272723000865,17 May 2023,2023,Research Article
8,8,A quantitative evaluation of universal basic income,https://www.sciencedirect.com/science/article/pii/S0047272723000634,15 May 2023,2023,Research Article
9,9,Moving to density: Half a century of housing costs and wage premia from Queens to King Salmon,https://www.sciencedirect.com/science/article/pii/S0047272723000889,9 May 2023,2023,Research Article
10,10,A preference-based theory unifying monetary and non-monetary poverty measurement,https://www.sciencedirect.com/science/article/pii/S0047272723000804,9 May 2023,2023,Research Article
11,11,The salary taboo privacy norms and the diffusion of information,https://www.sciencedirect.com/science/article/pii/S0047272723000725,5 May 2023,2023,Research Article
12,12,Crowding in with impure altruism: Theory and evidence from volunteerism in national parks,https://www.sciencedirect.com/science/article/pii/S0047272723000610,5 May 2023,2023,Research Article
13,13,Supply-side health policy: The impact of scope-of-practice laws on mortality,https://www.sciencedirect.com/science/article/pii/S004727272300083X,5 May 2023,2023,Research Article
14,14,The inequality impact of consumption taxes: An international comparison,https://www.sciencedirect.com/science/article/pii/S0047272723000798,4 May 2023,2023,Research Article
15,15,The persistent impact of electoral incentives on the quality of infrastructure,https://www.sciencedirect.com/science/article/pii/S0047272723000622,28 April 2023,2023,Research Article
16,16,Suing the government under weak rule of law: Evidence from administrative litigation reform in China,https://www.sciencedirect.com/science/article/pii/S0047272723000774,27 April 2023,2023,Research Article
17,17,The impacts of Covid-19 absences on workers,https://www.sciencedirect.com/science/article/pii/S0047272723000713,19 April 2023,2023,Research Article
18,18,Does information affect homophily?,https://www.sciencedirect.com/science/article/pii/S0047272723000580,17 April 2023,2023,Research Article
19,19,"Cigarette taxes, smoking, and health in the long run",https://www.sciencedirect.com/science/article/pii/S0047272723000592,15 April 2023,2023,Research Article
20,20,Window dressing in the public sector: Evidence from China’s compulsory education promotion program,https://www.sciencedirect.com/science/article/pii/S0047272723000609,13 April 2023,2023,Research Article
21,21,"Anti-corruption campaign, political connections, and court bias: Evidence from Chinese corporate lawsuits",https://www.sciencedirect.com/science/article/pii/S0047272723000439,13 April 2023,2023,Research Article
22,22,Smoking gun? Linking gun ownership to crime victimization,https://www.sciencedirect.com/science/article/pii/S0047272723000567,11 April 2023,2023,Research Article
23,23,Taxing Uber,https://www.sciencedirect.com/science/article/pii/S0047272723000440,30 March 2023,2023,Research Article
24,24,Centralized admission systems and school segregation: Evidence from a national reform,https://www.sciencedirect.com/science/article/pii/S0047272723000452,28 March 2023,2023,Research Article
25,25,Spend as you were told: Evidence from labeled COVID-19 stimulus payments in South Korea,https://www.sciencedirect.com/science/article/pii/S004727272300049X,24 March 2023,2023,Research Article
26,26,Economic consequences of hospital closures,https://www.sciencedirect.com/science/article/pii/S0047272723000038,22 March 2023,2023,Research Article
27,27,Prescription drug advertising and drug utilization: The role of Medicare Part D,https://www.sciencedirect.com/science/article/pii/S0047272723000427,17 March 2023,2023,Research Article
28,28, versus ,https://www.sciencedirect.com/science/article/pii/S0047272723000373,15 March 2023,2023,Research Article
29,29,Occupy government: Democracy and the dynamics of personnel decisions and public finances,https://www.sciencedirect.com/science/article/pii/S0047272723000385,14 March 2023,2023,Research Article
30,30,Corporate political spending and state tax policy: Evidence from ,https://www.sciencedirect.com/science/article/pii/S0047272723000415,13 March 2023,2023,Research Article
31,31,The effect of increasing retirement age on households’ savings and consumption expenditure,https://www.sciencedirect.com/science/article/pii/S0047272723000270,8 March 2023,2023,Research Article
32,32,Can beneficiary information improve hospital accountability? Experimental evidence from a public health insurance scheme in India,https://www.sciencedirect.com/science/article/pii/S0047272723000233,7 March 2023,2023,Research Article
33,33,Progressive consumption taxes,https://www.sciencedirect.com/science/article/pii/S0047272723000361,7 March 2023,2023,Research Article
34,34,Doctor switching costs,https://www.sciencedirect.com/science/article/pii/S0047272723000403,7 March 2023,2023,Research Article
35,35,"Competence-loyalty tradeoff under dominant minority rule: The case of Manchu rule, 1650-1911",https://www.sciencedirect.com/science/article/pii/S0047272723000257,6 March 2023,2023,Research Article
36,36,Climate adaptation policies and infant health: Evidence from a water policy in Brazil,https://www.sciencedirect.com/science/article/pii/S0047272723000178,2 March 2023,2023,Research Article
37,37,“Model minorities” in the classroom? Positive evaluation bias towards Asian students and its consequences,https://www.sciencedirect.com/science/article/pii/S0047272723000208,2 March 2023,2023,Research Article
38,38,Income tax credits for consumer services: A tool for tackling VAT evasion?,https://www.sciencedirect.com/science/article/pii/S004727272300018X,2 March 2023,2023,Research Article
39,39,Partisan political beliefs and social learning,https://www.sciencedirect.com/science/article/pii/S0047272723000166,21 February 2023,2023,Research Article
