,Unnamed: 0,Title,Url,Time,Year,Type
0,0,A spectral approach to estimate the autocovariance function,https://www.sciencedirect.com/science/article/pii/S037837582200043X,30 May 2022,2022,Research Article
1,1,Properties of increasing odds rate distributions with a statistical application,https://www.sciencedirect.com/science/article/pii/S0378375822000428,27 May 2022,2022,Research Article
2,2,Detecting non-isomorphic orthogonal design,https://www.sciencedirect.com/science/article/pii/S0378375822000416,24 May 2022,2022,Research Article
3,3,"Analysis of odds, probability, and hazard ratios: From 2 by 2 tables to two-sample survival data",https://www.sciencedirect.com/science/article/pii/S0378375822000404,21 May 2022,2022,Research Article
4,4,Preserving projection properties when regular two-level designs are blocked,https://www.sciencedirect.com/science/article/pii/S0378375822000398,16 May 2022,2022,Research Article
5,5,Penalised t-walk MCMC,https://www.sciencedirect.com/science/article/pii/S0378375822000386,12 May 2022,2022,Research Article
6,6,Local polynomial smoothing based on the Kaplan–Meier estimate,https://www.sciencedirect.com/science/article/pii/S0378375822000362,10 May 2022,2022,Research Article
7,7,Using nonregular designs to generate space-filling designs,https://www.sciencedirect.com/science/article/pii/S0378375822000374,8 May 2022,2022,Research Article
8,8,Efficient empirical likelihood inference for recovery rate of COVID19 under double-censoring,https://www.sciencedirect.com/science/article/pii/S0378375822000350,7 May 2022,2022,Research Article
9,9,Outcome-adjusted balance measure for generalized propensity score model selection,https://www.sciencedirect.com/science/article/pii/S0378375822000349,29 April 2022,2022,Research Article
10,10,Choice of smoothing parameter in multivariate copula-based tail coefficients,https://www.sciencedirect.com/science/article/pii/S0378375822000325,22 April 2022,2022,Research Article
11,11,Asymptotic delay times of sequential tests based on ,https://www.sciencedirect.com/science/article/pii/S0378375822000313,19 April 2022,2022,Research Article
12,12,Contraction of a quasi-Bayesian model with shrinkage priors in precision matrix estimation,https://www.sciencedirect.com/science/article/pii/S0378375822000301,14 April 2022,2022,Research Article
13,13,Frequentist model averaging under inequality constraints,https://www.sciencedirect.com/science/article/pii/S0378375822000295,28 March 2022,2022,Research Article
14,14,Approximating the operating characteristics of Bayesian Uncertainty directed trial Designs,https://www.sciencedirect.com/science/article/pii/S0378375822000283,23 March 2022,2022,Research Article
15,15,A bent line Tobit regression model with application to household financial assets,https://www.sciencedirect.com/science/article/pii/S0378375822000209,8 March 2022,2022,Research Article
16,16,A new filtering inference procedure for a GED state-space volatility model,https://www.sciencedirect.com/science/article/pii/S0378375822000210,8 March 2022,2022,Research Article
17,17,Random and quasi-random designs in group testing,https://www.sciencedirect.com/science/article/pii/S0378375822000180,4 March 2022,2022,Research Article
18,18,Optimal designs for some bivariate cokriging models,https://www.sciencedirect.com/science/article/pii/S0378375822000167,25 February 2022,2022,Research Article
19,19,Proximal operator for the sorted ,https://www.sciencedirect.com/science/article/pii/S0378375822000179,25 February 2022,2022,Research Article
20,20,Testing the skewness of skew-normal distribution by Bayes factors,https://www.sciencedirect.com/science/article/pii/S0378375822000143,15 February 2022,2022,Research Article
21,21,Approximate ,https://www.sciencedirect.com/science/article/pii/S0378375822000155,14 February 2022,2022,Research Article
22,22,"Trading information, price discreteness, and volatility estimation",https://www.sciencedirect.com/science/article/pii/S0378375822000118,11 February 2022,2022,Research Article
23,23,Variance estimation and confidence intervals from genome-wide association studies through high-dimensional misspecified mixed model analysis,https://www.sciencedirect.com/science/article/pii/S0378375822000039,25 January 2022,2022,Research Article
24,24,Flexible binomial AR(1) processes using copulas,https://www.sciencedirect.com/science/article/pii/S0378375822000027,17 January 2022,2022,Research Article
25,25,Posterior contraction in group sparse logit models for categorical responses,https://www.sciencedirect.com/science/article/pii/S0378375822000015,11 January 2022,2022,Research Article
26,26,Graph signal denoising using ,https://www.sciencedirect.com/science/article/pii/S037837582100135X,5 January 2022,2022,Research Article
27,27,A note on estimation of ,https://www.sciencedirect.com/science/article/pii/S0378375821001361,4 January 2022,2022,Research Article
28,28,Whittle parameter estimation for vector ARMA models with heavy-tailed noises,https://www.sciencedirect.com/science/article/pii/S0378375821001257,24 December 2021,2021,Research Article
29,29,Adjusted maximum likelihood method for multivariate Fay–Herriot model,https://www.sciencedirect.com/science/article/pii/S0378375821001348,24 December 2021,2021,Research Article
30,30,Weighted empirical minimum distance estimators in linear errors-in-variables regression models,https://www.sciencedirect.com/science/article/pii/S0378375821001312,17 December 2021,2021,Research Article
31,31,Unified statistical inference for a nonlinear dynamic functional/longitudinal data model,https://www.sciencedirect.com/science/article/pii/S0378375821001336,17 December 2021,2021,Research Article
32,32,Goodness-of-fit tests for Markov Switching VAR models using spectral analysis,https://www.sciencedirect.com/science/article/pii/S0378375821001324,17 December 2021,2021,Research Article
33,33,Saturated and supersaturated order-of-addition designs,https://www.sciencedirect.com/science/article/pii/S0378375821001300,17 December 2021,2021,Research Article
34,34,A likelihood-ratio type test for stochastic block models with bounded degrees,https://www.sciencedirect.com/science/article/pii/S0378375821001294,17 December 2021,2021,Research Article
35,35,Temporal aggregation and systematic sampling for INGARCH processes,https://www.sciencedirect.com/science/article/pii/S0378375821001270,14 December 2021,2021,Research Article
36,36,Optimal designs for mean–covariance models with missing observations,https://www.sciencedirect.com/science/article/pii/S0378375821001282,14 December 2021,2021,Research Article
37,37,Testing hypotheses about covariance matrices in general MANOVA designs,https://www.sciencedirect.com/science/article/pii/S0378375821001269,11 December 2021,2021,Research Article
38,38,Optimal rerandomization designs via a criterion that provides insurance against failed experiments,https://www.sciencedirect.com/science/article/pii/S0378375821001130,1 December 2021,2021,Research Article
39,39,A systematic construction of compromise designs under baseline parameterization,https://www.sciencedirect.com/science/article/pii/S0378375821001129,26 November 2021,2021,Research Article
40,40,A monotone frequentist measure of evidence for testing variance components in linear mixed models,https://www.sciencedirect.com/science/article/pii/S0378375821001105,25 November 2021,2021,Research Article
41,41,An adaptive group LASSO approach for domain selection in functional generalized linear models,https://www.sciencedirect.com/science/article/pii/S0378375821001117,25 November 2021,2021,Research Article
42,42,Bayesian nonparametric tests for multivariate locations,https://www.sciencedirect.com/science/article/pii/S0378375821001075,15 November 2021,2021,Research Article
43,43,Properties of Fisher information gain for Bayesian design of experiments,https://www.sciencedirect.com/science/article/pii/S0378375821001087,4 November 2021,2021,Research Article
44,44,Correcting for linkage errors in contingency tables—A cautionary tale,https://www.sciencedirect.com/science/article/pii/S0378375821001063,26 October 2021,2021,Research Article
45,45,Gibbs posterior inference on multivariate quantiles,https://www.sciencedirect.com/science/article/pii/S0378375821001051,21 October 2021,2021,Research Article
46,46,Two-sample functional linear models with functional responses,https://www.sciencedirect.com/science/article/pii/S0378375821001038,12 October 2021,2021,Research Article
47,47,Analytical approach for designing accelerated degradation tests under an exponential dispersion model,https://www.sciencedirect.com/science/article/pii/S037837582100104X,12 October 2021,2021,Research Article
48,48,Sliced symmetrical Latin hypercube designs,https://www.sciencedirect.com/science/article/pii/S0378375821000963,7 October 2021,2021,Research Article
49,49,Portmanteau-type test for unit root with heavy-tailed noise,https://www.sciencedirect.com/science/article/pii/S0378375821000951,27 September 2021,2021,Research Article
50,50,D-optimal augmented designs and the existence of tight orthogonal arrays with high strength,https://www.sciencedirect.com/science/article/pii/S0378375821000926,20 September 2021,2021,Research Article
51,51,Adaptive testing method for ergodic diffusion processes based on high frequency data,https://www.sciencedirect.com/science/article/pii/S0378375821000914,3 September 2021,2021,Research Article
52,52,Optimal model averaging estimator for expectile regressions,https://www.sciencedirect.com/science/article/pii/S0378375821000902,26 August 2021,2021,Research Article
