,Unnamed: 0,Title,Url,Time,Year,Type
0,0,JUE Insight: The Effect of Relaxing Local Housing Market Regulations on Federal Rental Assistance Programs,https://www.sciencedirect.com/science/article/pii/S0094119023000414,Available online 7 June 2023,2023,Research Article
1,1,How do subnational governments react to shocks to different revenue sources? Evidence from hydrocarbon-producing provinces in Argentina,https://www.sciencedirect.com/science/article/pii/S009411902300027X,6 June 2023,2023,Research Article
2,2,JUE insight: The role of establishment size in the city-size earnings premium,https://www.sciencedirect.com/science/article/pii/S0094119023000256,Available online 1 June 2023,2023,Research Article
3,3,The impact of upzoning on housing construction in Auckland,https://www.sciencedirect.com/science/article/pii/S0094119023000244,31 May 2023,2023,Research Article
4,4,The size and Census coverage of the U.S. homeless population,https://www.sciencedirect.com/science/article/pii/S0094119023000281,26 May 2023,2023,Research Article
5,5,JUE Insight: The impact of the school admission restriction policy on the housing market in Shanghai,https://www.sciencedirect.com/science/article/pii/S0094119023000372,Available online 25 May 2023,2023,Research Article
6,6,The impact of return migration on employment and wages in Mexican cities,https://www.sciencedirect.com/science/article/pii/S0094119023000268,2 May 2023,2023,Research Article
7,7,JUE Insight: White flight from Asian immigration: Evidence from California Public Schools,https://www.sciencedirect.com/science/article/pii/S0094119023000104,Available online 24 March 2023,2023,Research Article
8,8,"The Problem Has Existed over Endless Years: Racialized Difference in Commuting, 1980–2019",https://www.sciencedirect.com/science/article/pii/S0094119023000116,Available online 22 March 2023,2023,Research Article
9,9,The impact of minimum income on homelessness: Evidence from France,https://www.sciencedirect.com/science/article/pii/S0094119023000165,16 March 2023,2023,Research Article
10,10,The COVID-19 pandemic and unemployment: Evidence from mobile phone data from China,https://www.sciencedirect.com/science/article/pii/S0094119023000128,7 March 2023,2023,Research Article
11,11,Monitoring Police with Body-Worn Cameras: Evidence from Chicago,https://www.sciencedirect.com/science/article/pii/S0094119023000086,Available online 20 February 2023,2023,Research Article
12,12,Public housing spillovers: Evidence from South Africa,https://www.sciencedirect.com/science/article/pii/S0094119022001036,30 January 2023,2023,Research Article
13,13,Crime risk and housing values: Evidence from the gun offender registry,https://www.sciencedirect.com/science/article/pii/S0094119022001024,17 January 2023,2023,Research Article
14,14,In the eye of the storm: Firms and capital destruction in India,https://www.sciencedirect.com/science/article/pii/S009411902200105X,13 January 2023,2023,Research Article
15,15,In remembrance Edwin S. Mills (1928-2021),https://www.sciencedirect.com/science/article/pii/S0094119022001073,January 2023,2023,Research Article
16,16,"JUE Insight: Making it home? Evidence on the long-run impact of an intensive support program for the chronically homeless on housing, employment and health",https://www.sciencedirect.com/science/article/pii/S0094119022000870,21 January 2023,2023,Research Article
17,17,The effect of tax increment financing districts on job creation in Chicago,https://www.sciencedirect.com/science/article/pii/S0094119022000869,30 December 2022,2022,Research Article
18,18,JUE Insight: Condominium development does not lead to gentrification,https://www.sciencedirect.com/science/article/pii/S0094119022001000,29 December 2022,2022,Research Article
19,19,Local public finance dynamics and hurricane shocks,https://www.sciencedirect.com/science/article/pii/S0094119022000924,28 December 2022,2022,Research Article
20,20,The Effect of Racial Composition on Neighborhood Housing Prices: Evidence from Hurricane Katrina-Induced Migration,https://www.sciencedirect.com/science/article/pii/S0094119022000912,16 December 2022,2022,Research Article
21,21,"Rent Control, Market Segmentation, and Misallocation: Causal Evidence from a Large-Scale Policy Intervention",https://www.sciencedirect.com/science/article/pii/S0094119022000894,15 December 2022,2022,Research Article
22,22,Delivery in the city: Differentiated products competition among New York restaurants,https://www.sciencedirect.com/science/article/pii/S0094119022000857,8 December 2022,2022,Research Article
23,23,Did DACA Harm US-Born Workers? Temporary Work Visas and Labor Market Competition,https://www.sciencedirect.com/science/article/pii/S0094119022000882,5 December 2022,2022,Research Article
24,24,JUE Insight: Difference-in-differences with geocoded microdata,https://www.sciencedirect.com/science/article/pii/S0094119022000705,6 August 2022,2022,Research Article
25,25,JUE Insight: Using the mode to test for selection in city size wage premia,https://www.sciencedirect.com/science/article/pii/S0094119022000687,2 August 2022,2022,Research Article
26,26,JUE Insight: COVID-19 and household preference for urban density in China,https://www.sciencedirect.com/science/article/pii/S009411902200064X,19 July 2022,2022,Research Article
27,27,JUE Insight: Powering work from home,https://www.sciencedirect.com/science/article/pii/S0094119022000511,10 July 2022,2022,Research Article
29,29,JUE Insight: Measuring the Stringency of Land Use Regulation Using a Shadow Price Approach,https://www.sciencedirect.com/science/article/pii/S0094119022000389,10 May 2022,2022,Research Article
31,31,JUE Insight: The (non-)effect of opportunity zones on housing prices,https://www.sciencedirect.com/science/article/pii/S0094119022000286,1 April 2022,2022,Research Article
32,32,Special Issue of JUE Insight Papers: Introduction,https://www.sciencedirect.com/science/article/pii/S0094119022001061,January 2023,2023,Research Article
34,34,JUE Insight: The Impacts of Opportunity Zones on Zone Residents,https://www.sciencedirect.com/science/article/pii/S0094119021000899,31 October 2021,2021,Research Article
