,Unnamed: 0,Title,Url,Time,Year,Type
0,0,"Frailty and socioeconomic stratification in Brazil, India, and China",https://www.sciencedirect.com/science/article/pii/S2212828X23000178,15 April 2023,2023,Research Article
1,1,Does financial education affect retirement savings?,https://www.sciencedirect.com/science/article/pii/S2212828X23000063,13 February 2023,2023,Research Article
2,2,The impact of social security wealth on the distribution of wealth in the European Union,https://www.sciencedirect.com/science/article/pii/S2212828X23000051,3 February 2023,2023,Research Article
3,3,"Aging workforce, wages, and productivity: Do older workers drag productivity down in Korea?",https://www.sciencedirect.com/science/article/pii/S2212828X2300004X,21 January 2023,2023,Research Article
4,4,Determinants of early-access to retirement savings: Lessons from the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S2212828X23000014,12 January 2023,2023,Research Article
5,5,Time to change? Promoting mobility at older ages to support longer working lives,https://www.sciencedirect.com/science/article/pii/S2212828X2200069X,16 December 2022,2022,Research Article
6,6,Working longer and population aging in the U.S.: Why delayed retirement isn’t a practical solution for many,https://www.sciencedirect.com/science/article/pii/S2212828X22000706,15 December 2022,2022,Research Article
7,7,"Age, longevity, and preferences",https://www.sciencedirect.com/science/article/pii/S2212828X22000597,5 December 2022,2022,Research Article
8,8,"The Global Roadmap for Healthy Longevity: United States of America National Academy of Medicine Consensus Study Report, 2022",https://www.sciencedirect.com/science/article/pii/S2212828X22000536,2 November 2022,2022,Research Article
9,9,Demand for older workers: What do we know? What do we need to learn?,https://www.sciencedirect.com/science/article/pii/S2212828X22000469,17 October 2022,2022,Research Article
12,12,COVID-19 and attitudes towards early withdrawal of pension funds: The role of trust and political ideology,https://www.sciencedirect.com/science/article/pii/S2212828X22000524,October 2022,2022,Research Article
13,13,Medical progress and life cycle choices,https://www.sciencedirect.com/science/article/pii/S2212828X22000470,17 October 2022,2022,Research Article
14,14,Population aging and house prices: Who are we calling old?,https://www.sciencedirect.com/science/article/pii/S2212828X22000494,19 October 2022,2022,Research Article
15,15,Projections to 2025 of the household sector within the Dutch economy,https://www.sciencedirect.com/science/article/pii/S2212828X22000548,25 October 2022,2022,Research Article
16,16,Does free health insurance improve health care use and labour market outcomes of the elderly in Ghana?,https://www.sciencedirect.com/science/article/pii/S2212828X22000500,17 October 2022,2022,Research Article
17,17,Demographics and other constraints on future monetary policy,https://www.sciencedirect.com/science/article/pii/S2212828X22000561,October 2022,2022,Research Article
18,18,The Economic and Health Effects of Long-Term Care Insurance: New Evidence from Korea,https://www.sciencedirect.com/science/article/pii/S2212828X22000445,19 September 2022,2022,Research Article
19,19,Long-term services and supports and disease management among older Chinese adults in different stages of cognitive impairment,https://www.sciencedirect.com/science/article/pii/S2212828X22000378,8 August 2022,2022,Research Article
20,20,The effects of an increase in the retirement age on health — Evidence from administrative data,https://www.sciencedirect.com/science/article/pii/S2212828X22000354,1 August 2022,2022,Research Article
21,21,Retirement and the distribution of intra-household wellbeing,https://www.sciencedirect.com/science/article/pii/S2212828X22000366,29 July 2022,2022,Research Article
22,22,The effect of unemployment on care provision,https://www.sciencedirect.com/science/article/pii/S2212828X22000287,6 July 2022,2022,Research Article
23,23,Next to kin: How children influence the residential mobility decisions of older adults,https://www.sciencedirect.com/science/article/pii/S2212828X22000275,30 June 2022,2022,Research Article
24,24,"Private health insurance, healthcare spending and utilization among older adults: Results from the Brazilian Longitudinal Study of Aging",https://www.sciencedirect.com/science/article/pii/S2212828X22000305,24 June 2022,2022,Research Article
25,25,Pension information and women’s awareness,https://www.sciencedirect.com/science/article/pii/S2212828X22000299,24 June 2022,2022,Research Article
26,26,Early retirement of employees in demanding jobs: Evidence from a German pension reform,https://www.sciencedirect.com/science/article/pii/S2212828X22000202,13 May 2022,2022,Research Article
27,27,Opportunity costs of unpaid caregiving: Evidence from panel time diaries,https://www.sciencedirect.com/science/article/pii/S2212828X22000196,4 May 2022,2022,Research Article
28,28,Health improvements impact income inequality,https://www.sciencedirect.com/science/article/pii/S2212828X22000184,26 April 2022,2022,Research Article
29,29,Pathways to Retirement Among Dual Earning Couples,https://www.sciencedirect.com/science/article/pii/S2212828X22000172,8 April 2022,2022,Research Article
30,30,Longer parental time and lower fertility rate,https://www.sciencedirect.com/science/article/pii/S2212828X22000159,26 March 2022,2022,Research Article
31,31,"Health, loneliness and the ageing process in the absence of cardinal measure: Rendering intangibles tangible",https://www.sciencedirect.com/science/article/pii/S2212828X22000020,8 February 2022,2022,Research Article
32,32,Do stronger employment discrimination protections decrease reliance on Social Security Disability Insurance? Evidence from the U.S. Social Security reforms,https://www.sciencedirect.com/science/article/pii/S2212828X22000032,22 January 2022,2022,Research Article
33,33,Alcohol consumption as a predictor of mortality and life expectancy: Evidence from older Chinese males,https://www.sciencedirect.com/science/article/pii/S2212828X22000019,21 January 2022,2022,Research Article
34,34,The relationship between age and subjective well-being: Estimating within and between effects simultaneously,https://www.sciencedirect.com/science/article/pii/S2212828X21000591,10 January 2022,2022,Research Article
35,35,The effect of social pension on consumption among older adults in Korea,https://www.sciencedirect.com/science/article/pii/S2212828X21000578,10 January 2022,2022,Research Article
36,36,Monetary cost estimation of care for functionally dependent older adults in Mexico,https://www.sciencedirect.com/science/article/pii/S2212828X2100058X,16 December 2021,2021,Research Article
37,37,Beware of the employer: Financial incentives for employees may fail to prolong old-age employment,https://www.sciencedirect.com/science/article/pii/S2212828X21000566,7 December 2021,2021,Research Article
38,38,The relationship of financial stress with the timing of the initial claim of U.S. Social Security retirement income,https://www.sciencedirect.com/science/article/pii/S2212828X21000554,3 December 2021,2021,Research Article
39,39,Dynamics of health and labor income in Korea,https://www.sciencedirect.com/science/article/pii/S2212828X2100044X,9 October 2021,2021,Research Article
41,41,"Interview with Liashko Viktor, Ukrainian Minister of Health",https://www.sciencedirect.com/science/article/pii/S2212828X22000391,19 August 2022,2022,Research Article
44,44,The nature and extent of demographic dividend in West Africa: National transfer account approach,https://www.sciencedirect.com/science/article/pii/S2212828X21000426,21 September 2021,2021,Research Article
45,45,Evolution of inequalities in health care use among older people in Brazil: Evidence for the period 1998–2019,https://www.sciencedirect.com/science/article/pii/S2212828X21000402,20 September 2021,2021,Research Article
46,46,Excess costs of dementia in old age (85+) in Germany: Results from the AgeCoDe-AgeQualiDe study,https://www.sciencedirect.com/science/article/pii/S2212828X21000396,7 September 2021,2021,Research Article
47,47,Population ageing and income inequality,https://www.sciencedirect.com/science/article/pii/S2212828X21000384,23 August 2021,2021,Research Article
48,48,"Fertility, Imperfect Labor Market, and Notional Defined Contribution Pension",https://www.sciencedirect.com/science/article/pii/S2212828X21000372,13 August 2021,2021,Research Article
49,49,Playing dead pool against the contributions system,https://www.sciencedirect.com/science/article/pii/S2212828X21000359,27 July 2021,2021,Research Article
50,50,Effect of immigration on depression among older natives in Western Europe,https://www.sciencedirect.com/science/article/pii/S2212828X21000347,5 July 2021,2021,Research Article
51,51,The effects of population aging on South Korea’s economy: The National Transfer Accounts approach,https://www.sciencedirect.com/science/article/pii/S2212828X21000335,26 June 2021,2021,Research Article
52,52,The limited power of socioeconomic status to predict lifespan: Implications for pension policy,https://www.sciencedirect.com/science/article/pii/S2212828X21000323,24 June 2021,2021,Research Article
53,53,"Intra-familial transfers, son preference, and retirement behavior in South Korea",https://www.sciencedirect.com/science/article/pii/S2212828X21000311,21 June 2021,2021,Research Article
54,54,The economic burden of COVID-19 in the United States: Estimates and projections under an infection-based herd immunity approach,https://www.sciencedirect.com/science/article/pii/S2212828X21000219,29 May 2021,2021,Research Article
55,55,Objective and subjective memory: Impact on the financial behavior of older adults in the United States,https://www.sciencedirect.com/science/article/pii/S2212828X21000207,24 May 2021,2021,Research Article
56,56,The long term impact of Chilean policy reforms on savings and pensions,https://www.sciencedirect.com/science/article/pii/S2212828X21000190,3 April 2021,2021,Research Article
57,57,Temps dip deeper: Temporary employment and the midlife nadir in human well-being,https://www.sciencedirect.com/science/article/pii/S2212828X21000177,3 April 2021,2021,Research Article
58,58,"A dynamic behavioral model of Korean saving, work, and benefit claiming decisions",https://www.sciencedirect.com/science/article/pii/S2212828X21000153,27 March 2021,2021,Research Article
59,59,Political violence and household savings: Evidence from the long-term effects of the Cultural Revolution,https://www.sciencedirect.com/science/article/pii/S2212828X21000141,27 March 2021,2021,Research Article
60,60,A longitudinal perspective on inter vivos transfers between children and their parents in need of long-term care,https://www.sciencedirect.com/science/article/pii/S2212828X21000189,23 March 2021,2021,Research Article
61,61,Self-selection in physical and mental health among older intra-European migrants,https://www.sciencedirect.com/science/article/pii/S2212828X21000165,21 March 2021,2021,Research Article
62,62,Big data at work: Age and labor productivity in the service sector,https://www.sciencedirect.com/science/article/pii/S2212828X2100013X,15 March 2021,2021,Research Article
63,63,The impact of cash transfers on child outcomes in rural Thailand: Evidence from a social pension reform,https://www.sciencedirect.com/science/article/pii/S2212828X21000050,20 February 2021,2021,Research Article
64,64,Later retirement and the labor market re-integration of elderly unemployed workers,https://www.sciencedirect.com/science/article/pii/S2212828X21000049,13 February 2021,2021,Research Article
65,65,Informal caregiving and work: A high price to pay. The case of Baltic States,https://www.sciencedirect.com/science/article/pii/S2212828X21000128,13 February 2021,2021,Research Article
66,66,Why is ageing associated with lower adoption of new technologies? Evidence from voluntary medical male circumcision and a structural model,https://www.sciencedirect.com/science/article/pii/S2212828X21000025,2 February 2021,2021,Research Article
67,67,Do living arrangements matter?—Evidence from eating behaviors of the elderly in rural China,https://www.sciencedirect.com/science/article/pii/S2212828X21000013,23 January 2021,2021,Research Article
68,68,Lifetime employment–coresidential trajectories and extended working life in Chile,https://www.sciencedirect.com/science/article/pii/S2212828X21000037,15 January 2021,2021,Research Article
69,69,Are pilot experiments random? Social connections and policy expansion in China,https://www.sciencedirect.com/science/article/pii/S2212828X20300700,16 December 2020,2020,Research Article
70,70,The evolution of labor force participation and the expected length of retirement in Brazil,https://www.sciencedirect.com/science/article/pii/S2212828X20300694,16 December 2020,2020,Research Article
71,71,"Aging, education and intergenerational flows in Uruguay",https://www.sciencedirect.com/science/article/pii/S2212828X20300712,7 December 2020,2020,Research Article
72,72,Long-run health trends in Europe,https://www.sciencedirect.com/science/article/pii/S2212828X20300682,1 December 2020,2020,Research Article
73,73,The HRS around the world surveys—A review,https://www.sciencedirect.com/science/article/pii/S2212828X20300608,8 November 2020,2020,Research Article
74,74,Health insurance and poverty of the older population in the United States: The importance of a health inclusive poverty measure,https://www.sciencedirect.com/science/article/pii/S2212828X20300621,28 October 2020,2020,Research Article
75,75,What are the effects of expanding social pension on health? Evidence from the Basic Pension in South Korea,https://www.sciencedirect.com/science/article/pii/S2212828X20300529,3 October 2020,2020,Research Article
76,76,Trust and retirement preparedness: Evidence from Singapore,https://www.sciencedirect.com/science/article/pii/S2212828X20300487,21 September 2020,2020,Research Article
80,80,Social security and retirement in fast-aging middle-income countries: Evidence from Korea,https://www.sciencedirect.com/science/article/pii/S2212828X20300499,28 September 2020,2020,Research Article
81,81,The impact of population aging on business cycles volatility: International evidence,https://www.sciencedirect.com/science/article/pii/S2212828X20300505,18 September 2020,2020,Research Article
82,82,Does unemployment benefit duration affect inflows into unemployment? The impact of a law change for older workers,https://www.sciencedirect.com/science/article/pii/S2212828X20300438,18 July 2020,2020,Research Article
83,83,Early life conditions and financial risk-taking in older age,https://www.sciencedirect.com/science/article/pii/S2212828X20300311,18 July 2020,2020,Research Article
84,84,Are homeownership patterns stable enough to tap home equity?,https://www.sciencedirect.com/science/article/pii/S2212828X20300426,15 July 2020,2020,Research Article
85,85,Estimating the income inequality-health relationship for the United States between 1941 and 2015: Will the relevant frequencies please stand up?,https://www.sciencedirect.com/science/article/pii/S2212828X20300402,8 July 2020,2020,Research Article
86,86,Consumption- and productivity-adjusted dependency ratio with household structure heterogeneity in China,https://www.sciencedirect.com/science/article/pii/S2212828X20300414,5 July 2020,2020,Research Article
87,87,Retirement and health investment behaviors: An international comparison,https://www.sciencedirect.com/science/article/pii/S2212828X20300323,June 2020,2020,Research Article
88,88,How does paid family leave affect unpaid care providers?,https://www.sciencedirect.com/science/article/pii/S2212828X2030030X,30 May 2020,2020,Research Article
89,89,Internet use and cognition among middle-aged and older adults in China: A cross-lagged panel analysis,https://www.sciencedirect.com/science/article/pii/S2212828X2030027X,12 May 2020,2020,Research Article
90,90,Building on a pension: Second pillar wealth as a way to finance real estate?,https://www.sciencedirect.com/science/article/pii/S2212828X20300268,4 May 2020,2020,Research Article
91,91,Redistributive effects of different pension systems when longevity varies by socioeconomic status,https://www.sciencedirect.com/science/article/pii/S2212828X20300244,28 April 2020,2020,Research Article
92,92,Population Aging and Public Finances: Evidence from El Salvador,https://www.sciencedirect.com/science/article/pii/S2212828X20300256,23 April 2020,2020,Research Article
93,93,"Gender differences in widowhood in the short-run and long-run: Financial, emotional, and mental wellbeing",https://www.sciencedirect.com/science/article/pii/S2212828X20300232,18 April 2020,2020,Research Article
94,94,Investment in social capital by the Korean elderly and baby-boomers,https://www.sciencedirect.com/science/article/pii/S2212828X20300219,15 April 2020,2020,Research Article
95,95,The influence of old-age retirement on health: Causal evidence from the Finnish register data,https://www.sciencedirect.com/science/article/pii/S2212828X20300220,11 April 2020,2020,Research Article
96,96,"Health, work, and income among middle-aged and older adults: A panel analysis for China",https://www.sciencedirect.com/science/article/pii/S2212828X20300207,8 April 2020,2020,Research Article
97,97,Gone with the windfall – Germany's ,https://www.sciencedirect.com/science/article/pii/S2212828X20300190,14 February 2020,2020,Research Article
98,98,"Tenure choice, portfolio structure and long-term care – Optimal risk management in retirement",https://www.sciencedirect.com/science/article/pii/S2212828X20300050,31 January 2020,2020,Research Article
99,99,How do subjective life expectancies compare with mortality tables? Similarities and differences in three national samples,https://www.sciencedirect.com/science/article/pii/S2212828X20300062,25 January 2020,2020,Research Article
100,100,Willingness to pay for long-term home care services: Evidence from a stated preferences analysis,https://www.sciencedirect.com/science/article/pii/S2212828X20300037,20 January 2020,2020,Research Article
101,101,Health inequality among Chinese older adults: The role of childhood circumstances,https://www.sciencedirect.com/science/article/pii/S2212828X20300025,16 January 2020,2020,Research Article
102,102,Social security expansion and neighborhood cohesion: Evidence from community-living older adults in China,https://www.sciencedirect.com/science/article/pii/S2212828X19301227,24 December 2019,2019,Research Article
103,103,Leaving money on the table? Suboptimal enrollment in the new social pension program in China,https://www.sciencedirect.com/science/article/pii/S2212828X19301203,20 December 2019,2019,Research Article
104,104,The gender dimension of intergenerational transfers in Europe,https://www.sciencedirect.com/science/article/pii/S2212828X19301215,14 December 2019,2019,Research Article
105,105,Gender differences in cognitive function among older Mexican immigrants,https://www.sciencedirect.com/science/article/pii/S2212828X19301136,7 November 2019,2019,Research Article
106,106,"Working hours mismatch, job strain and mental health among mature age workers in Australia",https://www.sciencedirect.com/science/article/pii/S2212828X19301148,2 November 2019,2019,Research Article
107,107,Age of managers and employees – Firm survival,https://www.sciencedirect.com/science/article/pii/S2212828X19301021,25 October 2019,2019,Research Article
108,108,Two decades of the complementary leisure effect in Spain,https://www.sciencedirect.com/science/article/pii/S2212828X19301033,22 October 2019,2019,Research Article
109,109,The economic consequences of hospitalizations for older workers across countries,https://www.sciencedirect.com/science/article/pii/S2212828X19301008,12 October 2019,2019,Research Article
110,110,Protecting the elderly and children in times of crisis: An analysis based on National Transfer Accounts,https://www.sciencedirect.com/science/article/pii/S2212828X19300957,10 October 2019,2019,Research Article
