,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Domestic and international effects of economic policy uncertainty on corporate investment and strategic cash holdings: Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S0889158323000278,18 May 2023,2023,Research Article
1,1,Aging and the real interest rate in Japan: A labor market channel,https://www.sciencedirect.com/science/article/pii/S0889158323000175,25 April 2023,2023,Research Article
2,2,Assessing carbon emissions embodied in international trade based on shared responsibility,https://www.sciencedirect.com/science/article/pii/S0889158323000151,4 April 2023,2023,Research Article
3,3,Fiscal capacity and commercial bank lending under COVID-19,https://www.sciencedirect.com/science/article/pii/S0889158323000163,31 March 2023,2023,Research Article
4,4,Debt issuance incentives and creative accounting: Evidence from municipal mergers in Japan,https://www.sciencedirect.com/science/article/pii/S088915832300014X,23 March 2023,2023,Research Article
5,5,The impact of the COVID-19 pandemic on global GDP growth,https://www.sciencedirect.com/science/article/pii/S0889158323000138,22 March 2023,2023,Research Article
6,6,COVID-19 and the employment gender gap in Japan,https://www.sciencedirect.com/science/article/pii/S0889158323000114,9 March 2023,2023,Research Article
7,7,Does inheritance taxation reform promote to build inexpensive rental housing?,https://www.sciencedirect.com/science/article/pii/S0889158323000102,19 February 2023,2023,Research Article
8,8,Cross-country evidence on the allocation of COVID-19 government subsidies and consequences for productivity,https://www.sciencedirect.com/science/article/pii/S0889158323000011,22 January 2023,2023,Research Article
9,9,How the new fed municipal bond facility capped municipal-treasury yield spreads in the Covid-19 recession,https://www.sciencedirect.com/science/article/pii/S0889158322000545,24 December 2022,2022,Research Article
10,10,Do the self-employed underreport their income? Evidence from Japanese panel data,https://www.sciencedirect.com/science/article/pii/S0889158322000533,17 December 2022,2022,Research Article
11,11,Competition in the Chinese market: Foreign firms and markups,https://www.sciencedirect.com/science/article/pii/S0889158322000521,12 December 2022,2022,Research Article
12,12,Labor market concentration and heterogeneous effects on wages: Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S088915832200051X,12 December 2022,2022,Research Article
13,13,Determinants and effects of the use of COVID-19 business support programs in Japan,https://www.sciencedirect.com/science/article/pii/S088915832200048X,1 December 2022,2022,Research Article
14,14,The effects of credit lines on cash holdings and capital investment: Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S0889158322000508,26 November 2022,2022,Research Article
17,17,Impacts of firm's GVC participation on productivity: A case of Japanese firms,https://www.sciencedirect.com/science/article/pii/S0889158322000417,26 October 2022,2022,Research Article
18,18,The effect of aging on the age–wage profile in Japan,https://www.sciencedirect.com/science/article/pii/S0889158322000399,13 September 2022,2022,Research Article
19,19,Can child benefit reductions increase maternal employment? Evidence from Japan,https://www.sciencedirect.com/science/article/pii/S0889158322000405,13 September 2022,2022,Research Article
20,20,Bank–firm relationship and loan maturity: Evidence from Japanese SMEs,https://www.sciencedirect.com/science/article/pii/S0889158322000387,15 August 2022,2022,Research Article
21,21,Quantifying the impact of the Tokyo Olympics on COVID-19 cases using synthetic control methods,https://www.sciencedirect.com/science/article/pii/S0889158322000375,15 August 2022,2022,Research Article
22,22,Decreasing wage returns to human capital: Analysis of wage and job experience using micro data of workers,https://www.sciencedirect.com/science/article/pii/S0889158322000260,3 August 2022,2022,Research Article
