,Unnamed: 0,Title,Url,Time,Year,Type
0,0,When to seek expert advice? A simple model of borrowers with limited liability,https://www.sciencedirect.com/science/article/pii/S0165489623000483,Available online 20 May 2023,2023,Research Article
1,1,Optimal tariffs with endogenous vertical structure: Uniform versus discriminatory tariffs,https://www.sciencedirect.com/science/article/pii/S0165489623000392,9 May 2023,2023,Research Article
2,2,Targeted advertising with R&D rivalry,https://www.sciencedirect.com/science/article/pii/S0165489623000380,5 May 2023,2023,Research Article
3,3,Capital-augmenting technical change in the context of untapped automation opportunities,https://www.sciencedirect.com/science/article/pii/S0165489623000355,7 April 2023,2023,Research Article
4,4,Agglomeration and welfare of the Krugman model in a continuous space,https://www.sciencedirect.com/science/article/pii/S0165489623000367,5 April 2023,2023,Research Article
5,5,Sharing a collective probability of success,https://www.sciencedirect.com/science/article/pii/S0165489623000343,29 March 2023,2023,Research Article
6,6,When ties are possible: Weak Condorcet winners and Arrovian rationality,https://www.sciencedirect.com/science/article/pii/S016548962300032X,27 March 2023,2023,Research Article
7,7,Social influence: The ,https://www.sciencedirect.com/science/article/pii/S0165489623000318,21 March 2023,2023,Research Article
8,8,Intertemporal equilibrium with physical capital and financial asset: Role of dividend taxation,https://www.sciencedirect.com/science/article/pii/S0165489623000240,11 March 2023,2023,Research Article
9,9,"Market-dependent preferences, positive and negative network effects and welfare",https://www.sciencedirect.com/science/article/pii/S0165489623000185,5 March 2023,2023,Research Article
10,10,Confirmation bias in social networks,https://www.sciencedirect.com/science/article/pii/S0165489623000203,2 March 2023,2023,Research Article
11,11,The price of independence in a model with unknown dependence,https://www.sciencedirect.com/science/article/pii/S0165489623000215,2 March 2023,2023,Research Article
12,12,Cryptocurrency is accounting coordination: Selfish mining and double spending in a simple mining game,https://www.sciencedirect.com/science/article/pii/S0165489623000173,26 February 2023,2023,Research Article
13,13,Existence and stability results on the unilateral support equilibrium,https://www.sciencedirect.com/science/article/pii/S0165489623000197,24 February 2023,2023,Research Article
14,14,Favouritism and corruption in procurement auctions,https://www.sciencedirect.com/science/article/pii/S0165489623000161,20 February 2023,2023,Research Article
