,Unnamed: 0,Title,Url,Time,Year,Type
0,0,"Fintech, strategic incentives and investment to human capital and MSEs innovation – Empirical evidence from China",https://www.sciencedirect.com/science/article/pii/S1062940823000864,Available online 10 June 2023,2023,Research Article
1,1,Which liquidity indicator is more informative to market volatility? Spectrum analysis of China’s base metal futures market,https://www.sciencedirect.com/science/article/pii/S1062940823000852,7 June 2023,2023,Research Article
2,2,Optimal reinsurance-investment game for two insurers with SAHARA utilities under correlated markets,https://www.sciencedirect.com/science/article/pii/S1062940823000724,6 June 2023,2023,Research Article
3,3,Does foreign equity investment impact the spillover effect of industries in China?,https://www.sciencedirect.com/science/article/pii/S1062940823000785,1 June 2023,2023,Research Article
4,4,Geopolitical risk and firm value: Evidence from emerging markets,https://www.sciencedirect.com/science/article/pii/S1062940823000748,27 May 2023,2023,Research Article
5,5,How do the dual effects of financial development change the transmission of monetary policy? – Evidence from China,https://www.sciencedirect.com/science/article/pii/S106294082300075X,27 May 2023,2023,Research Article
6,6,Investor sentiment and stock price jumps: A network analysis based on China’s carbon–neutral sectors,https://www.sciencedirect.com/science/article/pii/S1062940823000773,26 May 2023,2023,Research Article
7,7,"Dynamic relations between housing Markets, stock Markets, and uncertainty in global Cities: A Time-Frequency approach",https://www.sciencedirect.com/science/article/pii/S1062940823000736,24 May 2023,2023,Research Article
8,8,Min–max multi-step barrier options and their variants,https://www.sciencedirect.com/science/article/pii/S1062940823000670,24 May 2023,2023,Research Article
9,9,Geopolitical risks and investor sentiment: Causality and TVP-VAR analysis,https://www.sciencedirect.com/science/article/pii/S1062940823000700,20 May 2023,2023,Research Article
10,10,Volatility forecasting in the Bitcoin market: A new proposed measure based on the VS-ACARR approach,https://www.sciencedirect.com/science/article/pii/S1062940823000712,20 May 2023,2023,Research Article
11,11,The effect of interconnectivity on stock returns during the Global Financial Crisis,https://www.sciencedirect.com/science/article/pii/S1062940823000633,17 May 2023,2023,Research Article
12,12,"Animal Behavior in Capital markets: Herding formation dynamics, trading volume, and the role of COVID-19 pandemic",https://www.sciencedirect.com/science/article/pii/S1062940823000694,16 May 2023,2023,Research Article
13,13,Coordination and non-coordination risks of monetary and macroprudential authorities: A robust welfare analysis,https://www.sciencedirect.com/science/article/pii/S1062940823000451,16 May 2023,2023,Research Article
14,14,Forecasting VIX using two-component realized EGARCH model,https://www.sciencedirect.com/science/article/pii/S1062940823000578,12 May 2023,2023,Research Article
15,15,Time-frequency co-movement and network connectedness between green bond and financial asset markets: Evidence from multiscale TVP-VAR analysis,https://www.sciencedirect.com/science/article/pii/S1062940823000682,11 May 2023,2023,Research Article
16,16,Peer effect on dividends and return comovement,https://www.sciencedirect.com/science/article/pii/S1062940823000657,6 May 2023,2023,Research Article
17,17,Effects of macroeconomic factors on stock prices for BRICS using the variational mode decomposition and quantile method,https://www.sciencedirect.com/science/article/pii/S1062940823000621,6 May 2023,2023,Research Article
18,18,Dynamic interaction of risk–return trade-offs between oil market and China’s stock market: An analysis from the risk preferences perspective,https://www.sciencedirect.com/science/article/pii/S1062940823000645,4 May 2023,2023,Research Article
19,19,"Who speaks louder, financial instruments or credit rating agencies? Analyzing the effects of different sovereign risk measures on interest rates in Brazil",https://www.sciencedirect.com/science/article/pii/S1062940823000566,4 May 2023,2023,Research Article
20,20,Robust optimal reinsurance–investment for ,https://www.sciencedirect.com/science/article/pii/S106294082300044X,2 May 2023,2023,Research Article
21,21,Cross-industry asset allocation with the spatial interaction on multiple risk transmission channels,https://www.sciencedirect.com/science/article/pii/S106294082300058X,26 April 2023,2023,Research Article
22,22,Macroeconomic conditions and investment stimuli,https://www.sciencedirect.com/science/article/pii/S1062940823000396,26 April 2023,2023,Research Article
23,23,Analytically pricing variance and volatility swaps under a Markov-modulated model with liquidity risks,https://www.sciencedirect.com/science/article/pii/S1062940823000414,26 April 2023,2023,Research Article
24,24,Upside/Downside spillovers between oil and Chinese stock sectors: From the global financial crisis to global pandemic,https://www.sciencedirect.com/science/article/pii/S1062940823000487,25 April 2023,2023,Research Article
25,25,Is a co-jump in prices a sparse jump?,https://www.sciencedirect.com/science/article/pii/S1062940823000463,20 April 2023,2023,Research Article
26,26,Interactions between investors’ fear and greed sentiment and Bitcoin prices,https://www.sciencedirect.com/science/article/pii/S1062940823000475,19 April 2023,2023,Research Article
27,27,"Information asymmetry, sentiment interactions, and asset price",https://www.sciencedirect.com/science/article/pii/S1062940823000438,18 April 2023,2023,Research Article
28,28,Spillover and connectedness among G7 real estate investment trusts: The effects of investor sentiment and global factors,https://www.sciencedirect.com/science/article/pii/S1062940823000426,12 April 2023,2023,Research Article
29,29,Cyclical capital structure decisions,https://www.sciencedirect.com/science/article/pii/S1062940823000402,11 April 2023,2023,Research Article
30,30,Inflation-related tax distortions in business valuation models: A clarification,https://www.sciencedirect.com/science/article/pii/S106294082300030X,1 April 2023,2023,Research Article
31,31,The fluctuation correlation between investor sentiment and stock index using VMD-LSTM: Evidence from China stock market,https://www.sciencedirect.com/science/article/pii/S1062940823000384,31 March 2023,2023,Research Article
32,32,Research on the time-varying effects among green finance markets in China: A fresh evidence from multi-frequency scale perspective,https://www.sciencedirect.com/science/article/pii/S1062940823000372,31 March 2023,2023,Research Article
33,33,Topological properties of reconstructed credit networks and banking systemic risk,https://www.sciencedirect.com/science/article/pii/S1062940823000360,30 March 2023,2023,Research Article
34,34,GARCH-MIDAS-GAS-copula model for CoVaR and risk spillover in stock markets,https://www.sciencedirect.com/science/article/pii/S1062940823000335,28 March 2023,2023,Research Article
35,35,Digital finance and misallocation of resources among firms: Evidence from China,https://www.sciencedirect.com/science/article/pii/S1062940823000347,22 March 2023,2023,Research Article
36,36,Do the differences in legal systems hinder international enterprises’ debt financing?,https://www.sciencedirect.com/science/article/pii/S1062940823000293,15 March 2023,2023,Research Article
37,37,Contingent factors of the coinsurance function of internal capital markets: Evidence from the US nonlife insurance industry,https://www.sciencedirect.com/science/article/pii/S1062940823000311,15 March 2023,2023,Research Article
38,38,The risk spillover between China’s economic policy uncertainty and commodity markets: Evidence from frequency spillover and quantile connectedness approaches,https://www.sciencedirect.com/science/article/pii/S1062940823000281,11 March 2023,2023,Research Article
39,39,"Limited attention, salient anchor, and the modified MAX effect: Evidence from Taiwan’s stock market",https://www.sciencedirect.com/science/article/pii/S106294082300027X,10 March 2023,2023,Research Article
40,40,SMEs’ behavior under financial constraints: An empirical investigation on the legal environment and the substitution effect with tax arrears,https://www.sciencedirect.com/science/article/pii/S1062940823000268,6 March 2023,2023,Research Article
41,41,A description of the COVID-19 outbreak role in financial risk forecasting,https://www.sciencedirect.com/science/article/pii/S1062940823000177,4 March 2023,2023,Research Article
42,42,Forecasting the realized volatility of Energy Stock Market: A multimodel comparison,https://www.sciencedirect.com/science/article/pii/S1062940823000189,23 February 2023,2023,Research Article
43,43,Searching hedging instruments against diverse global risks and uncertainties,https://www.sciencedirect.com/science/article/pii/S1062940823000165,20 February 2023,2023,Research Article
44,44,Dissecting returns of non-fungible tokens (NFTs): Evidence from CryptoPunks,https://www.sciencedirect.com/science/article/pii/S1062940823000153,3 February 2023,2023,Research Article
45,45,Spillover shifts in the FX market: Implication for the behavior of a safe haven currency,https://www.sciencedirect.com/science/article/pii/S1062940823000086,31 January 2023,2023,Research Article
46,46,Structural break in different stock index markets in China,https://www.sciencedirect.com/science/article/pii/S1062940823000050,25 January 2023,2023,Research Article
47,47,How does inter-industry spillover improve the performance of volatility forecasting?,https://www.sciencedirect.com/science/article/pii/S1062940823000013,24 January 2023,2023,Research Article
48,48,"Dynamic and asymmetric effects between carbon emission trading, financial uncertainties, and Chinese industry stocks: Evidence from quantile-on-quantile and causality-in-quantiles analysis",https://www.sciencedirect.com/science/article/pii/S1062940823000062,18 January 2023,2023,Research Article
49,49,Analyzing quantile spillover effects among international financial markets,https://www.sciencedirect.com/science/article/pii/S1062940823000049,11 January 2023,2023,Research Article
50,50,"Money, payments systems, limited participation, and central banking",https://www.sciencedirect.com/science/article/pii/S1062940822002091,12 January 2023,2023,Research Article
51,51,US structural drivers of international portfolio returns,https://www.sciencedirect.com/science/article/pii/S1062940822002078,5 January 2023,2023,Research Article
52,52,How oil price and exchange rate affect stock price in China using Bayesian Quantile_on_Quantile with GARCH approach,https://www.sciencedirect.com/science/article/pii/S1062940823000025,7 January 2023,2023,Research Article
53,53,Systemic risk of Chinese financial institutions and asset price bubbles,https://www.sciencedirect.com/science/article/pii/S1062940823000037,9 January 2023,2023,Research Article
54,54,Identifying the true nature of price discovery and cross-market informational flow in the investment grade CDS and equity markets,https://www.sciencedirect.com/science/article/pii/S1062940822002121,16 January 2023,2023,Research Article
55,55,Partial quanto lookback options,https://www.sciencedirect.com/science/article/pii/S1062940822002066,5 January 2023,2023,Research Article
56,56,Which stock price component drives the Amihud illiquidity premium?,https://www.sciencedirect.com/science/article/pii/S106294082200211X,31 December 2022,2022,Research Article
57,57,The impact of COVID-19 on the tourism and hospitality Industry: Evidence from international stock markets,https://www.sciencedirect.com/science/article/pii/S1062940822002108,30 December 2022,2022,Research Article
58,58,"Financial development, financial instability, and fiscal policy volatility: International evidence",https://www.sciencedirect.com/science/article/pii/S106294082200208X,24 December 2022,2022,Research Article
59,59,Psychological barriers and option pricing in a local volatility model,https://www.sciencedirect.com/science/article/pii/S1062940822001991,18 December 2022,2022,Research Article
60,60,"Rushing through the clouds, or waiting to die? The effect of the green credit policy on heavily polluting firms",https://www.sciencedirect.com/science/article/pii/S1062940822002042,15 December 2022,2022,Research Article
61,61,Time-varying risk spillovers in Chinese stock market – New evidence from high-frequency data,https://www.sciencedirect.com/science/article/pii/S1062940822002054,15 December 2022,2022,Research Article
62,62,"Low interest rates, bank’s search-for-yield behavior and financial portfolio management",https://www.sciencedirect.com/science/article/pii/S1062940822001747,14 December 2022,2022,Research Article
63,63,How does economic policy uncertainty drive time–frequency connectedness across commodity and financial markets?,https://www.sciencedirect.com/science/article/pii/S1062940822002005,13 December 2022,2022,Research Article
64,64,Can ignorance about the interest rate and macroeconomic surprises affect the stock market return? Evidence from a large emerging economy,https://www.sciencedirect.com/science/article/pii/S1062940822002030,12 December 2022,2022,Research Article
65,65,Stock index futures price prediction using feature selection and deep learning,https://www.sciencedirect.com/science/article/pii/S1062940822002029,10 December 2022,2022,Research Article
66,66,Hedge fund performance persistence under different business cycles and stock market regimes,https://www.sciencedirect.com/science/article/pii/S1062940822002017,9 December 2022,2022,Research Article
67,67,The RP-PCA factors and stock return predictability: An aligned approach,https://www.sciencedirect.com/science/article/pii/S1062940822001978,9 December 2022,2022,Research Article
68,68,CEO succession and corporate innovation: A managerial myopic perspective,https://www.sciencedirect.com/science/article/pii/S106294082200198X,8 December 2022,2022,Research Article
69,69,A study on equity home bias using vine copula approach,https://www.sciencedirect.com/science/article/pii/S1062940822001954,7 December 2022,2022,Research Article
70,70,"The British Stock Market, currencies, brexit, and media sentiments: A big data analysis",https://www.sciencedirect.com/science/article/pii/S1062940822001966,6 December 2022,2022,Research Article
71,71,Monetary policy transmission modeling and policy responses,https://www.sciencedirect.com/science/article/pii/S1062940822001760,5 December 2022,2022,Research Article
72,72,Inter-regional dependence of J-REIT stock prices: A heteroscedasticity-robust time series approach,https://www.sciencedirect.com/science/article/pii/S1062940822001759,28 November 2022,2022,Research Article
73,73,Impact of serial entrepreneurs on IPO valuation: Evidence from U.S. IPOs,https://www.sciencedirect.com/science/article/pii/S1062940822001929,26 November 2022,2022,Research Article
74,74,Building optimal regime-switching portfolios,https://www.sciencedirect.com/science/article/pii/S1062940822001723,26 November 2022,2022,Research Article
75,75,"Private health insurance consumption and public health-care provision in OECD countries: Impact of culture, finance, and the pandemic",https://www.sciencedirect.com/science/article/pii/S106294082200184X,24 November 2022,2022,Research Article
76,76,Stock index direction forecasting using an explainable eXtreme Gradient Boosting and investor sentiments,https://www.sciencedirect.com/science/article/pii/S1062940822001838,24 November 2022,2022,Research Article
77,77,Forecasting stock return volatility in data-rich environment: A new powerful predictor,https://www.sciencedirect.com/science/article/pii/S1062940822001802,21 November 2022,2022,Research Article
78,78,Spillover effect of economic policy uncertainty on the stock market in the post-epidemic era,https://www.sciencedirect.com/science/article/pii/S1062940822001814,21 November 2022,2022,Research Article
79,79,"Hedge and safe-haven properties of FAANA against gold, US Treasury, bitcoin, and US Dollar/CHF during the pandemic period",https://www.sciencedirect.com/science/article/pii/S1062940822001796,21 November 2022,2022,Research Article
80,80,Social trust and corporate innovation: An informal institution perspective,https://www.sciencedirect.com/science/article/pii/S1062940822001644,31 October 2022,2022,Research Article
85,85,Introduction to Special Issue on Behavioral Finance and Policy,https://www.sciencedirect.com/science/article/pii/S1062940822001851,12 December 2022,2022,Research Article
86,86,Seasonality and momentum across national equity markets,https://www.sciencedirect.com/science/article/pii/S1062940822000584,17 May 2022,2022,Research Article
87,87,"Exploring the dynamic spillover of cryptocurrency environmental attention across the commodities, green bonds, and environment-related stocks",https://www.sciencedirect.com/science/article/pii/S1062940822000547,13 May 2022,2022,Research Article
88,88,Forecasting solar stock prices using tree-based machine learning classification: How important are silver prices?,https://www.sciencedirect.com/science/article/pii/S1062940822000572,13 May 2022,2022,Research Article
89,89,"Pricing catastrophe equity puts with counterparty risks under Markov-modulated, default-intensity processes",https://www.sciencedirect.com/science/article/pii/S1062940822000535,6 May 2022,2022,Research Article
90,90,A new approach to capital control for emerging market economies,https://www.sciencedirect.com/science/article/pii/S106294082200050X,6 May 2022,2022,Research Article
