,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The performance of bidding companies in merger and acquisition deals: An empirical study of domestic acquisitions in Hong Kong and Mainland China,https://www.sciencedirect.com/science/article/pii/S1062976920301137,28 September 2020,2020,Research Article
1,1,Impact of Covid-19 on corporate solvency and possible policy responses in the EU,https://www.sciencedirect.com/science/article/pii/S1062976920301125,22 September 2020,2020,Research Article
2,2,Exchange rate pass-through: A comparative analysis of inflation targeting & non-targeting ASEAN-5 countries,https://www.sciencedirect.com/science/article/pii/S1062976920300910,22 July 2020,2020,Research Article
3,3,Capital requirements and banks performance under Basel-III: A comparative analysis of Australian and British banks,https://www.sciencedirect.com/science/article/pii/S1062976920300740,20 June 2020,2020,Research Article
4,4,Paradox of stationarity? A policy target dilemma for policymakers,https://www.sciencedirect.com/science/article/pii/S1062976920300624,3 June 2020,2020,Research Article
5,5,The impact of share repurchases on equity finance and performance,https://www.sciencedirect.com/science/article/pii/S1062976922001405,Available online 30 December 2022,2022,Research Article
6,6,Income inequality and house prices across US states,https://www.sciencedirect.com/science/article/pii/S1062976922001314,Available online 9 November 2022,2022,Research Article
7,7,The decline in stock exchange listed firms,https://www.sciencedirect.com/science/article/pii/S1062976922001211,Available online 9 November 2022,2022,Research Article
8,8,Why are credit-driven crises deep and long-lasting?,https://www.sciencedirect.com/science/article/pii/S1062976922001193,Available online 5 November 2022,2022,Research Article
9,9,Hedging demand and near-zero swap spreads: Evidence from the Chinese interest rate swap market,https://www.sciencedirect.com/science/article/pii/S1062976922001259,Available online 2 November 2022,2022,Research Article
10,10,Market liquidity migration’s effects on the relationship between stock liquidity and stock price crash risk: Evidence from China,https://www.sciencedirect.com/science/article/pii/S1062976922001272,Available online 1 November 2022,2022,Research Article
11,11,Trading strategies and the frequency of time-series,https://www.sciencedirect.com/science/article/pii/S106297692200120X,Available online 31 October 2022,2022,Research Article
12,12,"Frequency spillovers and portfolio risk implications between Sukuk, Islamic stock and emerging stock markets",https://www.sciencedirect.com/science/article/pii/S1062976922001260,Available online 31 October 2022,2022,Research Article
