,Unnamed: 0,Title,Url,Time,Year,Type
0,0,The importance of positional mobility for regional comparisons,https://www.sciencedirect.com/science/article/pii/S1090944323000406,3 June 2023,2023,Research Article
1,1,Financing the economy in debt times: The crucial role of public–private partnerships,https://www.sciencedirect.com/science/article/pii/S109094432300025X,27 May 2023,2023,Research Article
2,2,A shortage of brides: China’s one child policy and transitions of men into marriage,https://www.sciencedirect.com/science/article/pii/S1090944323000248,21 May 2023,2023,Research Article
3,3,Reputation for competence in a cheap-talk setting,https://www.sciencedirect.com/science/article/pii/S1090944323000236,20 May 2023,2023,Research Article
4,4,Machine learning and sentiment analysis: Projecting bank insolvency risk,https://www.sciencedirect.com/science/article/pii/S1090944323000224,22 March 2023,2023,Research Article
5,5,Effects of monetary transactions costs on economic growth,https://www.sciencedirect.com/science/article/pii/S1090944323000194,1 March 2023,2023,Research Article
6,6,"Information asymmetry, attitudes toward risk, and macroeconomic performance",https://www.sciencedirect.com/science/article/pii/S1090944323000054,4 February 2023,2023,Research Article
7,7,Social contact in a pandemic: Rationality vs. heuristics,https://www.sciencedirect.com/science/article/pii/S1090944323000078,3 February 2023,2023,Research Article
8,8,Should football fans pay for security? Effects of a security fee,https://www.sciencedirect.com/science/article/pii/S109094432300008X,2 February 2023,2023,Research Article
9,9,Debt maturity and firm productivity—The role of intangibles,https://www.sciencedirect.com/science/article/pii/S1090944323000066,1 February 2023,2023,Research Article
10,10,"Inflation, technological-knowledge bias, and wages",https://www.sciencedirect.com/science/article/pii/S1090944323000091,1 February 2023,2023,Research Article
11,11,Antisocial behavior in experiments: What have we learned from the past two decades?,https://www.sciencedirect.com/science/article/pii/S1090944323000108,31 January 2023,2023,Research Article
12,12,"Dumping, antidumping duties, and price undertakings",https://www.sciencedirect.com/science/article/pii/S1090944323000030,30 January 2023,2023,Research Article
13,13,A finite mixture analysis of structural breaks in the G-7 gross domestic product series,https://www.sciencedirect.com/science/article/pii/S1090944323000017,12 January 2023,2023,Research Article
14,14,"Impact of electoral competition, swing voters and interest groups on equilibrium policy platforms: Exploring the strategic forces at work",https://www.sciencedirect.com/science/article/pii/S1090944323000029,10 January 2023,2023,Research Article
15,15,Losers amongst the Losers:: The welfare effects of the great recession across cohorts,https://www.sciencedirect.com/science/article/pii/S1090944322000680,29 December 2022,2022,Research Article
16,16,Effects of remittances on financial inclusion gender gap in developing countries,https://www.sciencedirect.com/science/article/pii/S1090944322000667,26 November 2022,2022,Research Article
17,17,Market structure and industry location in a footloose capital model,https://www.sciencedirect.com/science/article/pii/S1090944322000576,12 November 2022,2022,Research Article
18,18,Analyzing the differential impacts of financial sector development on remittance inflows,https://www.sciencedirect.com/science/article/pii/S1090944322000540,19 October 2022,2022,Research Article
19,19,Editorial Board/Copyright,https://www.sciencedirect.com/science/article/pii/S1090944323000339,28 May 2023,2023,Research Article
20,20,Editorial Board/Copyright,https://www.sciencedirect.com/science/article/pii/S1090944323000145,28 February 2023,2023,Research Article
21,21,"Physical and human capital, fertility, and childcare services",https://www.sciencedirect.com/science/article/pii/S1090944322000527,23 September 2022,2022,Research Article
22,22,Ambiguity of scientific probability predictions and willingness-to-pay for climate change mitigation policies,https://www.sciencedirect.com/science/article/pii/S1090944322000539,21 September 2022,2022,Research Article
23,23,On the response to the financial crisis of 1914: The Bank of England's discount policy,https://www.sciencedirect.com/science/article/pii/S1090944322000473,16 September 2022,2022,Research Article
24,24,Why do similar firms export differently?,https://www.sciencedirect.com/science/article/pii/S1090944322000497,14 September 2022,2022,Research Article
25,25,Risk perception in an endogenous information environment,https://www.sciencedirect.com/science/article/pii/S1090944322000485,14 September 2022,2022,Research Article
26,26,Socio-economic and environmental factors in the global spread of COVID-19 outbreak,https://www.sciencedirect.com/science/article/pii/S1090944322000369,15 August 2022,2022,Research Article
27,27,Economic resilience in times of public health shock: The case of the US states,https://www.sciencedirect.com/science/article/pii/S1090944322000382,10 August 2022,2022,Research Article
28,28,Monetary policy in search of macroeconomic stability and inclusive growth,https://www.sciencedirect.com/science/article/pii/S1090944322000370,10 August 2022,2022,Research Article
29,29,Start-ups as drivers of economic growth,https://www.sciencedirect.com/science/article/pii/S1090944322000357,8 August 2022,2022,Research Article
30,30,Efficiency and group size in the voluntary provision of public goods with threshold preference,https://www.sciencedirect.com/science/article/pii/S109094432200031X,30 July 2022,2022,Research Article
31,31,Fiscal policy rules and economic fluctuations in the countries of the West African Economic and Monetary Union (WAEMU),https://www.sciencedirect.com/science/article/pii/S1090944322000333,29 July 2022,2022,Research Article
32,32,"COVID-19 lockdown, family migration and unemployment in a gendered society",https://www.sciencedirect.com/science/article/pii/S1090944322000321,28 July 2022,2022,Research Article
33,33,COVID-19 and gender disparities: Labour market outcomes,https://www.sciencedirect.com/science/article/pii/S1090944322000345,27 July 2022,2022,Research Article
34,34,To what extent do network effects moderate the relationship between social media propagated news and investors’ perceptions?,https://www.sciencedirect.com/science/article/pii/S1090944322000308,21 July 2022,2022,Research Article
35,35,Is the ECB already following albeit implicitly an average inflation targeting strategy?,https://www.sciencedirect.com/science/article/pii/S1090944322000291,20 July 2022,2022,Research Article
36,36,The impact of health insurance on households’ financial choices: Evidence from Vietnam,https://www.sciencedirect.com/science/article/pii/S1090944322000266,18 July 2022,2022,Research Article
37,37,Public sector efficiency in the design of a COVID fund for the euro area,https://www.sciencedirect.com/science/article/pii/S1090944322000187,11 July 2022,2022,Research Article
