,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Planning for Bus Rapid Transit in an island context. The challenges of implementing BRT in Malta,https://www.sciencedirect.com/science/article/pii/S0739885923000495,8 June 2023,2023,Research Article
1,1,Exploring the attitudes and perceptions influencing user participation in gamification schemes for TDM,https://www.sciencedirect.com/science/article/pii/S0739885923000458,Available online 30 May 2023,2023,Research Article
2,2,Understanding the potential policy transfer of gamification schemes for behaviour change in public transport and road safety,https://www.sciencedirect.com/science/article/pii/S0739885923000392,23 May 2023,2023,Research Article
3,3,Exploring the attitudes and perceptions influencing user participation in gamification schemes for TDM,https://www.sciencedirect.com/science/article/pii/S0739885923000409,22 May 2023,2023,Research Article
4,4,The impact of government policy responses on airline stock return during the COVID-19 crisis,https://www.sciencedirect.com/science/article/pii/S0739885923000380,22 May 2023,2023,Research Article
5,5,"An application of land use, transport, and economy interaction model",https://www.sciencedirect.com/science/article/pii/S0739885923000343,19 May 2023,2023,Research Article
6,6,"Factors influencing the patronage of flexible transport in urban and rural areas. A case study in NSW, Australia",https://www.sciencedirect.com/science/article/pii/S0739885923000355,18 May 2023,2023,Research Article
7,7,A latent class approach to estimate air travelers’ propensity toward connecting itineraries,https://www.sciencedirect.com/science/article/pii/S0739885923000239,9 May 2023,2023,Research Article
8,8,Use of public transport and social capital building: An empirical study of Japan,https://www.sciencedirect.com/science/article/pii/S0739885923000306,4 May 2023,2023,Research Article
9,9,Understanding active transportation accessibility's impacts on polycentric and monocentric cities' housing price,https://www.sciencedirect.com/science/article/pii/S0739885923000227,11 April 2023,2023,Research Article
10,10,Assessing free-fare public transport in Chilean cities through optimization models,https://www.sciencedirect.com/science/article/pii/S0739885923000173,31 March 2023,2023,Research Article
11,11,A machine learning approach to predicting bicycle demand during the COVID-19 pandemic,https://www.sciencedirect.com/science/article/pii/S0739885923000161,Available online 21 March 2023,2023,Research Article
12,12,Incentive contracts with demand guarantee in BOT toll road projects,https://www.sciencedirect.com/science/article/pii/S0739885923000124,9 March 2023,2023,Research Article
13,13,Working from home 22 months on from the beginning of COVID-19: What have we learned for the future provision of transport services?,https://www.sciencedirect.com/science/article/pii/S0739885923000112,1 March 2023,2023,Research Article
14,14,Collective and individual spatial equity measure in public transit accessibility based on generalized travel cost,https://www.sciencedirect.com/science/article/pii/S0739885923000033,24 February 2023,2023,Research Article
15,15,Insights into peer-to-peer carsharing: Modelling and scenario analysis via a Bass diffusion agent-based model,https://www.sciencedirect.com/science/article/pii/S073988592300001X,10 February 2023,2023,Research Article
16,16,China-Europe freight transportation under the first wave of COVID-19 pandemic and government restriction measures,https://www.sciencedirect.com/science/article/pii/S0739885922000762,23 November 2022,2022,Research Article
17,17,Comparing children and parental preferences for active commuting to school. A focus on Italian middle-school students,https://www.sciencedirect.com/science/article/pii/S0739885922000579,3 November 2022,2022,Research Article
18,18,The big three EU Low Cost Carriers before and during the Covid-19 pandemic: Network overlaps and airfare effects,https://www.sciencedirect.com/science/article/pii/S0739885922000567,21 October 2022,2022,Research Article
22,22,Transport vulnerability: Measuring travel time and expenditure budget in Addis Ababa,https://www.sciencedirect.com/science/article/pii/S0739885922000725,Available online 10 December 2022,2022,Research Article
