,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Can Bitcoin mining increase renewable electricity capacity,https://www.sciencedirect.com/science/article/pii/S0928765523000313,Available online 3 June 2023,2023,Research Article
1,1,Tradable performance standards in a dynamic context,https://www.sciencedirect.com/science/article/pii/S0928765523000283,18 May 2023,2023,Research Article
2,2,Green monetary and fiscal policies: The role of consumer preferences,https://www.sciencedirect.com/science/article/pii/S0928765523000258,29 April 2023,2023,Research Article
3,3,Sustainable per capita consumption under population growth,https://www.sciencedirect.com/science/article/pii/S0928765523000180,3 April 2023,2023,Research Article
4,4,Dust storms and human well-being,https://www.sciencedirect.com/science/article/pii/S0928765523000179,31 March 2023,2023,Research Article
5,5,Introduction to the SETI special issue,https://www.sciencedirect.com/science/article/pii/S0928765523000167,24 March 2023,2023,Research Article
6,6,Coordination of sectoral climate policies and life cycle emissions,https://www.sciencedirect.com/science/article/pii/S0928765523000143,11 March 2023,2023,Research Article
7,7,The effect of China's driving restrictions on air pollution: The role of a policy announcement without a stated expiration,https://www.sciencedirect.com/science/article/pii/S0928765523000155,11 March 2023,2023,Research Article
8,8,Hotelling and recycling,https://www.sciencedirect.com/science/article/pii/S0928765523000131,28 February 2023,2023,Research Article
9,9,Energy transition under mineral constraints and recycling: A low-carbon supply peak,https://www.sciencedirect.com/science/article/pii/S0928765523000118,9 February 2023,2023,Research Article
10,10,Is high-speed rail heading towards a low-carbon industry? Evidence from a quasi-natural experiment in China,https://www.sciencedirect.com/science/article/pii/S0928765523000106,24 January 2023,2023,Research Article
11,11,Extraction rights allocation with liquidity constraints,https://www.sciencedirect.com/science/article/pii/S0928765522000628,21 December 2022,2022,Research Article
12,12,Optimal policy for environmental goods trade in asymmetric oligopolistic eco-industries,https://www.sciencedirect.com/science/article/pii/S0928765522000604,29 November 2022,2022,Research Article
14,14,"An environmental Decameron: Introducing the special issue on ‘Carbon pricing, energy efficiency and renewable policies for a decarbonised future’",https://www.sciencedirect.com/science/article/pii/S0928765523000271,15 May 2023,2023,Research Article
17,17,Corrigendum to “Exploring the shelf-life of travel cost methods of valuing recreation for benefits transfer” [Resour. Energy Econ. 63 (2021) 101123],https://www.sciencedirect.com/science/article/pii/S0928765522000525,26 October 2022,2022,Research Article
18,18,Smoothing the curve: An estimation of the cost of demand variation and the impact of solar and wind,https://www.sciencedirect.com/science/article/pii/S0928765522000458,24 August 2022,2022,Research Article
19,19,Rural access to electricity and welfare outcomes in Rwanda: Addressing issues of transitional heterogeneities and between and within gender disparities,https://www.sciencedirect.com/science/article/pii/S0928765522000501,23 August 2022,2022,Research Article
20,20,"Exposure to wind turbines, regional identity and the willingness to pay for regionally produced electricity",https://www.sciencedirect.com/science/article/pii/S0928765522000495,22 August 2022,2022,Research Article
21,21,Environmental taxation in the Bertrand differentiated duopoly: New insights,https://www.sciencedirect.com/science/article/pii/S092876552200046X,18 August 2022,2022,Research Article
22,22,Energy transitions and technology change: “Leapfrogging” reconsidered,https://www.sciencedirect.com/science/article/pii/S0928765522000446,28 July 2022,2022,Research Article
23,23,"Entry, location, and optimal environmental policies",https://www.sciencedirect.com/science/article/pii/S0928765522000434,26 July 2022,2022,Research Article
24,24,Optimal federal co-regulation of renewable energy deployment,https://www.sciencedirect.com/science/article/pii/S0928765522000355,25 June 2022,2022,Research Article
25,25,Which “second-best” climate policies are best? Simulating cost-effective policy mixes for passenger vehicles,https://www.sciencedirect.com/science/article/pii/S0928765522000367,18 June 2022,2022,Research Article
26,26,Non-monetary incentives for sustainable biomass harvest: An experimental approach,https://www.sciencedirect.com/science/article/pii/S0928765522000343,10 June 2022,2022,Research Article
27,27,Catching up and falling behind: Cross-country evidence on the impact of the EU ETS on firm productivity,https://www.sciencedirect.com/science/article/pii/S092876552200032X,26 May 2022,2022,Research Article
28,28,The economics of climate change with endogenous preferences,https://www.sciencedirect.com/science/article/pii/S092876552200029X,17 May 2022,2022,Research Article
29,29,"Corporate social responsibility, social optimum, and the environment-growth tradeoff",https://www.sciencedirect.com/science/article/pii/S0928765522000288,4 May 2022,2022,Research Article
30,30,An economic model of vehicle-to-grid: Impacts on the electricity market and consumer cost of electric vehicles,https://www.sciencedirect.com/science/article/pii/S0928765522000276,21 April 2022,2022,Research Article
