,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Accounting for Limited Commitment between Spouses when Estimating Labor-Supply Elasticities,https://www.sciencedirect.com/science/article/pii/S1094202523000212,Available online 13 June 2023,2023,Research Article
1,1,Identifying Preferences when households are financially constrained,https://www.sciencedirect.com/science/article/pii/S1094202523000200,Available online 8 June 2023,2023,Research Article
2,2,Trend Inflation and Evolving Inflation Dynamics: A Bayesian GMM Analysis,https://www.sciencedirect.com/science/article/pii/S1094202523000194,Available online 5 June 2023,2023,Research Article
3,3,"Revisiting Capital-Skill Complementarity, Inequality, and Labor Share",https://www.sciencedirect.com/science/article/pii/S1094202523000182,Available online 30 May 2023,2023,Research Article
4,4,Market uncertainty and international trade,https://www.sciencedirect.com/science/article/pii/S1094202523000170,Available online 12 May 2023,2023,Research Article
5,5,Does my model predict a forward guidance puzzle?,https://www.sciencedirect.com/science/article/pii/S1094202523000157,Available online 22 March 2023,2023,Research Article
6,6,The paradox of price flexibility in an open economy,https://www.sciencedirect.com/science/article/pii/S1094202523000078,Available online 6 March 2023,2023,Research Article
7,7,"Credit markets, relationship lending, and the dynamics of firm entry",https://www.sciencedirect.com/science/article/pii/S1094202523000066,Available online 23 February 2023,2023,Research Article
8,8,Financial constraints and economic development: The role of firm productivity investment,https://www.sciencedirect.com/science/article/pii/S1094202523000054,Available online 8 February 2023,2023,Research Article
9,9,"When to lock, not whom: Managing epidemics using time-based restrictions",https://www.sciencedirect.com/science/article/pii/S1094202523000042,Available online 26 January 2023,2023,Research Article
10,10,Retirement timing uncertainty: Empirical evidence and quantitative evaluation,https://www.sciencedirect.com/science/article/pii/S1094202523000029,Available online 24 January 2023,2023,Research Article
11,11,General equilibrium with multiple liquid assets,https://www.sciencedirect.com/science/article/pii/S1094202523000030,Available online 20 January 2023,2023,Research Article
12,12,Global DSGE models,https://www.sciencedirect.com/science/article/pii/S1094202523000017,Available online 18 January 2023,2023,Research Article
13,13,Misallocation and intersectoral linkages,https://www.sciencedirect.com/science/article/pii/S1094202522000758,Available online 9 January 2023,2023,Research Article
14,14,Wage dispersion with heterogeneous wage contracts,https://www.sciencedirect.com/science/article/pii/S1094202522000734,Available online 6 January 2023,2023,Research Article
15,15,Misallocation and markups: Evidence from Indian manufacturing,https://www.sciencedirect.com/science/article/pii/S1094202522000746,Available online 4 January 2023,2023,Research Article
