,Unnamed: 0,Title,Url,Time,Year,Type
0,0,Uniform convergence results for the local linear regression estimation of the conditional distribution,https://www.sciencedirect.com/science/article/pii/S0167715223001104,Available online 10 June 2023,2023,Research Article
1,1,On infinitely divisible distributions related to the Riemann hypothesis,https://www.sciencedirect.com/science/article/pii/S016771522300113X,Available online 10 June 2023,2023,Research Article
2,2,Improving Hoeffding’s inequality using higher moments information,https://www.sciencedirect.com/science/article/pii/S0167715223001062,Available online 8 June 2023,2023,Research Article
3,3,Nonsymmetric examples for Gaussian correlation inequalities,https://www.sciencedirect.com/science/article/pii/S0167715223001098,Available online 7 June 2023,2023,Research Article
4,4,Local limit theorems for collective risk models,https://www.sciencedirect.com/science/article/pii/S0167715223000913,Available online 7 June 2023,2023,Research Article
5,5,On the maximum penalized full likelihood approach for Cox model with extreme value for heavily censored survival data,https://www.sciencedirect.com/science/article/pii/S0167715223001049,Available online 7 June 2023,2023,Research Article
6,6,Improving the age composition of dynamic populations of manufactured items,https://www.sciencedirect.com/science/article/pii/S0167715223001037,Available online 7 June 2023,2023,Research Article
7,7,A Galton–Watson process with a threshold at 1 and an immigration at 0,https://www.sciencedirect.com/science/article/pii/S0167715223001050,5 June 2023,2023,Research Article
8,8,"A study on the Poisson, geometric and Pascal distributions motivated by Chvátal’s conjecture",https://www.sciencedirect.com/science/article/pii/S0167715223000950,1 June 2023,2023,Research Article
9,9,Convergence of series of conditional expectations,https://www.sciencedirect.com/science/article/pii/S0167715223000937,1 June 2023,2023,Research Article
10,10,Comparing weak and strong convergence of density functions,https://www.sciencedirect.com/science/article/pii/S0167715223001025,1 June 2023,2023,Research Article
11,11,Choice of degree of Bernstein polynomial model,https://www.sciencedirect.com/science/article/pii/S0167715223000925,29 May 2023,2023,Research Article
12,12,Hoeffding’s inequality for non-irreducible Markov models,https://www.sciencedirect.com/science/article/pii/S0167715223000949,29 May 2023,2023,Research Article
13,13,The Wishart distribution with two different degrees of freedom,https://www.sciencedirect.com/science/article/pii/S0167715223000901,27 May 2023,2023,Research Article
14,14,-functionals for change point detection in random coefficient autoregressive models,https://www.sciencedirect.com/science/article/pii/S0167715223000536,Available online 6 May 2023,2023,Research Article
15,15,Ultimate boundedness of impulsive stochastic delay differential equations with delayed impulses,https://www.sciencedirect.com/science/article/pii/S0167715223000810,6 May 2023,2023,Research Article
16,16,A note on asymptotics of classical likelihood ratio tests for high-dimensional normal distributions,https://www.sciencedirect.com/science/article/pii/S0167715223000834,3 May 2023,2023,Research Article
17,17,Parameter estimation for integrated Ornstein–Uhlenbeck processes with small Lévy noises,https://www.sciencedirect.com/science/article/pii/S0167715223000755,26 April 2023,2023,Research Article
18,18,Estimating heterogeneous treatment effects versus building individualized treatment rules: Connection and disconnection,https://www.sciencedirect.com/science/article/pii/S0167715223000780,26 April 2023,2023,Research Article
19,19,Coskewness under dependence uncertainty,https://www.sciencedirect.com/science/article/pii/S0167715223000779,24 April 2023,2023,Research Article
20,20,Asymptotic expansions in the local limit theorem for a branching Wiener process,https://www.sciencedirect.com/science/article/pii/S0167715223000809,22 April 2023,2023,Research Article
21,21,Probability bounds for reflecting diffusion processes,https://www.sciencedirect.com/science/article/pii/S0167715223000792,22 April 2023,2023,Research Article
22,22,Pseudoprocesses related to higher-order equations of vibrations of rods,https://www.sciencedirect.com/science/article/pii/S0167715223000767,20 April 2023,2023,Research Article
23,23,On the optional and orthogonal decompositions of supermartingales and applications,https://www.sciencedirect.com/science/article/pii/S0167715223000743,18 April 2023,2023,Research Article
24,24,Recurrence property for Galton–Watson processes in which individuals have variable lifetimes,https://www.sciencedirect.com/science/article/pii/S0167715223000731,14 April 2023,2023,Research Article
25,25,A phase transition for the probability of being a maximum among random vectors with general iid coordinates,https://www.sciencedirect.com/science/article/pii/S0167715223000718,14 April 2023,2023,Research Article
26,26,A deviation inequality for increment of a ,https://www.sciencedirect.com/science/article/pii/S016771522300072X,11 April 2023,2023,Research Article
27,27,On the tightness of the Laplace approximation for statistical inference,https://www.sciencedirect.com/science/article/pii/S0167715223000639,22 March 2023,2023,Research Article
28,28,Proximal causal inference without uniqueness assumptions,https://www.sciencedirect.com/science/article/pii/S0167715223000603,21 March 2023,2023,Research Article
29,29,Fluctuations of the diagonal entries of a large sample precision matrix,https://www.sciencedirect.com/science/article/pii/S0167715223000627,13 March 2023,2023,Research Article
30,30,Multivariate Poisson model adjusting for unidirectional covariate misrepresentation,https://www.sciencedirect.com/science/article/pii/S0167715223000615,13 March 2023,2023,Research Article
31,31,Generalized weak laws of large numbers in Hilbert spaces,https://www.sciencedirect.com/science/article/pii/S0167715223000548,11 March 2023,2023,Research Article
32,32,Optimal guessing under nonextensive framework and associated moment bounds,https://www.sciencedirect.com/science/article/pii/S0167715223000366,5 March 2023,2023,Research Article
33,33,Baum–Katz-type complete and complete moment convergence theorems for the maximum of partial sums under sub-linear expectations,https://www.sciencedirect.com/science/article/pii/S0167715223000421,4 March 2023,2023,Research Article
34,34,Limit Theorems for an extended inverse Hawkes process with general exciting functions,https://www.sciencedirect.com/science/article/pii/S016771522300041X,2 March 2023,2023,Research Article
35,35,Causal predictability and weak solutions of the stochastic differential equations with driving semimartingales,https://www.sciencedirect.com/science/article/pii/S0167715223000408,2 March 2023,2023,Research Article
36,36,Controlling the false discovery rate via competition: Is the +1 needed?,https://www.sciencedirect.com/science/article/pii/S0167715223000433,1 March 2023,2023,Research Article
37,37,Multivariate exponential power Lévy processes and random fields,https://www.sciencedirect.com/science/article/pii/S0167715223000305,28 February 2023,2023,Research Article
38,38,On a cover time problem on a dynamic graph with steps at random times,https://www.sciencedirect.com/science/article/pii/S0167715223000457,28 February 2023,2023,Research Article
39,39,Which Urbanik class ,https://www.sciencedirect.com/science/article/pii/S016771522300038X,27 February 2023,2023,Research Article
40,40,The eigenvector LSD of information plus noise matrices and its application to linear regression model,https://www.sciencedirect.com/science/article/pii/S0167715223000354,26 February 2023,2023,Research Article
41,41,"Product inequalities for multivariate Gaussian, gamma, and positively upper orthant dependent distributions",https://www.sciencedirect.com/science/article/pii/S0167715223000445,26 February 2023,2023,Research Article
42,42,Local polynomial estimation of nonparametric general estimating equations,https://www.sciencedirect.com/science/article/pii/S0167715223000299,25 February 2023,2023,Research Article
43,43,The stochastic nonlinear Schrödinger equations driven by pure jump noise,https://www.sciencedirect.com/science/article/pii/S0167715223000342,24 February 2023,2023,Research Article
44,44,On a class of mixed stochastic heat equations driven by spatially homogeneous Gaussian noise,https://www.sciencedirect.com/science/article/pii/S0167715223000317,24 February 2023,2023,Research Article
45,45,Large deviations of aggregate amount of claims in compound risk model with arbitrary dependence between claim sizes and waiting times,https://www.sciencedirect.com/science/article/pii/S0167715223000330,24 February 2023,2023,Research Article
46,46,On expected waiting time until given words appear in random sequence,https://www.sciencedirect.com/science/article/pii/S0167715223000329,24 February 2023,2023,Research Article
47,47,Berry-Essén theorem for random determinants,https://www.sciencedirect.com/science/article/pii/S0167715223000287,21 February 2023,2023,Research Article
