name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
Xie Dan,"School of Economics and Finance, Queen Mary University of London, 526 Graduate Center, Mile End Road, London, E1 4NS, United Kingdom","Received 9 July 2022, Revised 23 May 2023, Accepted 2 June 2023, Available online 13 June 2023.",https://doi.org/10.1016/j.asieco.2023.101636,Cited by (0),"Cross-border mergers and acquisitions (M&A) is a major form of foreign direct investment (FDI). In contrast to many developed countries, the majority of China’s cross-border M&As are vertical rather than horizontal. I study the difference in the reaction to tariff of horizontal and vertical M&A subsidiary sales. The baseline OLS regressions show that as export tariff cost increases, cross-border M&A affiliate sales relative to export rises, and the effect mainly comes from vertical affiliates, especially in downstream subsidiaries. The main results are robust to the Poisson pseudo maximum likelihood (PPML) regressions and an instrumental variable (IV) approach. A simple model is developed to reconcile the empirical findings when horizontal and vertical M&As co-exist in the same market and further tested at both the extensive and intensive margins. The results offer new insights to understanding the performance of M&As from developing economies.",None,Tariff cost and cross-border M&A affiliate sales: Evidence from China,https://www.sciencedirect.com/science/article/pii/S1049007823000568,Available online 13 June 2023,2023,Research Article,0.0
"Gan Tian,Jiang Yan,Wu Xi,Zhang Mingxin","School of Business, East China University of Science and Technology, No.130 Meilong Road, Xuhui District, Shanghai 200237, China,College of Business, Shanghai University of Finance and Economics, Room 302 COB Building, No.100 Wudong Road, Yangpu District, Shanghai 200433, China,School of Economics, Fudan University, No. 600 Guoquan Road, Yangpu District, Shanghai 200433, China,Tailong Finance School, Zhejiang Gongshang University, 18 Xuezheng Street, Qiantang New District, Hangzhou 310018, Zhejiang, China","Received 16 August 2022, Revised 13 March 2023, Accepted 2 June 2023, Available online 5 June 2023, Version of Record 11 June 2023.",https://doi.org/10.1016/j.asieco.2023.101637,Cited by (0),"This paper explores the impact of oil price uncertainty affects the cost of debt in China. By analyzing the bond data from 2008 to 2019 in China, we find that oil price fluctuation boost bond offering spread, denoting that oil price uncertainty may increase the cost of debt. This increase is likely due to higher default risks resulting from the heightened oil price uncertainty. Moreover, non-state-owned firms and those in the energy industry are more susceptible to the effects of oil price volatility. Our findings also reveal an asymmetric effect of oil price uncertainty on the cost of debt, with a stronger impact observed from positive uncertainty compared to negative uncertainty. This study contributes to the current understanding of the ways in which oil price uncertainty impacts the cost of debt in an emerging country.",None,Oil price uncertainty and the cost of debt: Evidence from the Chinese bond market,https://www.sciencedirect.com/science/article/pii/S104900782300057X,5 June 2023,2023,Research Article,1.0
"Putra Rendra A.A.,Ovsiannikov Kostiantyn,Kotani Koji","Statistics Indonesia, Indonesia,School of Economics and Management, Kochi University of Technology, Japan,Research Institute for Future Design, Kochi University of Technology, Japan,Urban Institute, Kyushu University, Japan,College of Business, Rikkyo University, Japan","Received 7 June 2022, Revised 17 February 2023, Accepted 10 May 2023, Available online 30 May 2023.",https://doi.org/10.1016/j.asieco.2023.101631,Cited by (0),"COVID-19 pandemic has substantially altered socioeconomic conditions around the world. While numerous existing studies analyze the impact of the COVID-19 pandemic among developed states, little is known about its effects on people’s lives and social discrepancies in emerging economies. To this end, we empirically analyze the 2020 Indonesian Labor Force Survey data, hypothesizing that COVID-19 has given idiosyncratic risks and impacts on people by gender, age, education, occupation and regions. We find that income loss and job loss are prominent among males, younger and less educated people as well as among self-employed and part-time non-agricultural workers. These tendencies are not pronounced for people enjoying high income and mobility, but tend to be evident for urban residents and those having dependents. Notably, self-employed people have the highest risk of losing income, while part-time urban workers face the highest probability of losing their jobs. The propensity score matching method also demonstrates that these losses are most evident for the regions susceptible to COVID-19. Overall, we suggest that socioeconomically disadvantaged groups require additional support to strengthen their resilience in the face of exogenous shocks, such as the one caused by the global coronavirus pandemic.","Socioeconomic consequences of the COVID-19 pandemic have been devastating. According to ====, 114 million jobs were lost in 2020 as compared to 2019. Consequently, the number of unemployed increased by 33 million globally. Furthermore, over the same period of time, global labor income declined by ====, amounting to ==== of the global gross domestic product (GDP). On top of these grave overall impacts, some employment cohorts have suffered disproportionate damage. For example, ==== or 1.6 billion of informal workers around the world lost ==== of their income (====). Their situation has been exacerbated by the virtually absent access to social security funds. Against this background, our paper addresses the issue of the COVID-19 impact on the well-being among developing countries’ citizens, concentrating on whether or not the existing socioeconomic discrepancies have widened.====A salient feature of the ongoing pandemic is the deepening of the existing socioeconomic inequalities. One of the major dividing lines in the context of the COVID-inflicted loss runs through occupational sectors and employment types. Being the case of an exogenous economic shock, COVID-19 has jeopardized low-skill and non-regular labor (====). The former group has higher chances of being displaced due to automation processes, while the latter has weaker legal protection compared to regular workers, being subject to layoffs as part of corporate optimization plans. On top of that, self-employed tend to suffer from the negative income adjustments, since their profits are particularly susceptible to demand fluctuations (====). Hence, depressed consumer activity during the pandemic period has led to lower profits accruing to private entrepreneurs. ==== provide evidence of service and manufacturing workers in the developing countries being most heavily impacted by the ongoing pandemic. They also conclude that urban employees bear the brunt of the crisis to a larger extent than rural workers who are mostly involved in agriculture. Based on the data from the U.S., the U.K., Germany and Japan, ====, ==== and ==== identify self-employed and temporary employees as the groups most prone to the impacts of the crises such as COVID-19. Available scholarship provides evidence of unequal impact of lockdown on the economic well-being depending on the levels of income. In cases of the U.K. ====, Italy (====), China (====), Japan (====) and South Korea (====), the relatively poorer inhabitants tend to lose larger portions of income. In Italy, this tendency is even more pronounced for the fiscally better-off provinces, providing an evidence of the negative effect of mobility restrictions being magnified for the regions with higher levels of inequality (====). Additionally, ==== point at socioeconomic adversities associated with being younger, less educated and having limited access to health care. All in all, the evidence testifies to the fact that COVID-19 pandemic has disproportionately affected the most vulnerable layers of society.====Despite the extensive coverage of the gender-related impacts of economic shocks, the findings appear inconclusive. While ==== and ==== argue that males are more likely to be victims of cyclical crises than females, ==== and ==== find out that females in the developed countries have felt the impacts of the COVID-19 more severely than males. According to ====, this tendency results from the fact that female-dominated service industries suffered most from the pandemic. Furthermore, the closures of childcare facilities have substantially increased the workload of mothers who often do not have any choice other than to quit their jobs in order to concentrate on parenting (====, ====). ==== approach this issue by additionally modeling income and working hours’ loss for the men involved in childcare, documenting their resulting vulnerability. Moreover, ==== conclude that males have lower chances of performing work duties remotely, which leads to a higher probability of job loss among them. In this context, ==== suggest that provision of telework infrastructure can remedy these negative effects.====While literature analyzes the impact of the COVID-19 pandemic among developed states, little is known about its effects on people’s lives and social discrepancies in emerging economies. Our paper aims at identifying socioeconomic groups most heavily impacted by income loss and job loss in Indonesia — a country that epitomizes the challenges faced by developing countries. To this end, we analyze the 2020 Indonesian Labor Force Survey data, hypothesizing that COVID-19 has given idiosyncratic risks and impacts on people by gender, age, education, occupation and regions. We find that income loss and job loss are prominent among males, younger and less educated people as well as among self-employed and part-time workers. These tendencies are not pronounced for people enjoying high income, mobility and for those being able to work remotely, but are severe for urban residents and for those having dependents. Notably, self-employed people have the highest risk of losing income, while part-time urban workers face the highest probability of losing their jobs. Finally, through the implementation of propensity score matching (PSM) we determine that substantial drop in Facebook mobility characterizing COVID-19-impacted sub-provinces leads to high probabilities of income loss and job loss. Our study is therefore novel for (i) identifying crisis-inflicted perils associated with urban residency, especially for temporary employees, (ii) demonstrating the challenges that exist for breadwinners in the context of a community-oriented society and (iii) assessing the impact of mobility and teleworking on the socioeconomic resilience against the pandemic.====The following is the Supplementary material related to this article. ====
      ",COVID-19-associated income loss and job loss: Evidence from Indonesia,https://www.sciencedirect.com/science/article/pii/S1049007823000519,Available online 30 May 2023,2023,Research Article,2.0
"Hua Renhai,Liu Qingfu,Tse Yiuman,Yu Qin","School of Finance, Nanjing University of Finance and Economics, Nanjing, China,School of Economics, Fudan University, Shanghai, China,Yanqi Lake Beijing Institute of Mathematical Sciences and Applications, Beijing, China,Department of Finance and Legal Studies, University of Missouri - St. Louis, St. Louis, USA,School of Accounting, Nanjing University of Finance and Economics, Nanjing, China","Received 5 September 2022, Revised 8 May 2023, Accepted 14 May 2023, Available online 25 May 2023, Version of Record 4 June 2023.",https://doi.org/10.1016/j.asieco.2023.101632,Cited by (0),"This paper constructs a natural disaster risk index based on natural disaster keywords from news media that can reflect weather, crop diseases, epidemics, and other threats to agricultural prices in China. We then examine the response of agricultural futures returns to the change in natural disaster risk. We find that natural disaster risk has a significant positive impact on soybean, wheat, corn, and sugar futures returns during normal and bullish market conditions. We further investigate the moderating effect of policy intervention and show that the marginal effect of natural disaster risk on soybean futures returns (but not other agricultural futures) is influenced by policy intervention. These results indicate that the adjustment of natural disaster risk assessment will benefit portfolio management.",None,The impact of natural disaster risk on the return of agricultural futures,https://www.sciencedirect.com/science/article/pii/S1049007823000520,25 May 2023,2023,Research Article,3.0
"Zhao Jun,Dong Kangyin","School of Economics and Management, Beijing University of Chemical Technology, Beijing 100029, China,School of International Trade and Economics, University of International Business and Economics, Beijing 100029, China","Received 4 August 2022, Revised 4 May 2023, Accepted 23 May 2023, Available online 24 May 2023, Version of Record 30 May 2023.",https://doi.org/10.1016/j.asieco.2023.101634,Cited by (0),"The continuous introduction of environmental governance policies aims to control the deteriorating ecological environment, which has been highly concerned by scholars. To re-assess the regulation-haze nexus for the case of China, by incorporating the effect of human capital, this study first analyzes the channels through which environmental regulation (ER) influences haze emissions and then conducts a series of empirical checks on the regulation-haze nexus by using the provincial data covering 2003–2017. The empirical findings show that: (i) strengthened ER is not a valid strategy to alleviate haze pollution; (ii) the integration of enhancing environmental supervision and actively introducing talents can drastically mitigate haze emissions; and (iii) human capital has been established as the conduction path of ER affecting haze pollution; although ER can accelerate human capital accumulation, it cannot effectively solve haze emissions at present. Therefore, several targeted policy implications, such as combining multiple ER tools and gradually cultivating talents, are highlighted.",None,Is environmental regulation a powerful weapon to mitigate China’s PM,https://www.sciencedirect.com/science/article/pii/S1049007823000544,24 May 2023,2023,Research Article,4.0
"Cuberes David,Schmillen Achim,Teignier Marc","Department of Economics, Clark University, United States of America,World Bank, United States of America,Department of Economics, Universitat de Barcelona, Spain","Received 4 June 2021, Revised 28 March 2022, Accepted 4 April 2023, Available online 16 May 2023, Version of Record 31 May 2023.",https://doi.org/10.1016/j.asieco.2023.101615,Cited by (0),"We use microdata to calculate the gains of eliminating gender and ethnic labor market gaps in Malaysia for the period 2010–2017. We document significant gaps in terms of participation in the labor market and entrepreneurship, distinguishing between employers and self-employed. Female-male ratios are 64% for labor market participation, 82% for self-employment, and 32% for being employers. Across different age and ethnic groups, gender gaps in labor force participation are particularly pronounced for older workers and in entrepreneurship for Chinese workers. Our results indicate substantial income gains if gender and ethnic gaps were eliminated. Eliminating the entrepreneurship gender gaps increases income per capita by 6.54% in the long run. When we also include the employment gender gap, the long-run gains are 26.18%. The elimination of ethnic gaps could in the long run result in a smaller but still sizeable increase in income per capita of 11.5%.",None,The aggregate gains of eliminating gender and ethnic gaps in the Malaysian labor market,https://www.sciencedirect.com/science/article/pii/S1049007823000350,16 May 2023,2023,Research Article,5.0
"Su Jing,Jiang Jiaoliang,Zhang Bingbing,Cao Lijuan","School of economics and management, Wuhan University, No.299 Bayi Rd, Wuchang district, Wuhan 430061, PR China,School of Management, Xiamen University, No. 422 Siming South Road, Xiamen, Fujian 361005, PR China,School of Economics and Management, Nanjing Agricultural University, No.1 Weigang Road, Nanjing 210095, PR China,Jin Shanbao Institute for Agricultural & Rural Development, Nanjing Agricultural University, No.1 Weigang Road, Nanjing 210095, PR China","Received 30 September 2022, Revised 25 April 2023, Accepted 15 May 2023, Available online 16 May 2023, Version of Record 21 May 2023.",https://doi.org/10.1016/j.asieco.2023.101633,Cited by (0),"The impact of an ==== salary gap on corporate innovation is a topic that has attracted great interest. To enrich and expand research on this topic, this research aims to measure this impact from the perspective of the governance effect. The results show that a salary gap across industries significantly drives enterprise innovation at firms with higher agency costs. According to this result, reducing agency costs is the potential mechanism that drives this effect. In this way, this salary gap can drive enterprise innovation. Also, the results provide further evidence that the industry salary gap drives enterprise innovation. In addition, the driving effect of the industry salary gap on enterprise innovation is more significant in industries experiencing a recession and in enterprises with higher financial issues.",None,Industry salary gap incentive and enterprise innovation,https://www.sciencedirect.com/science/article/pii/S1049007823000532,16 May 2023,2023,Research Article,6.0
Bessho S.,"Graduate School of Economics, the University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113–0033, Japan","Received 15 September 2022, Revised 13 March 2023, Accepted 10 May 2023, Available online 11 May 2023, Version of Record 16 May 2023.",https://doi.org/10.1016/j.asieco.2023.101630,Cited by (0),"This study examines the political factors associated with the implementation of a benefit payment policy in Japan during the COVID-19 crisis. The Japanese government announced a universal cash payment program in April 2020, but the payment date differed across localities. This study estimates the correlation between this timing and local politicians’ characteristics, finding that local governments with mayors elected unopposed tended to start making payments comparatively early. As such, mayors elected uncontested may be able to mobilize resources within government offices to execute programs such as the Special Fixed Benefit program in Japan, which attracted public attention.","This study examines the political factors associated with the implementation of a benefit payment policy during the COVID-19 crisis in Japan. The COVID-19 crisis and related economic decline have posed enormous challenges to the economic, political, and institutional systems. As a part of the fiscal response, many countries adopted cash transfer policies to households, some of which were universal and unconditional, while others were not. The Japanese government employed universal ones to expedite implementation, but the time to pay the benefits was longer than expected and differed substantially across regions. This study examines the relationship between the timing of paying these benefits and political factors to understand how the government responded to the crisis and thus help policymakers prepare for future crises (====).====In particular, this study focuses on the implementation of the Special Fixed Benefit program, a universal cash payment program announced in April 2020 in Japan. This policy was decided by the central government and uniformly applied nationwide. The municipalities, the first tier of local government, which were responsible for the implementation of this program, faced huge administrative challenges, which led to differences in the starting dates of distributing the benefits (====). The first municipality started paying benefits in early May, but more than 10 % of municipalities had not yet started by early June. Therefore, the timing of the payments seems nearly random for researchers, who have thus regarded this setting as a natural experiment (====; ====; ====). This phenomenon is puzzling, considering that a universal cash payment has an advantage over selective benefits in that governments do not need information on income or assets of households and can distribute benefits quickly (====). Such timing differences were not observed in other countries that employed similar cash payment programs, including the United States, Israel, Singapore, South Korea, and Hong Kong. The possible reasons for this variation include technical factors (e.g., population size and information processing system) and the government’s disaster preparedness (====).====This study examines the relationship between the payment timing and characteristics of the politicians who could intervene in the policy implementation (i.e., mayors) because the Special Fixed Benefit program attracted the public’s attention. The amount of JPY 100,000 (approximately USD 950), which is nontaxable, is sizable and equal to approximately 42 % of the median monthly income of a full-time worker (====). Under such circumstances, mayors might exert their political power to reallocate the resources within municipal offices to pay the benefits earlier. As this depends on the characteristics of politicians, this study examines this hypothesis.====This study is related to the growing literature that explains the heterogeneity in the responses of governments to COVID-19. Some studies examine the relationship with the political regime, finding that more democratic governments take less stringent action and face higher infection rates (====, ====, ====), but that their policies tend to be more effective (====, ====).====Policy responses often rely on subnational-level governments, which creates regional heterogeneity,==== especially in the United States (====). During the COVID-19 crisis, states led by Republican governors and those with term limits were slower to adopt social distancing policies (====; ====).==== However, no such differences were observed in Canada (====, ====). Policy responses can be associated with elections. Incumbent politicians who can run for re-election and those whose election is sooner tend to implement less stringent restrictions (====).==== Businesses in electorally important regions can also receive more government funds under the U.S. Paycheck Protection Program (====).==== Even in China, politicians respond to citizens’ discontent on the Internet (====).====The results of this study suggest that local governments with mayors who held their position through an uncontested election tended to start making payments earlier than others. However, no correlation with the winning margin in the last election is detected. These results are comparable to the Japanese literature on uncontested, or “walk-over,” mayors. Studies of political competition have found that politicians who face more stringent competition perform better (====, ====, ====) and bring better economic and social consequences (====, ====, ====, ====).==== Studies of Japanese cases, however, often find that uncontested mayors perform better in fiscal terms (====, ====, ====). Their interpretation is that unopposed mayors are strong politicians and receive broad-based support from residents and government officers. Such strong political leadership might have thus been able to mobilize the resources within government offices to execute the program that attracted public attention.====The remainder of this paper is organized as follows. ==== presents the institutional background. ==== proposes the framework for our econometric specification. ==== presents the estimation results. ==== examines the yardstick hypothesis. ==== concludes.====.",Elections and COVID-19 benefit payments,https://www.sciencedirect.com/science/article/pii/S1049007823000507,11 May 2023,2023,Research Article,7.0
"Hornstein Abigail S.,Naknoi Kanda","Wesleyan University, USA,University of Connecticut, USA","Received 10 December 2021, Revised 30 March 2023, Accepted 10 May 2023, Available online 11 May 2023, Version of Record 17 May 2023.",https://doi.org/10.1016/j.asieco.2023.101629,Cited by (0),"How do foreign investors deviate from plans in response to new information? Prior literature shows that how utilized foreign direct investment (FDI) is affected by uncertainty depends on the type of FDI. We examine how utilized FDI differs from planned investments by studying the commitment ratio, defined as the ratio of the two FDI flows, in the context of China, Indonesia, the Philippines and Thailand over 1996–2013. First, we find that the commitment ratio exceeds 1 in China and Indonesia but is lower than 1 in the Philippines and Thailand. Second, we find a higher commitment ratio, which means investments are likely to be a larger fraction of what was proposed, when economic uncertainty regarding the destination country is reduced after a project is proposed and the destination environment is politically stable and financially open.",None,FDI commitments increase when uncertainty is resolved: Evidence from Asia,https://www.sciencedirect.com/science/article/pii/S1049007823000490,11 May 2023,2023,Research Article,8.0
"Wei Xiahai,Li Jianan,Liu Hongyou,Wan Jiangtao","Institute of Economic Development and Reform, Huaqiao University, China,School of Economics & WISE, Xiamen University, China,School of Physical Education & Sports Science, South China Normal University, China","Received 28 October 2022, Revised 17 April 2023, Accepted 1 May 2023, Available online 6 May 2023, Version of Record 11 May 2023.",https://doi.org/10.1016/j.asieco.2023.101622,Cited by (0),"We estimate the causal effects of ambient temperature on outdoor productivity, using the performance data of professional soccer players in the Chinese Super League (CSL) from 2014 to 2018. We exploit exogenous variation in the players’ exposure to temperature by matching it with hourly stadium temperature at the time of kick-off. We find that temperature has an inverted-U shaped relationship with players’ physical performance, and high temperature has a sizeable adverse impact on the cognitive performance. Our results are robust while considering alternative measures of productivity, potential avoidable behaviors, various playing styles, and possible climate adaptations. Furthermore, we focus on the economic consequences of reducing players’ productivity by investigating the adverse impacts of high-temperature exposure on social media attention and players’ human capital accumulation. Our findings suggest that the temperature profoundly impacts on the careers of outdoor workers both in the short- and long-term.",None,Temperature and outdoor productivity: Evidence from professional soccer players,https://www.sciencedirect.com/science/article/pii/S1049007823000428,6 May 2023,2023,Research Article,9.0
"Du Yan,Yan Jie,Cao Fangzhou,Li Yifei,Zhou Mao","School of Public Finance and Taxation, Southwestern University of Finance and Economics, 555 Liutai Avenue, Wenjiang District, Chengdu, Sichuan 611130, China,School of International Business, Southwestern University of Finance and Economics, 555 Liutai Avenue,Wenjiang District, Chengdu, Sichuan 611130, China,Journal of Management World, 4th Floor, Building 1, No. 2 Courtyard, Jintaili, Hongmiao, Chaoyangmen, Beijing 100026, China","Received 12 April 2022, Revised 25 February 2023, Accepted 20 April 2023, Available online 26 April 2023, Version of Record 11 May 2023.",https://doi.org/10.1016/j.asieco.2023.101621,Cited by (0),"This paper analyzes the impact of China’s higher education expansion on domestic value added in exports. To be specific, we firstly construct a nested ==== model, with import inputs being complementary to skilled labors, and substitutable to unskilled labors. By exploiting China’s higher education expansion as a quasi-natural experiment, this paper accurately examines the causal effect of the human capital expansion on the domestic value-added in exports. The results show that human capital expansion has negative effects on the domestic value-added in exports, and this result is driven by import inputs increase and processing trade engagement. We also find that the effect is more prominent for processing trade, foreign-invested firms, high-tech firms and disciplines of science and engineering.",None,Higher education expansion and domestic value added in exports: Theory and evidence from China,https://www.sciencedirect.com/science/article/pii/S1049007823000416,26 April 2023,2023,Research Article,10.0
