name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
"Barriga Alicia,Ferguson Neil,Fiala Nathan,Leroch Martin","University of Puerto Rico, Mayagüez, and Ecuadorian Secretariat of Higher Education, Science, Technology, and Innovation, 259 Blvd. Alfonso Valdes Cobian, Edificio Pinero 135, Mayagüez, PR 00681,International Security and Development Center,University of Connecticut, Makerere University and RWI – Leibniz Institute for Economic Research,Pforzheim University","Received 29 August 2022, Revised 6 June 2023, Accepted 8 June 2023, Available online 9 June 2023.",https://doi.org/10.1016/j.socec.2023.102050,Cited by (0),"There is growing evidence that ethnic divisions and conflict experiences affect social capital and economic interactions in both positive and negative ways. We conduct a set of experiments measuring social capital in Kenya between the two largest ethnic groups, the Luo and Kikuyu, who experienced violence in the 2007 and 2008 post-electoral riots. Our findings indicate trust, coordination, altruism, and cooperation between these groups are not affected by priming people on the ethnic identity of their partners or on the salience of election conflict. Our results suggest electoral violence does not necessarily lead to changes in economic behavior between ethnic groups and that cooperative failure across groups may be easily overstated or might have other mechanisms. These findings are consistent with recent evidence suggesting that experience of electoral violence in Kenya does not correlate with laboratory behavior between the Luo and Kikuyu.",None,Ethnic Cooperation and Conflict in Kenya,https://www.sciencedirect.com/science/article/pii/S2214804323000769,Available online 9 June 2023,2023,Research Article,0.0
"Cheng Haotian,Zhang Tong,Lambert Dayton M.,Feuz Ryan","School of Natural Resources and the Environment, University of Arizona, Tucson, AZ 85721, USA,National School of Agricultural Institution and Development, South China Agricultural University, Guangdong, China,Department of Agricultural Economics, Oklahoma State University, Stillwater, OK, 74078, USA,Department of Applied Economics, Utah State University, Logan, UT 84322, USA","Received 3 February 2023, Revised 10 May 2023, Accepted 2 June 2023, Available online 4 June 2023, Version of Record 6 June 2023.",https://doi.org/10.1016/j.socec.2023.102049,Cited by (0),"The Best-Worst Scaling (BWS) case III method, also called the BWS ‘multi-profile case.’ has been widely used to characterize survey respondent preferences for market goods. The BWS method is similar to conjoint analysis methods in that respondents select from a set of hypothetical item profiles with different attribute levels. Unlike conjoint methods, which allow respondents to select their best/most preferred profile, the BWS case III method asks respondents to select ‘best’ and ‘worst’ profiles in each choice set. This study compares consumer willingness to pay (WTP) estimates from conjoint and BWS case III survey formats. Data on consumer preferences for single-use eating-ware products made from biobased materials were collected. Results suggest that for the most preferred attribute levels, WTPs estimates are similar in magnitude and consistent for signs across methods. For least-preferred attributes, WTP estimates from the conjoint method are higher than those of the BWS method. However, the BWS WTP estimates have smaller confidence intervals.",None,An empirical comparison of conjoint and best-worst scaling case III methods,https://www.sciencedirect.com/science/article/pii/S2214804323000757,4 June 2023,2023,Research Article,1.0
"Tzikas Alexandros,Koulierakis George","Department of Public Health Policy, University of West Attica, 196 Alexandras Avenue, 115 21, Athens, Greece","Received 21 March 2021, Revised 23 May 2023, Accepted 30 May 2023, Available online 30 May 2023, Version of Record 2 June 2023.",https://doi.org/10.1016/j.socec.2023.102046,Cited by (0),"The COVID-19 pandemic has posed the greatest threat to global health over the last three years. Due to the temporary shortage of appropriate vaccines, a systematic change in human behaviour is necessary to keep the spread of the virus under control, increasing the quality of basic hygiene practices, such as systematic hand hygiene. Nudges are increasingly used in public health interventions to promote critical preventive hygiene behaviours. This review aimed to investigate the effect and the characteristics of nudges on hand hygiene, as a COVID-19 preventive measure. We systematically reviewed the relevant literature from January 2008 to November 2020. A total of 15 articles met the inclusion criteria. The findings of this review showed that most of the nudging interventions had a positive effect on hand hygiene. Nudges should be included in the existing and future public health interventions to prevent the spread of COVID-19 and future pandemics, rather than being an alternative and unconventional tool for public health policies.","On March 11, 2020, the World Health Organization (WHO) declared the pandemic of the new coronavirus COVID-19 (====). The coronavirus disease is a highly infectious disease and has spread very fast all over the world. Due to the temporary shortage of appropriate vaccines at the early stages of the pandemic, a systematic change in human behaviour was necessary to keep the spread of COVID-19 under control, increasing the quality of basic hygiene practices, such as systematic hand hygiene (====).====The COVID-19 pandemic is a strong reminder that one of the most important, simplest and cost–effective ways to reduce the spread of the virus is hand hygiene. Hand hygiene is referring to as any action of hand cleansing by either washing them with soap and water, or by using an alcohol-based hand sanitising gel, following the appropriate hand- washing practices (====). Hand hygiene is a preventive behaviour, which is determined by a range of psychological, social, emotional, environmental and habitual factors (====).====Hand hygiene is especially important when done at the right time, with the right tools (soap and water or with sanitiser gel) and with the appropriate technique. The World Health Organization (WHO) recommends continuous hand hygiene and regular cleaning, as these kill the viruses that may be on the hands (==== showed that frequent hand- washing has a large and significant protective effect against a pandemic influenza. Increased hand hygiene is associated with lower hospitalisation rates (====). It also protects against a number of other diseases such as the common flu, diarrhoea (====) and pneumonia (====). A meta-analysis in 2018 states that hand-washing with soap and water can reduce diarrhoea by 23% - 48% (====) and respiratory infections by 21% −23% (====).====).====Traditional approaches to promoting hand hygiene, including providing information about the risks of poor hygiene, have shown limited effectiveness. An effective behaviour change requires more than just educational and informational campaigns (====). Nudges received considerable attention in recent years and contributed to several fields of public health, one of those is hand hygiene (====).====The nudge concept was developed by ==== in a seminal book for public policy==== and the public perception of behavioural economics. A nudge is “any aspect of the choice architecture that alters people's behaviour in a predictable way without forbidding any options or significantly changing their economic incentives” (====, p. 8).====Researchers and policy-makers are increasingly recognising the importance of nudges in decision-making, and the ability to reap significant benefits through relatively small changes in human decisions (====). Nudges have been widely used in conducting experiments and research in the context of improving decision-making. Some of these areas of research are energy consumption (====), environmental protection (====) and health (====; ====; ====).====The current systematic review aimed at investigating the effect and the characteristics of nudges on hand hygiene, as a COVID-19 preventive measure.",A systematic review of nudges on hand hygiene against the spread of COVID-19,https://www.sciencedirect.com/science/article/pii/S2214804323000721,30 May 2023,2023,Research Article,2.0
Amegashie J．Atsu,"Department of Economics, University of Guelph** and CESifo, Munich, Guelph, Ontario N1G 2W1, Canada","Received 2 December 2022, Revised 3 April 2023, Accepted 20 May 2023, Available online 22 May 2023, Version of Record 24 May 2023.",https://doi.org/10.1016/j.socec.2023.102044,Cited by (0),", then both equilibria hold in the sense that the high-price firm does not lose customers, although its competitor charges a lower price. If the firms can price discriminate, none of these equilibria will hold. The partial integration equilibrium depends on how the prejudice of the majority is modelled.",None,Market segregation in the presence of customer discrimination,https://www.sciencedirect.com/science/article/pii/S2214804323000708,22 May 2023,2023,Research Article,3.0
"Baum Charles L.,Owens Mark F.","Department of Economics and Finance, Middle Tennessee State University, P.O. Box 27, Murfreesboro, TN 37129, United States,Department of Economics and Finance, Penn State Behrend, 253 Burke Center, 5101 Jordan Road, Erie, PA 16563, United States","Received 29 December 2022, Revised 18 April 2023, Accepted 20 May 2023, Available online 21 May 2023, Version of Record 27 May 2023.",https://doi.org/10.1016/j.socec.2023.102043,Cited by (0),"We investigate a quasi-randomized field experiment to determine the effectiveness of door-to-door campaigning by a candidate on outcomes in a general election. The candidate campaigned door-to-door in quasi-randomly-selected voting precincts, which represent the treatment group. Precincts in which the candidate did not campaign door-to-door are the control group. We utilize detailed precinct-level demographic characteristics, vote totals for the candidate in the prior election, and vote totals for a candidate for another office that appeared on the same ballots in both elections. This information allows us to control for various factors using difference-in-difference and first difference regression models to account for differences between treatment and control groups. We find that door-to-door campaigning by the candidate increases the candidate's vote by 3 percentage points and the vote margin by 6 percentage points in a two-candidate race.",None,Does personal door-to-door campaigning influence voters? Evidence from a field experiment,https://www.sciencedirect.com/science/article/pii/S2214804323000691,21 May 2023,2023,Research Article,4.0
"Burlacu Sergiu,Mani Anandi,Ronzani Piero,Savadori Lucia","FBK-IRVAPP, Italy,Blavatnik School of Government, University of Oxford, United Kingdom,International Security and Development Center, Berlin, Germany,University of Trento, Italy","Received 22 September 2022, Revised 27 April 2023, Accepted 29 April 2023, Available online 18 May 2023, Version of Record 25 May 2023.",https://doi.org/10.1016/j.socec.2023.102030,Cited by (0),We examine the hypothesis that low parental investments in children may be a consequence of the adverse ,None,The preoccupied parent: How financial concerns affect child investment choices,https://www.sciencedirect.com/science/article/pii/S2214804323000563,18 May 2023,2023,Research Article,5.0
"Tan Jonathan H W,Bolle Friedel","Department of Economics, School of Social Sciences, Nanyang Technological University, 48 Nanyang Avenue, 639818, Singapore,European University Viadrina, Frankfurt, (Oder), Germany","Received 16 November 2022, Revised 5 May 2023, Accepted 13 May 2023, Available online 18 May 2023, Version of Record 1 June 2023.",https://doi.org/10.1016/j.socec.2023.102034,Cited by (0),"We experimentally analyze group-specific social preferences and dynamic strategies in finitely repeated games where helping partners hurts rivals. Cooperation with partners decreases when it inflicts losses on rivals, even when it is socially efficient. Cooperation decreases with rivalry, while it increases with synergy and previous cooperation by partners but not rivals. Our structural model of bounded rationality estimates preferences and strategies. It shows that participants anticipate future payoffs from partner cooperation and punish partner defection with unyielding defection, while further averting intergroup conflict due to altruism towards rivals. Intragroup cooperation and intergroup conflict weaken over time through these two channels.",None,Intragroup punishment and intergroup conflict aversion weaken intragroup cooperation in finitely repeated games,https://www.sciencedirect.com/science/article/pii/S2214804323000605,18 May 2023,2023,Research Article,6.0
"Bajzíková Stanislava,Cingl Lubomír","Department of Economics, Faculty of Economics, Prague University of Economics and Business, Nám. W. Churchilla 4, Prague 130 67, Czech Republic,Department of Managerial Economics, Faculty of Business Administration, Prague University of Economics and Business, Nám. W. Churchilla 4, Prague 130 67, Czech Republic","Received 6 August 2021, Revised 6 May 2023, Accepted 8 May 2023, Available online 18 May 2023, Version of Record 18 May 2023.",https://doi.org/10.1016/j.socec.2023.102032,Cited by (0),"We apply a multiple-price list approach to the measurement of discrimination in an effort task: we elicit willingness to have an ethnic minority member in a team. We use an example of the Roma in the Czech Republic and test the measure on a sample of 100 students from the majority population. We also discuss the role of statistical discrimination, taste-based discrimination, and the contact hypothesis. Our results show small but significant mistreatment of the Roma. The choice to (not) have a Roma person in a team seems to be driven by tastes, while the role of statistical discrimination is rather limited.",None,Measuring stereotypes in effort tasks: A multiple-price list approach,https://www.sciencedirect.com/science/article/pii/S2214804323000587,18 May 2023,2023,Research Article,7.0
"Friehe Tim,Do Vu Mai Linh","Public Economics Group (University of Marburg), Am Plan 2, 35037 Marburg, Germany,CESifo, Munich, Germany,EconomiX, Paris, France","Received 11 May 2022, Revised 22 April 2023, Accepted 24 April 2023, Available online 11 May 2023, Version of Record 11 May 2023.",https://doi.org/10.1016/j.socec.2023.102027,Cited by (0),"This paper analyzes the empirical relationship between crime victimization and interpersonal trust. Using German data from a victimization survey of the German Federal Criminal Police Office, we find a robust and economically meaningful negative association between trust level and exposure to the crime types considered (robbery, burglary, theft, and physical violence). The finding suggests additional repercussions from crime and may motivate law enforcement reform to remedy the adverse effects of lower trust.",None,Do crime victims lose trust in others? Evidence from Germany,https://www.sciencedirect.com/science/article/pii/S2214804323000538,11 May 2023,2023,Research Article,8.0
"Traub Stefan,Schwaninger Manuel,Paetzel Fabian,Neuhofer Sabine","Department of Economics, Helmut-Schmidt-University Hamburg, Germany,Institute for Social Sciences, University of Oldenburg, Oldenburg, Germany,Department of Economics, Clausthal University of Technology, Clausthal, Germany,Institute for Advanced Studies, Vienna, Austria","Received 22 January 2023, Revised 21 April 2023, Accepted 26 April 2023, Available online 6 May 2023, Version of Record 24 May 2023.",https://doi.org/10.1016/j.socec.2023.102028,Cited by (0),"We utilize a modified dictator game to analyze whether and how information about the need of recipients affects dictator giving behavior. Need information is presented as objective information about the recipients’ living circumstances (income, public transfers, and ==== to the lab) and subjective information about the recipients’ self-assessment of their need (stated need). The results show that information per se does not increase dictator giving. On average, dictator giving is need sensitive and acknowledges if objective and subjective needs complement each other. Classifying dictators according to their conditional transfers yields that 139 of the 246 (57%) dictators are need sensitive.",None,Evidence on need-sensitive giving behavior: An experimental approach to the acknowledgment of needs,https://www.sciencedirect.com/science/article/pii/S221480432300054X,6 May 2023,2023,Research Article,9.0
