name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
"D’Amico Stefania,King Thomas B.","Federal Reserve Bank of Chicago, 230 S La Salle St, Chicago, 60604, IL, US","Received 27 February 2022, Revised 6 June 2023, Accepted 6 June 2023, Available online 10 June 2023.",https://doi.org/10.1016/j.jmoneco.2023.06.001,Cited by (0),"Applying sign restrictions to measures of expectations in a VAR, we quantify the economic effects of imperfectly and perfectly anticipated monetary policy innovations—the type of shocks induced by partially and fully credible forward guidance (FG). We find that fully credible FG one-year ahead has large near-term effects on prices and real activity, but, consistent with the forward guidance puzzle, these effects do not grow much larger as the FG horizon extends into the future. We also estimate that anticipated policy innovations are very noisy. At the one-year horizon, over 70 percent of the monetary-policy signal consists of noise, and the prevalence of noise increases at longer horizons. FG subject to this level of noise would be only partially credible and have significantly smaller macroeconomic effects.",None,What Does Anticipated Monetary Policy Do?,https://www.sciencedirect.com/science/article/pii/S0304393223000685,Available online 10 June 2023,2023,Research Article,0.0
"Graf von Luckner Clemens,Reinhart Carmen M.,Rogoff Kenneth","Sciences Po, Department of Economics, Paris, France,Harvard University, Harvard Kennedy School of Government, Cambridge, MA, USA,Harvard University, Department of Economics, Cambridge, MA, USA","Received 23 December 2022, Revised 27 May 2023, Accepted 29 May 2023, Available online 1 June 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.015,Cited by (0),This paper employs high frequency transactions data on the world's two oldest and most extensive centralized peer-to-peer ,None,Decrypting new age international capital flows,https://www.sciencedirect.com/science/article/pii/S0304393223000673,Available online 1 June 2023,2023,Research Article,1.0
"Miranda-Pinto Jorge,Silva Alvaro,Young Eric R.","Central Bank of Chile and University of Queensland, Australia,University of Maryland - College Park, United States,University of Virginia and Federal Reserve Bank of Cleveland, United States","Received 9 May 2023, Accepted 10 May 2023, Available online 13 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.014,Cited by (0),"We study the network origins of business cycle asymmetries using cross-country and administrative firm-level data. At the country level, we document that countries with a larger number of non-zero intersectoral linkages (denser networks) display a more negatively skewed cyclical component of output. At the firm level, we find that firms with a larger number of suppliers and customers (degrees) display a more negatively-skewed distribution of their output growth. To rationalize these findings, we construct a multisector model with input-output linkages and show that the relationship between output skewness and network density naturally arises once we consider non-linearities in production. In an economy with low production flexibility (inputs are gross complements), denser production structures imply that relying on more inputs becomes a risk that further amplifies the effects of negative productivity shocks. The opposite holds if firms display high production flexibility (inputs are gross substitutes): having more inputs to choose from becomes an opportunity to diversify the effects of negative productivity shocks. We calibrate the model using our rich firm-to-firm network Chilean data and show that more connected firms experience larger declines in output in response to a COVID-19 shock, consistent with the data. We also show that, as in the data, the cross-sectional distribution of output growth in the model displays a fatter left tail during downturns. The previous result is shaped by the interplay between production complementarities and network interconnectedness, rather than by the asymmetry of the shocks. The size of the shock determines the strength of the relationship between degrees and output decline, which highlights the importance of non-linearities and the limitations of local approximations.",None,Business cycle asymmetry and input-output structure: The role of firm-to-firm networks,https://www.sciencedirect.com/science/article/pii/S030439322300065X,Available online 13 May 2023,2023,Research Article,2.0
"de Groot Oliver,Haas Alexander","University of Liverpool & CEPR, Chatham Rd, L69 7ZH, UK,University of Oxford, Manor Rd, OX1 3UQ, UK,DIW Berlin, Germany","Received 27 January 2022, Revised 5 May 2023, Accepted 5 May 2023, Available online 7 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.011,Cited by (0),"Negative policy rates can convince markets that deposit rates will remain lower-for-longer, even when current deposit rates are constrained by zero. This is the signalling channel of negative ====. We analyse the optimality and effectiveness of negative rates in the context of this novel transmission channel. In a stylized model, we prove two necessary conditions for optimality: time-consistency and a preference for policy smoothing. In an estimated model, we show the signalling channel dominates banks’ costly interest margin channel. However, the effectiveness of negative rates depends sensitively on the degree of policy inertia, level of reserves, and ZLB duration.",None,The signalling channel of negative interest rates,https://www.sciencedirect.com/science/article/pii/S0304393223000636,Available online 7 May 2023,2023,Research Article,3.0
"Kuhn Moritz,Luo Jinfeng,Manovskii Iourii,Qiu Xincheng","University of Bonn, Department of Economics,Lingnan University, Department of Economics,University of Pennsylvania, Department of Economics","Received 26 April 2023, Accepted 2 May 2023, Available online 5 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.001,Cited by (0),"The production processes at many firms rely on a highly choreographed and interdependent network of workers performing specialized jobs. We designed and implemented a targeted employer survey to measure the extent of coordination in work processes. We link this firm-level coordination measure to administrative data and find that firms with a more coordinated work process are more productive, pay higher wages, and experience lower worker turnover. Yet, these firms suffer more severe negative consequences from unexpected worker absences and adopt various strategies to mitigate such risk, the reliance on which we document. We also find that more coordinated employers suffer worse consequences of negative aggregate shocks. Finally, we discuss policies that may encourage firms to adopt more productive coordinated work processes by increasing the resilience of coordinated employers to negative idiosyncratic or aggregate shocks.",None,Coordinated firm-level work processes and macroeconomic resilience,https://www.sciencedirect.com/science/article/pii/S0304393223000454,Available online 5 May 2023,2023,Research Article,4.0
"Ayerst Stephen,Ibrahim Faisal,MacKenzie Gaelan,Rachapalli Swapnika","European Department, International Monetary Fund, 3001 11th ST NW Unit 3, Washington, 20001, DC USA,Department of Economics, University of Toronto, 150 St. George St., Toronto, M5S 3G7, ON, Canada,International Economic Analysis Department, Bank of Canada, 234 Wellington St. W, Ottawa, K1A 0G9, ON, Canada,Sauder School of Business, University of British Columbia, 2053 Main Mall, Vancouver, V6T 1Z2, BC, Canada","Received 29 April 2023, Accepted 2 May 2023, Available online 5 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.002,Cited by (1), strategy to establish that increases in embodied technology imports lead to increased innovation and knowledge diffusion in sectors within importing countries. Effects are substantially larger for knowledge-weighted imports of embodied technology.,None,Trade and diffusion of embodied technology: an empirical analysis,https://www.sciencedirect.com/science/article/pii/S0304393223000478,Available online 5 May 2023,2023,Research Article,5.0
"Jia Chengcheng,Wu Jing Cynthia","Federal Reserve Bank of Cleveland, United States,University of Notre Dame and NBER, United States","Received 28 November 2022, Revised 2 May 2023, Accepted 3 May 2023, Available online 5 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.010,Cited by (0),"We study the implications of average inflation targeting (AIT). AIT improves the inflation-output trade-off when the private sector believes the central bank’s announcement. Ex post, the central bank has the incentive to implement inflation targeting instead to maximize social welfare. Next, we examine whether and how the central bank can convince the private sector, and find ambiguous communication helps the central bank gain credibility and improve welfare. These results apply to several key aspects of AIT announcement and do not rely on specific modeling assumptions.",None,Average inflation targeting: Time inconsistency and ambiguous communication,https://www.sciencedirect.com/science/article/pii/S0304393223000594,Available online 5 May 2023,2023,Research Article,6.0
"Andrade Philippe,Gautier Erwan,Mengus Eric","Federal Reserve Bank of Boston United States,Banque de France, France,HEC Paris, France and CEPR, London, UK","Received 8 July 2022, Revised 28 April 2023, Accepted 1 May 2023, Available online 4 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.007,Cited by (0),"Using survey data on French households over the 2004–2018 period, we provide new evidence on the role of households’ inflation expectations for durable spending decisions. A large share of households expects prices to remain stable instead of increasing. This share accounts for 75% of fluctuations in the average inflation expectation. Households expecting stable prices have a lower propensity to buy ==== than those expecting positive inflation. In contrast, differences across households expecting positive inflation are associated with insignificant differences in durable consumption decisions. We discuss some policy implications.",None,What matters in households’ inflation expectations?,https://www.sciencedirect.com/science/article/pii/S0304393223000508,Available online 4 May 2023,2023,Research Article,7.0
"Pellet Thomas,Tahbaz-Salehi Alireza","Department of Economics, Northwestern University, 2211 Campus Drive, Evanston IL 60208, USA,Kellogg School of Management, Northwestern University, 2211 Campus Drive, Evanston IL 60208, USA,Center for Economic Policy Research, 33 Great Sutton Street, London EC1V 0DX, UK","Received 2 May 2023, Accepted 3 May 2023, Available online 4 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.008,Cited by (0),"This paper studies a production network model with quantity rigidities and informational frictions, where (i) firms may be restricted in how effectively they can adjust (some or all of) their ==== quantities in response to changes in the economic environment and (ii) they need to choose their quantities under incomplete information about the realizations of shocks. Our characterization results show that these two frictions lead to a reduction in aggregate output, as firms may find it optimal to rely more heavily on less volatile suppliers, even if it comes at the cost of forgoing more efficient ones. We also find that the interaction between informational frictions and quantity rigidities dampens the impact of productivity and aggregate demand shocks on aggregate output, while increasing the inflationary effects of positive shocks to nominal aggregate demand. The magnitudes of these effects depend on the distribution of the two frictions over the production network.",None,Rigid production networks,https://www.sciencedirect.com/science/article/pii/S030439322300051X,Available online 4 May 2023,2023,Research Article,8.0
"Luo Shaowen,Villar Daniel","Department of Economics, Virginia Tech, Blacksburg, VA 24061, USA,Division of Research and Statistics, Federal Reserve Board of Governors, 20th & Constitution Ave. NW, Washington, DC 20551, USA","Received 29 April 2023, Accepted 2 May 2023, Available online 4 May 2023.",https://doi.org/10.1016/j.jmoneco.2023.05.004,Cited by (0),"Using disaggregated industry-level data, this paper empirically evaluates predictions for the cross-sectional price change distribution made by input-output models with ====. The response of prices to shocks is found to be consistent with the price sensitivities predicted by the input-output model. Moreover, moments of the sectoral price change distribution vary over time in response to the evolution of the network structure. Finally, through a quantitative analysis, demand and supply shocks are disentangled during the pandemic period. Counterfactual analyses show that sectoral supply shocks, aggregate demand shocks and the production network structure contributed significantly to the inflation surge in 2021–2022.",None,Propagation of shocks in an input-output economy: Evidence from disaggregated prices,https://www.sciencedirect.com/science/article/pii/S030439322300048X,Available online 4 May 2023,2023,Research Article,9.0
