name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
"Ahmed Rizwan,Chen Yawen,Benjasak Chonlakan,Gregoriou Andros,Nahar Falah Alrwashdeh Nusiebeh,Than Ei Thuzar","Birmingham Business School, University of Birmingham, UK,University of Cardiff, Cardiff Business School, UK,School of Management, Walailak University, Thailand,Brighton Business School, UK,University of Portsmouth, UK,Cardiff Metropolitan University, UK","Received 16 April 2020, Revised 20 August 2020, Accepted 19 September 2020, Available online 28 September 2020, Version of Record 8 February 2023.",https://doi.org/10.1016/j.qref.2020.09.003,Cited by (1),"Several interdisciplinary studies based on 2007–2008 global financial crisis to measure the causes of crisis, for e.g. firm value, stock ",None,The performance of bidding companies in merger and acquisition deals: An empirical study of domestic acquisitions in Hong Kong and Mainland China,https://www.sciencedirect.com/science/article/pii/S1062976920301137,28 September 2020,2020,Research Article,0.0
"Mirza Nawazish,Rahat Birjees,Naqvi Bushra,Rizvi Syed Kumail Abbas","Excelia Business School, La Rochelle, France,Lahore University of Management Sciences Lahore, Pakistan,Lahore School of Economics Lahore, Pakistan","Received 26 May 2020, Revised 23 August 2020, Accepted 19 September 2020, Available online 22 September 2020, Version of Record 8 February 2023.",https://doi.org/10.1016/j.qref.2020.09.002,Cited by (83),"The massive contagion of new coronavirus (Covid-19) has disrupted many businesses across the European Union. This has resulted in an immense drag on the revenues and cash flows that may lead to a significant increase in corporate bankruptcies. In this paper, we investigate the impact of Covid-19 on the solvency profile of the firms in the EU member states. We introduce multiple stress scenarios on the non-financial listed firms and report a progressive increase in the probability of default, an increase of debt payback, and declining coverages. Our results indicate that the solvency profile of all firms deteriorates. The manufacturing, mining, and retail sector are most vulnerable to a decline in market capitalization and a reduction in sales revenues. The paper also examines the possible policy interventions to sustain solvency at a pre Covid-19 level. Our findings suggest that for a moderate deterioration in economic conditions, a tax deferral is sufficient. However, in the event of exacerbating business shocks, there should be hybrid support through debt and equity to avoid a meltdown. This study has important implications for policymakers, corporate managers, and creditors.","The new coronavirus (Covid-19) has exposed vulnerabilities in the corporate sector and brought forward new sets of challenges. The policymakers are facing a daunting task of supporting health care and unemployment along with interventions in economic and ==== to prevent an economic shutdown. The businesses are trying to adjust to the changing paradigm of customers and suppliers while attempting to resist the operational and financial challenges. However, despite this agility from the public and private sector, Covid-19 is putting pressure on revenues, earnings, cash flows, and solvency position of the companies.====The European Union (EU) has been severely affected by the outbreak of Covid-19, with around 15 out of 27 member countries reporting more than ten thousand infected cases.==== The reported mortality count of four member states (Spain, Italy, France, and Germany) is 31 % of the global death toll.==== There have been stringent lockdowns with restrictive movements and business closures across the EU for weeks. This has led to stalled production, drag on-demand, and ultimately revenue contraction for the companies. Consequently, the EU has experienced unprecedented economic costs compared to any other region (====). There has been a growing literature that has documented the implications of Covid-19 on financial markets and participants. ==== and ==== documented the investment styles and volatility timing of funds managers during the pandemic. ==== explored the market reaction towards the outbreak of Covid-19, while ==== highlighted industry-wise response to the spread of new coronavirus.====Such a rapidly deteriorating situation poses severe challenges for liquidity and solvency of the businesses and warrants interventions by sponsors or policymakers. The impact of Covid-19 on liquidity and possible policy intervention was recently studied by ====. They suggested that in distressed scenarios, the average firm in their global sample will need to seek a liquidity recourse. However, the study’s focus was entirely on short term liquidity management, and it did not examine the possible influence on the long term solvency of these firms, which is at least equally likely if not more and even more damaging. Given this context, it is timely to investigate how this pandemic may impair the financial soundness of the corporate sector and what could be the impact of possible responses on the solvency position.====).====Our study has multiple contributions. This is the first one to assess the impact of Covid-19 on the solvency of European firms. Just like (====), we focus on a micro viewpoint of a specific risk. However, our methodology is much broader that incorporates both market and accounting based estimates of default. Moreover, most of the prior distress assessments using stress testing like (====; ====; ====; ====; ====) are in the context of banks. Therefore, our perspective of stress testing for the solvency of non-financial firms is a unique and significant value addition in the body of related literature. The rest of the paper is organized as follows. Section ==== outlines our empirical strategy. Section ==== will highlight data and stress scenarios, Section ==== will present results and discussion, while Section ==== will conclude.",Impact of Covid-19 on corporate solvency and possible policy responses in the EU,https://www.sciencedirect.com/science/article/pii/S1062976920301125,22 September 2020,2020,Research Article,1.0
"Pham Thu Anh Thi,Nguyen Thong Trung,Nasir Muhammad Ali,Duc Huynh Toan Luu","School of Banking, University of Economics Ho Chi Minh City, Viet Nam,Leeds Beckett University, United Kingdom","Received 29 April 2020, Revised 15 July 2020, Accepted 18 July 2020, Available online 22 July 2020, Version of Record 8 February 2023.",https://doi.org/10.1016/j.qref.2020.07.010,Cited by (12),"In the context of the debate on Exchange Rate Pass-Through (ERPT) under inflation targeting regimes, this study analysis the ERPT in inflation targeting and non-targeting economies of ASEAN-5. Employing a ==== framework on data from 2000: Q1 to 2019 Q:4, our key empirical findings suggest that the exchange rate shocks do lead to significant changes in inflation. There is also prima facie evidence of asymmetric effects of exchange rate shocks in Singapore, Philippines, and Indonesia and the results varied between and among inflation targeting and non-targeting countries. The results also varied in the short and long-terms, whereas in the long-run, asymmetric effects of real exchange rate persist only for Indonesia and Singapore. Regardless of the inflation targeting or non-targeting regime, oil price shocks are found to be the most crucial factor with the largest impact on inflation in ASEAN-5 economies. Money supply and output growth also found to have some effect on inflation, though the results varied among countries. Our findings have profound implication for monetary policy formulation and price stability.",None,Exchange rate pass-through: A comparative analysis of inflation targeting & non-targeting ASEAN-5 countries,https://www.sciencedirect.com/science/article/pii/S1062976920300910,22 July 2020,2020,Research Article,2.0
"Le Thi Ngoc Lan,Nasir Muhammad Ali,Huynh Toan Luu Duc","Queensland University of Technology, Australia,Leeds Beckett University, United Kingdom,University of Economics Ho Chi Minh City, Viet Nam","Received 15 May 2020, Revised 4 June 2020, Accepted 5 June 2020, Available online 20 June 2020, Version of Record 8 February 2023.",https://doi.org/10.1016/j.qref.2020.06.001,Cited by (14),"This study examines whether the capital requirements under Basel III are effective in enhancing the profitability and efficiency of the banking sector. Drawing on a sample of the largest commercial banks from the UK and Australia over the period from 2000 to 2019, we employ the FMOLS (Fully Modified OLS) and DOLS (Dynamics OLS) estimation approaches. The results indicate that stricter capital ratio increases operating earnings, whist it fails to improve bank profitability and bank efficiency. Our findings cast doubts on the effectiveness of tax policy in the observed banks. Further empirical testing shows an optimal capital structure in which the banks can achieve the best performance. Interestingly, these optimal ratios are broadly in line with the minimum common equity ratio required under Basel-III. The macroeconomic outlook also contributes to the performance of British and Australian banks. British banks are found to perform well under inflationary pressure and higher policy rates, contrary to the Australian banks whose performance deteriorates. Our results hold across different samples, efficiency, and profitability measures and various estimation models.",None,Capital requirements and banks performance under Basel-III: A comparative analysis of Australian and British banks,https://www.sciencedirect.com/science/article/pii/S1062976920300740,20 June 2020,2020,Research Article,3.0
"Nasir Muhammad Ali,Morgan Jamie","Leeds, Business School, Leeds Beckett University, United Kingdom","Received 3 May 2020, Revised 14 May 2020, Accepted 15 May 2020, Available online 3 June 2020, Version of Record 8 February 2023.",https://doi.org/10.1016/j.qref.2020.05.007,Cited by (2),"This brief paper sets out an underappreciated practically oriented paradox and its methodological implications. The paradox is highly relevant to central banks and any organization or agent that seeks to match or anticipate central bank policy, such as other actors in ==== and ====. Specifically, there is a divergence between the statistical requirement of stationarity and any macroeconomic policy objective that involves a target that takes a consistent and positive value. This is not merely an esoteric issue of interest to statisticians. It has fundamental implications for policy contexts. When achieved, any policy target, such as ==== targeting, will necessarily result in a unit root. As such, an unintended consequence of successful policy is non-stationarity, which means policy is permanently seeking to actualise conditions that are at cross-purposes with typical analytical statistical requirements. The point and its significance are illustrated beginning with a simple AR model and artificial inflation dataset.",None,Paradox of stationarity? A policy target dilemma for policymakers,https://www.sciencedirect.com/science/article/pii/S1062976920300624,3 June 2020,2020,Research Article,4.0
"Chen Ni-Yun,Liu Chi-Chun","National Sun Yat-sen University, 70 Lien-Hai Rd., Kaohsiung 80424, Taiwan,National Taiwan University and Center for Research in Econometric Theory and Applications, No. 1, Section 4., Roosevelt Rd., Taipei 10617, Taiwan","Received 7 November 2021, Revised 6 November 2022, Accepted 27 December 2022, Available online 30 December 2022.",https://doi.org/10.1016/j.qref.2022.12.004,Cited by (0),", only a few prior studies discuss how the information content of share repurchases affects firms’ subsequent decision in terms of equity issuance. We find that share repurchases are negatively related to subsequent equity issuance, which is consistent with the notion that undervalued firms are less likely to issue equity, while firms issuing equity are overvalued. We also examine whether this association differs according to the likely sources of the repurchase funds. We find that the association is more negative for firms that have high sales growth and, therefore, generate more internal cash flow. By contrast, we find that the association is less negative for firms that increase their debt financing. In addition, we document more positive operating and stock market performance on the part of firms that repurchase shares, especially firms that repurchase and then issue equity.",None,The impact of share repurchases on equity finance and performance,https://www.sciencedirect.com/science/article/pii/S1062976922001405,Available online 30 December 2022,2022,Research Article,5.0
"Berisha Edmond,Meszaros John,Gupta Rangan","Feliciano School of Business, Montclair State University, Montclair, NJ 07043, USA,Independant Scholar, USA,University of Pretoria, Pretoria, South Africa","Received 11 February 2022, Revised 30 August 2022, Accepted 4 November 2022, Available online 9 November 2022.",https://doi.org/10.1016/j.qref.2022.11.004,Cited by (0),"This paper studies the secular increase in US income inequality and its relation to growing ==== over the past three decades. We explore income inequality’s effect on house prices based on a high-frequency (quarterly) data-set for all US states, including the District of Columbia. The analysis shows that higher income inequality decreases the growth rate of house prices. However, the relationship differs for the Northeast region. We find higher income inequality corresponds with higher house prices across the states within the Northeast region.",None,Income inequality and house prices across US states,https://www.sciencedirect.com/science/article/pii/S1062976922001314,Available online 9 November 2022,2022,Research Article,6.0
"Baxamusa Mufaddal,Jalal Abu","Mufaddal Baxamusa is at the University of St. Thomas, MCH 316, 2115 Summit Avenue, St. Paul, MN 55105, USA,Suffolk University, Boston, MA, USA","Received 20 August 2020, Revised 5 August 2022, Accepted 24 October 2022, Available online 9 November 2022.",https://doi.org/10.1016/j.qref.2022.10.009,Cited by (0),"The number of exchange-listed firms has declined dramatically in the U.S. We argue that increases in payroll cost decrease the firm’s output and consequently, the need for capital. Thus, fewer new firms list on exchanges. Similarly, more firms delist as payroll costs reduce profits. We find empirical results that support our hypotheses. The results are stronger when firms are located in areas with greater regulatory restrictions on residential use of land - suggesting that increases in payroll costs is one of the factors driving this phenomenon.",None,The decline in stock exchange listed firms,https://www.sciencedirect.com/science/article/pii/S1062976922001211,Available online 9 November 2022,2022,Research Article,7.0
"Salas Sergio,Odell Kathleen","Facultad de Administración y Economía, Universidad Diego Portales, Chile,Brennan School of Business, Dominican University, River Forest, IL, USA","Received 6 January 2022, Revised 29 August 2022, Accepted 20 October 2022, Available online 5 November 2022.",https://doi.org/10.1016/j.qref.2022.10.005,Cited by (0)," downward effect on the level of GDP trend, of the type believed to have occurred in the Great Recession of 2008. The key driver responsible for this result is the interaction between the liquidity risks that households face and the illiquid nature of capital investments.",None,Why are credit-driven crises deep and long-lasting?,https://www.sciencedirect.com/science/article/pii/S1062976922001193,Available online 5 November 2022,2022,Research Article,8.0
"Li Shaoyu,Zhu Chunhui,Shang Yuhuang","International Business College, South China Normal University, Guangzhou, Guangdong 510631, China,School of Marxism, South China Normal University, Guangzhou, Guangdong 510631, China,Institute of Chinese Financial Studies, Southwestern University of Finance and Economics, Chengdu 611130, China","Received 5 May 2020, Revised 7 October 2022, Accepted 25 October 2022, Available online 2 November 2022.",https://doi.org/10.1016/j.qref.2022.10.011,Cited by (0),None,None,Hedging demand and near-zero swap spreads: Evidence from the Chinese interest rate swap market,https://www.sciencedirect.com/science/article/pii/S1062976922001259,Available online 2 November 2022,2022,Research Article,9.0
