name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
"Bruno August,Weber Paige,Yates Andrew J.",University of North Carolinaat Chapel Hill,"Received 28 October 2022, Revised 17 May 2023, Accepted 30 May 2023, Available online 3 June 2023.",https://doi.org/10.1016/j.reseneeco.2023.101376,Cited by (0),"Proponents of Bitcoin argue that demand for electricity from Bitcoin miners can lead to an increase in renewable electricity capacity. We rigorously evaluate this claim by estimating a Bitcoin electricity demand curve and include this demand curve in a long-run model of the Texas electricity market. We find that while Bitcoin mining can indeed increase renewable capacity, it also increases carbon emissions. When Bitcoin miners provide grid management services in the form of demand response, their emissions impact is largely mitigated.",None,Can Bitcoin mining increase renewable electricity capacity,https://www.sciencedirect.com/science/article/pii/S0928765523000313,Available online 3 June 2023,2023,Research Article,0.0
Becker Jonathon M.,"Division of Economics and Business, 816 15th St. Colorado School of Mines Golden, CO 80401, USA","Received 17 May 2022, Revised 26 March 2023, Accepted 13 May 2023, Available online 18 May 2023, Version of Record 30 May 2023.",https://doi.org/10.1016/j.reseneeco.2023.101373,Cited by (0),"Many sectors of the economy that are targets of emissions reduction policy exhibit price-responsive demand, long-lived capital, capacity constraints, and foresighted decision-making. I explore how these features affect the efficiency and dynamics of tradable performance standards (TPS) using analytical and numerical equilibrium models. While I show these dynamic considerations alone do not lead to conflicts with existing theory on the overall efficiency and cost-effectiveness of the TPS relative to a first-best policy, they do affect the transition path and steady state. Most notably, under all but the smallest discount rates, the TPS can lead to a more cost-effective post-transition steady state than the equivalent emissions cap. Given the intergenerational transition that comes with ====, this result suggests some classes of present and future consumers may prefer a TPS to an emissions cap.",None,Tradable performance standards in a dynamic context,https://www.sciencedirect.com/science/article/pii/S0928765523000283,18 May 2023,2023,Research Article,1.0
"Benkhodja Mohamed Tahar,Ma Xiaofei,Razafindrabe Tovonony","ESSCA School of Management, France,University of Rennes, CNRS, CREM UMR6211, F-35000 Rennes, France","Received 24 June 2022, Revised 20 April 2023, Accepted 20 April 2023, Available online 29 April 2023, Version of Record 4 May 2023.",https://doi.org/10.1016/j.reseneeco.2023.101370,Cited by (0),We establish a two-sector model to simulate the potential effects of green fiscal poli- cies and unconventional green ,None,Green monetary and fiscal policies: The role of consumer preferences,https://www.sciencedirect.com/science/article/pii/S0928765523000258,29 April 2023,2023,Research Article,2.0
"Asheim Geir B.,Hartwick John M.,Yamaguchi Rintaro","Department of Economics, University of Oslo, P.O. Box 1095 Blindern, 0317 Oslo, Norway,Department of Economics, Queen’s University, Kingston, Ontario K7L 3N6, Canada,National Institute for Environmental Studies (NIES), 16-2 Onogawa, Tsukuba 305-8506, Japan","Received 22 June 2021, Revised 23 March 2023, Accepted 31 March 2023, Available online 3 April 2023, Version of Record 11 May 2023.",https://doi.org/10.1016/j.reseneeco.2023.101363,Cited by (0),", and the Stollery–d’Autume–Schubert model in which natural capital provides amenities. Application to recent empirical evidence indicates that actual genuine savings might be insufficient to sustain per capita consumption, when future population growth is combined with a large per capita consumption-wage gap.",None,Sustainable per capita consumption under population growth,https://www.sciencedirect.com/science/article/pii/S0928765523000180,3 April 2023,2023,Research Article,3.0
Jones Benjamin A.,"Department of Economics, University of New Mexico, MSC 05 3060, Albuquerque 87131, NM, USA","Received 7 November 2022, Revised 2 March 2023, Accepted 29 March 2023, Available online 31 March 2023, Version of Record 4 April 2023.",https://doi.org/10.1016/j.reseneeco.2023.101362,Cited by (0),"Dust storms are extreme weather events that can lead to sharp short-duration reductions in ====. Is the US and elsewhere, dust storms are becoming more frequent due to climate change and altered land-use patterns. However, our present understanding of their impacts to social welfare is limited. To address this gap, I undertake the first nationwide US study of dust storm impacts on subjective well-being using life satisfaction (LS) data from the CDC Behavioral Risk Factor Surveillance System (BRFSS) over 2005–2010. I find that LS is lower by 0.008 points on a 4-point scale on days when a dust storm occurred in a respondent’s county-of-residence, as identified by the National Weather Service. The observed LS impact is precisely estimated; occurring only on a dust storm event day and not the days immediately before or after. I calculate that individuals are willing-to-pay $111 to avoid a single dust storm event day, on the basis of the estimated well-being externality. I also show that public dust storm alerts on event days can offset more than 50% of the negative LS effect, suggestive of an important role for public risk communication.",None,Dust storms and human well-being,https://www.sciencedirect.com/science/article/pii/S0928765523000179,31 March 2023,2023,Research Article,4.0
"Ambec Stefan,Nauges Céline,Pattanayak Subhrendu K.","Toulouse School of Economics, INRAE, University of Toulouse, France,Sanford School of Public Policy, Duke University and SANDEE (South Asian Network of Development and Environmental Economics), USA","Available online 24 March 2023, Version of Record 5 April 2023.",https://doi.org/10.1016/j.reseneeco.2023.101361,Cited by (0),None,None,Introduction to the SETI special issue,https://www.sciencedirect.com/science/article/pii/S0928765523000167,24 March 2023,2023,Research Article,5.0
"Hoarau Quentin,Meunier Guy","Université Paris-Saclay, INRAE, AgroParisTech, PSAE,EconomiX, UPL, Université Paris-Nanterre, CNRS, France,CREST, Ecole Polytechnique, France","Received 20 January 2022, Revised 25 February 2023, Accepted 28 February 2023, Available online 11 March 2023, Version of Record 24 March 2023.",https://doi.org/10.1016/j.reseneeco.2023.101359,Cited by (0)," linkages. For instance, the carbon footprint of electric vehicles depends on the electricity mix. This issue has received large attention in the literature on ==== (LCA). This paper analyzes how life cycle considerations should be integrated into policy design. We model a partial equilibrium with two vertically connected sectors, an upstream (e.g. electricity) and a downstream (e.g. transportation) one. In each sector, a dirty and a clean technology are available. The clean downstream technology consumes the upstream good and may thus shift emissions to the upstream sector. Our main contribution is to detail how optimal subsidies on clean technologies should incorporate life cycle emissions when carbon pricing is limited. The optimal downstream subsidy should be corrected for all external costs generated in the upstream sector, not only unpriced pollution but also the fiscal externality due to the subsidy to the clean upstream technology. We also analyze the ==== optimization of upstream and downstream policies. The upstream subsidy should not incorporate features of the downstream sector, whereas the downstream optimal subsidy depends upon the upstream sector characteristics. All results are illustrated using a calibrated example of the electrification of passenger cars.",None,Coordination of sectoral climate policies and life cycle emissions,https://www.sciencedirect.com/science/article/pii/S0928765523000143,11 March 2023,2023,Research Article,6.0
Li Wenbo,"Ma Yinchu School of Economics, Tianjin University, 92 Weijin Road, Tianjin 300072, China","Received 12 September 2022, Revised 6 March 2023, Accepted 7 March 2023, Available online 11 March 2023, Version of Record 15 March 2023.",https://doi.org/10.1016/j.reseneeco.2023.101360,Cited by (0)," in exchange for a low transit time and not to choose non-compliance, two behavioral changes with the potential to further reduce air pollution. Thus, managing the duration of a policy and people’s expectations of its duration can matter crucially for the policy’s effectiveness.",None,The effect of China's driving restrictions on air pollution: The role of a policy announcement without a stated expiration,https://www.sciencedirect.com/science/article/pii/S0928765523000155,11 March 2023,2023,Research Article,7.0
"Ba Bocar Samba,Soubeyran Raphael","Center for Research on the Economics of the Environment, Agri-food, Transports and Energy (CREATE), Department of Agricultural Economics and Consumer Sciences, Laval University, 2425, rue de l′Agriculture, Quebec G1V 0A6, Canada,CEE-M, Univ. Montpellier, CNRS, INRAe, Institut Agro, Montpellier, France","Received 14 January 2022, Revised 15 February 2023, Accepted 23 February 2023, Available online 28 February 2023, Version of Record 11 March 2023.",https://doi.org/10.1016/j.reseneeco.2023.101358,Cited by (0),We study the exploitation of recyclable ,None,Hotelling and recycling,https://www.sciencedirect.com/science/article/pii/S0928765523000131,28 February 2023,2023,Research Article,8.0
"Chazel Simon,Bernard Sophie,Benchekroun Hassan","Polytechnique Montreal, Department of Mathematics and Industrial Engineering, Canada and Ecole Polytechnique, France,Polytechnique Montreal, department of Mathematics and Industrial Engineering, and CIRANO, Canada,McGill University, Department of Economics, and CIREQ, Canada","Received 31 March 2022, Revised 23 January 2023, Accepted 26 January 2023, Available online 9 February 2023, Version of Record 18 February 2023.",https://doi.org/10.1016/j.reseneeco.2023.101356,Cited by (0),"What are the implications of primary mineral constraints for the energy transition? Low-carbon energy production uses ====, which requires primary minerals. We build on the seminal framework for the transition from a dirty to a clean energy in Golosov ====. (2014) to incorporate the role played by primary minerals and their potential recycling. We characterize the optimal paths of the energy transition under various mineral constraint scenarios. Mineral constraints limit the development of green energy in the long run: Low-carbon energy production eventually reaches a plateau. We run our simulations using copper as the limiting mineral and we allow for its full recycling. Even in the limiting case of a 100% recycling rate, after five to six decades green energy production is 50% lower than in the scenario with unlimited primary copper, and after 30 decades, GDP is 3–8% lower. In extension scenarios, we confirm that a longer life duration of green capital delays copper extraction and the green energy peak, whereas reduced recycling caps moves the peak in green energy production forward.",None,Energy transition under mineral constraints and recycling: A low-carbon supply peak,https://www.sciencedirect.com/science/article/pii/S0928765523000118,9 February 2023,2023,Research Article,9.0
