name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
Xie Haitian,"Guanghua School of Management, Peking University, China","Received 13 December 2021, Revised 16 May 2023, Accepted 5 June 2023, Available online 10 June 2023.",https://doi.org/10.1016/j.spl.2023.109886,Cited by (0),"This paper examines the local linear regression (LLR) estimate of the conditional distribution function ====. We derive three uniform convergence results: the uniform bias expansion, the uniform convergence rate, and the uniform asymptotic linear representation. The uniformity in the above results is with respect to both ==== and ==== and therefore has not previously been addressed in the literature on local polynomial regression. Such uniform convergence results are especially useful when the conditional distribution estimator is the first stage of a semiparametric estimator. We demonstrate the usefulness of these uniform results with two examples: the stochastic equicontinuity condition in ====, and the estimation of the integrated conditional distribution function.",None,Uniform convergence results for the local linear regression estimation of the conditional distribution,https://www.sciencedirect.com/science/article/pii/S0167715223001104,Available online 10 June 2023,2023,Research Article,0.0
"Nakamura Takashi,Suzuki Masatoshi","Department of Liberal Arts, Faculty of Science and Technology, Tokyo University of Science, 2641 Yamazaki, Noda-shi, Chiba-ken, 278-8510, Japan,Department of Mathematics, School of Science, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro-ku, Tokyo 152-8551, Japan","Received 5 December 2022, Accepted 8 June 2023, Available online 10 June 2023.",https://doi.org/10.1016/j.spl.2023.109889,Cited by (0),"For the Riemann zeta-function, we introduce a function such that it is a characteristic function of an infinitely divisible distribution on the real line if and only if the Riemann Hypothesis is true.",None,On infinitely divisible distributions related to the Riemann hypothesis,https://www.sciencedirect.com/science/article/pii/S016771522300113X,Available online 10 June 2023,2023,Research Article,1.0
Light Bar,"Microsoft Research, NY, USA","Received 8 March 2022, Revised 25 April 2023, Accepted 2 June 2023, Available online 8 June 2023, Version of Record 15 June 2023.",https://doi.org/10.1016/j.spl.2023.109882,Cited by (0),"In this paper, we generalize and improve Hoeffding’s inequality using information on the random variables’ first ==== moments for any fixed integer ====. Importantly, our generalized Hoeffding’s inequality is tighter than Hoeffding’s inequality and is given in a simple closed-form expression for any fixed integer ====. Hence, the generalized Hoeffding’s inequality is easy to use in applications. To prove our results, we derive novel upper bounds on the moment-generating function of a random variable that depend on the random variable’s first ==== moments and show that these bounds satisfy appropriate convexity properties. We demonstrate the usefulness of the generalized Hoeffding’s inequality in obtaining refined confidence intervals when there is some information on the random variables’ high moments.",None,Improving Hoeffding’s inequality using higher moments information,https://www.sciencedirect.com/science/article/pii/S0167715223001062,Available online 8 June 2023,2023,Research Article,2.0
Huang Chien-Hao,"Department of Mathematical Sciences National Chengchi University, Taipei, Taiwan","Received 26 December 2021, Revised 17 April 2023, Accepted 4 June 2023, Available online 7 June 2023.",https://doi.org/10.1016/j.spl.2023.109885,Cited by (0),"In this paper, we compare two variances of maxima of ==== standard Gaussian random variables. One is a sequence of ==== i.i.d. standard Gaussians, and the other one is ==== standard Gaussians with covariances ==== and ====, for other ====. It turns out that we need to discuss the covariance of two functions with respect to multivariate Gaussian distributions. Gaussian correlation inequalities hold for many symmetric (with respect to the origin) cases. However, in our case, the max function and its derivatives are not symmetric about the origin. We have two main results in this paper. First, we prove a specific case for a convex/log-concave correlation inequality for the standard multivariate Gaussian distribution. The other result is that the variance of maxima of standard Gaussians with ====, while ====, for other ====, is larger than the variance of maxima of independent standard Gaussians. This implies that the variance of maxima of ==== i.i.d. standard Gaussians is decreasing in ====.",None,Nonsymmetric examples for Gaussian correlation inequalities,https://www.sciencedirect.com/science/article/pii/S0167715223001098,Available online 7 June 2023,2023,Research Article,3.0
"Kongjiw Hattacha,Rattanawong Petcharat,Neammanee Kritsana","Department of Mathematics and Computer Science, Faculty of Science, Chulalongkorn University, Bangkok 10330, Thailand,Major of Information Technology and Business Innovation, Faculty of Science and Social Sciences, Burapha University, Sakaeo Campus, Sakaeo 27160, Thailand,Centre of Excellence in Mathematics, Ministy of Higher Education, Science, Research and Innovation, Bangkok 10330, Thailand","Received 12 September 2022, Revised 3 February 2023, Accepted 20 May 2023, Available online 7 June 2023, Version of Record 16 June 2023.",https://doi.org/10.1016/j.spl.2023.109867,Cited by (0)," represent the number of claims and ==== represent the amount of loss in each claim where ==== are independent and identically distributed. For the collective risk model, the total claim is given by ====. In this paper, we provide local limit theorems for ====, where ",None,Local limit theorems for collective risk models,https://www.sciencedirect.com/science/article/pii/S0167715223000913,Available online 7 June 2023,2023,Research Article,4.0
"Yu Huazhen,Zhang Lixin","School of Mathematical Sciences, Zhejiang University, Hangzhou, Zhejiang 310027, China","Received 3 February 2023, Revised 12 May 2023, Accepted 25 May 2023, Available online 7 June 2023.",https://doi.org/10.1016/j.spl.2023.109880,Cited by (0),"In this paper, to deal with heavily censored survival data, a penalized full likelihood (PFL) with extreme value is proposed to estimate the regression coefficients and baseline hazard function in Cox model simultaneously, where multiple penalties are used for variable selection. We present a single-loop algorithm to fit the tail of the baseline distribution beyond a threshold with an extreme value model. The proposed maximum PFL estimators are proved to possess good asymptotic properties, which are validated by simulations and real data analysis.",None,On the maximum penalized full likelihood approach for Cox model with extreme value for heavily censored survival data,https://www.sciencedirect.com/science/article/pii/S0167715223001049,Available online 7 June 2023,2023,Research Article,5.0
"Finkelstein Maxim,Cha Ji Hwan","Department of Mathematical Statistics, University of the Free State, Bloemfontein, South Africa,Department of Management Science, University of Strathclyde, Glasgow, UK,Department of Statistics, Ewha Womans University, Seoul, 120-750, Republic of Korea","Received 28 September 2022, Revised 16 December 2022, Accepted 24 May 2023, Available online 7 June 2023.",https://doi.org/10.1016/j.spl.2023.109879,Cited by (0),"Populations of manufactured degrading items that are incepted into operation with a given rate are considered. To improve the age composition of these dynamic populations, the truncation of items’ lifetimes is proposed and the corresponding optimization problem is studied. The impact of shocks on the population age structures is also described. The effect of these ‘interventions’ for dynamic and static populations has not been studied in the literature.",None,Improving the age composition of dynamic populations of manufactured items,https://www.sciencedirect.com/science/article/pii/S0167715223001037,Available online 7 June 2023,2023,Research Article,6.0
"Lu Dawei,Lv Huangding","School of Mathematical Sciences, Dalian University of Technology, Dalian 116023, China","Received 12 December 2022, Revised 22 April 2023, Accepted 2 June 2023, Available online 5 June 2023, Version of Record 13 June 2023.",https://doi.org/10.1016/j.spl.2023.109881,Cited by (0),"In this paper we consider a special class of population-size-dependent branching processes, which can also be seen as an extension of Galton–Watson processes with state-dependent immigration (GWPSDI). The model is formulated as follows. Let ==== be the size of individuals belonging to the ====th generation of a population. If ====, the population evolves as a critical Galton–Watson process with finite variance; if ====, the population evolves as another Galton–Watson process; if ====, ==== is drawn from a fixed immigration distribution. Based on the technical routes in Foster (1971) and Pakes (1971), some asymptotic results identical with those of GWPSDI are obtained by detailed computations.",None,A Galton–Watson process with a threshold at 1 and an immigration at 0,https://www.sciencedirect.com/science/article/pii/S0167715223001050,5 June 2023,2023,Research Article,7.0
"Li Fu-Bo,Xu Kun,Hu Ze-Chun","College of Mathematics, Sichuan University, Chengdu 610065, China,Deyang Foreign Languages School, Deyang 618099, China","Received 1 November 2022, Revised 4 April 2023, Accepted 21 May 2023, Available online 1 June 2023, Version of Record 6 June 2023.",https://doi.org/10.1016/j.spl.2023.109871,Cited by (0),"Let ==== and ====. Vašek Chvátal conjectured that for any fixed ====, as ==== ranges over ==== is the smallest when ==== is closest to ",None,"A study on the Poisson, geometric and Pascal distributions motivated by Chvátal’s conjecture",https://www.sciencedirect.com/science/article/pii/S0167715223000950,1 June 2023,2023,Research Article,8.0
"Peligrad M.,Peligrad C.","Department of Mathematical Sciences, University of Cincinnati, POBox 210025, Cincinnati, OH 45221-0025, USA","Received 23 December 2022, Revised 4 April 2023, Accepted 21 May 2023, Available online 1 June 2023, Version of Record 6 June 2023.",https://doi.org/10.1016/j.spl.2023.109869,Cited by (0),This paper deals with ==== for partial sums of ==== valued random variables. The results are then applied to solve similar problems for weighted partial sums of conditional expectations. They are further used to treat partial sums of powers of a reversible ==== operator. The method of proof is based on martingale approximation. The conditions are expressed in terms of moments of individual summands.,None,Convergence of series of conditional expectations,https://www.sciencedirect.com/science/article/pii/S0167715223000937,1 June 2023,2023,Research Article,9.0
